,code,N,meaning,codeID,path,path_meaning,Biomarker,parallel_group,n_sig_FDR,n_sig_adj.P.Val,n_sig_bonf,SigLogFC,LogFC,p,sds
codeG952,G952,38,G95.2 Cord compression- unspecified,codeG952,G95,G95 Other diseases of spinal cord,codeG952,16,0,0,0,NaN,-0.752098193493255,0.628755507482075,NA
codeG992,G992,151,G99.2 Myelopathy in diseases classified elsewhere,codeG992,G99,G99 Other disorders of nervous system in diseases classified elsewhere,codeG992,16,0,0,0,NaN,-0.065278002682797,0.173475102002937,NA
codeH010,H010,46,H01.0 Blepharitis,codeH010,H01,H01 Other inflammation of eyelid,codeH010,16,8,0,0,2.94830981971122,1.12710160320539,1.12110368105078,0.311811203198499
codeH020,H020,33,H02.0 Entropion and trichiasis of eyelid,codeH020,H02,H02 Other disorders of eyelid,codeH020,16,0,0,0,NaN,0.131311787639435,0.337815245697517,NA
codeH024,H024,64,H02.4 Ptosis of eyelid,codeH024,H02,H02 Other disorders of eyelid,codeH024,16,0,0,0,NaN,-0.434006020422365,0.350118793278931,NA
codeH028,H028,69,H02.8 Other specified disorders of eyelid,codeH028,H02,H02 Other disorders of eyelid,codeH028,16,0,0,0,NaN,0.466641640106668,0.457512916371435,NA
codeH041,H041,78,H04.1 Other disorders of lachrymal gland,codeH041,H04,H04 Disorders of lachrymal system,codeH041,16,0,0,0,NaN,0.495458290079251,0.486777128830928,NA
codeH045,H045,72,H04.5 Stenosis and insufficiency of lachrymal passages,codeH045,H04,H04 Disorders of lachrymal system,codeH045,16,0,0,0,NaN,0.262962309895801,0.272918723784993,NA
codeH184,H184,127,H18.4 Corneal degeneration,codeH184,H18,H18 Other disorders of cornea,codeH184,16,0,0,0,NaN,-0.620121593589884,1.00224324795676,NA
codeH250,H250,138,H25.0 Senile incipient cataract,codeH250,H25,H25 Senile cataract,codeH250,16,0,0,0,NaN,-0.379692522981671,0.505035792773782,NA
codeH251,H251,629,H25.1 Senile nuclear cataract,codeH251,H25,H25 Senile cataract,codeH251,16,5220,20404,0,-0.610206591969611,-0.422985244734801,2.02665295508473,0.0791172936117215
codeH258,H258,277,H25.8 Other senile cataract,codeH258,H25,H25 Senile cataract,codeH258,17,7354,26759,0,-0.940205594536732,-0.761291354676482,2.37714958570911,0.105451375001964
codeH259,H259,90,H25.9 Senile cataract- unspecified,codeH259,H25,H25 Senile cataract,codeH259,17,0,0,0,NaN,0.0606323502211641,0.144519449346878,NA
codeH264,H264,104,H26.4 After-cataract,codeH264,H26,H26 Other cataract,codeH264,17,0,0,0,NaN,-0.336381762895892,0.36727490299539,NA
codeH268,H268,184,H26.8 Other specified cataract,codeH268,H26,H26 Other cataract,codeH268,17,75,0,0,-1.09926296835706,-0.560714267655724,1.19661549609547,0.0867361635896075
codeH269,H269,761,H26.9 Cataract- unspecified,codeH269,H26,H26 Other cataract,codeH269,17,24536,28344,85,-0.696771495579975,-0.659675570016578,4.49167261062692,0.12420070307068
codeH330,H330,66,H33.0 Retinal detachment with retinal break,codeH330,H33,H33 Retinal detachments and breaks,codeH330,17,5,0,0,-1.93514755417288,-0.482637814744033,0.428343784621556,0.0592090143764965
codeH348,H348,31,H34.8 Other retinal vascular occlusions,codeH348,H34,H34 Retinal vascular occlusions,codeH348,17,0,0,0,NaN,-0.700158202733697,0.423041708616517,NA
codeH353,H353,298,H35.3 Degeneration of macula and posterior pole,codeH353,H35,H35 Other retinal disorders,codeH353,17,14,0,0,-0.685247509092465,-0.277796535477275,0.727432732893675,0.0234215453978397
codeH358,H358,42,H35.8 Other specified retinal disorders,codeH358,H35,H35 Other retinal disorders,codeH358,17,0,0,0,NaN,-0.303379265795492,0.177787709361754,NA
codeH360,H360,66,H36.0 Diabetic retinopathy,codeH360,H36,H36 Retinal disorders in diseases classified elsewhere,codeH360,17,2186,3613,0,-2.15755976069782,-0.782848912477216,0.853722070942951,0.288128615995348
codeH400,H400,90,H40.0 Glaucoma suspect,codeH400,H40,H40 Glaucoma,codeH400,17,75,0,0,-1.47717746727714,-0.853634077732557,1.21273061696482,0.164215503845655
codeH401,H401,56,H40.1 Primary open-angle glaucoma,codeH401,H40,H40 Glaucoma,codeH401,17,269,0,0,-1.66563856334866,-0.8211479038866,0.999612643627397,0.121328900682985
codeH409,H409,190,H40.9 Glaucoma- unspecified,codeH409,H40,H40 Glaucoma,codeH409,17,370,0,0,-1.12742198022043,-0.424837158951874,0.774476299594596,0.178744669068585
codeH438,H438,92,H43.8 Other disorders of vitreous body,codeH438,H43,H43 Disorders of vitreous body,codeH438,17,143,0,0,-2.30105653273684,-0.584577497197766,0.695706380117082,0.162439003487122
codeH521,H521,111,H52.1 Myopia,codeH521,H52,H52 Disorders of refraction and accommodation,codeH521,17,211,0,0,-1.95939193700687,-0.641478935696967,0.885452041248012,0.150988654462053
codeH522,H522,402,H52.2 Astigmatism,codeH522,H52,H52 Disorders of refraction and accommodation,codeH522,17,11428,26794,0,-0.845954391179448,-0.674961056155862,2.70019027911321,0.130497194979966
codeH532,H532,39,H53.2 Diplopia,codeH532,H53,H53 Visual disturbances,codeH532,17,0,0,0,NaN,-0.270465285988723,0.212635003589403,NA
codeH538,H538,57,H53.8 Other visual disturbances,codeH538,H53,H53 Visual disturbances,codeH538,17,0,0,0,NaN,-0.646500581295955,0.517961829739995,NA
codeH609,H609,36,H60.9 Otitis externa- unspecified,codeH609,H60,H60 Otitis externa,codeH609,17,0,0,0,NaN,-0.167722504366173,0.18522247244039,NA
codeH610,H610,41,H61.0 Perichondritis of external ear,codeH610,H61,H61 Other disorders of external ear,codeH610,17,0,0,0,NaN,0.349351591031147,0.330199865580429,NA
codeH612,H612,33,H61.2 Impacted cerumen,codeH612,H61,H61 Other disorders of external ear,codeH612,17,0,0,0,NaN,-0.446421103102167,0.271309931893261,NA
codeH653,H653,66,H65.3 Chronic mucoid otitis media,codeH653,H65,H65 Nonsuppurative otitis media,codeH653,18,0,0,0,NaN,-0.249079718248868,0.221905903784955,NA
codeH659,H659,35,H65.9 Nonsuppurative otitis media- unspecified,codeH659,H65,H65 Nonsuppurative otitis media,codeH659,18,0,0,0,NaN,0.16211570488523,0.246434026143469,NA
codeH669,H669,52,H66.9 Otitis media- unspecified,codeH669,H66,H66 Suppurative and unspecified otitis media,codeH669,18,0,0,0,NaN,-0.914183669686067,0.865955033518012,NA
codeH71,H71,39,H71 Cholesteatoma of middle ear,codeH71,H71,H71 Cholesteatoma of middle ear,codeH71,18,0,0,0,NaN,0.407491249094287,0.223672419003735,NA
codeH729,H729,76,H72.9 Perforation of tympanic membrane- unspecified,codeH729,H72,H72 Perforation of tympanic membrane,codeH729,18,0,0,0,NaN,-0.256177462025869,0.263205755432561,NA
codeH738,H738,38,H73.8 Other specified disorders of tympanic membrane,codeH738,H73,H73 Other disorders of tympanic membrane,codeH738,18,0,0,0,NaN,-0.371302483790198,0.310948345106901,NA
codeH810,H810,102,H81.0 MUniTHre's disease,codeH810,H81,H81 Disorders of vestibular function,codeH810,18,0,0,0,NaN,0.00406600082888254,0.161788681637434,NA
codeH811,H811,96,H81.1 Benign paroxysmal vertigo,codeH811,H81,H81 Disorders of vestibular function,codeH811,18,0,0,0,NaN,0.397881067976219,0.44292623491944,NA
codeH830,H830,93,H83.0 Labyrinthitis,codeH830,H83,H83 Other diseases of inner ear,codeH830,18,0,0,0,NaN,-0.327247195450177,0.292335515709179,NA
codeH902,H902,36,H90.2 Conductive hearing loss- unspecified,codeH902,H90,H90 Conductive and sensorineural hearing loss,codeH902,18,0,0,0,NaN,0.405708897501192,0.280847575727227,NA
codeH903,H903,52,H90.3 Sensorineural hearing loss- bilateral,codeH903,H90,H90 Conductive and sensorineural hearing loss,codeH903,18,0,0,0,NaN,0.128687243250636,0.181000266695241,NA
codeH905,H905,74,H90.5 Sensorineural hearing loss- unspecified,codeH905,H90,H90 Conductive and sensorineural hearing loss,codeH905,18,0,0,0,NaN,-0.234815737252091,0.254389692977462,NA
codeH911,H911,46,H91.1 Presbycusis,codeH911,H91,H91 Other hearing loss,codeH911,18,0,0,0,NaN,0.26954920988005,0.232175286670822,NA
codeH919,H919,617,H91.9 Hearing loss- unspecified,codeH919,H91,H91 Other hearing loss,codeH919,18,0,0,0,NaN,0.0641480878958356,0.22050149431112,NA
codeH920,H920,44,H92.0 Otalgia,codeH920,H92,H92 Otalgia and effusion of ear,codeH920,18,0,0,0,NaN,-0.315023371191641,0.209171909360078,NA
codeH921,H921,32,H92.1 Otorrhoea,codeH921,H92,H92 Otalgia and effusion of ear,codeH921,18,0,0,0,NaN,0.0693642556626721,0.216294417060995,NA
codeH931,H931,108,H93.1 Tinnitus,codeH931,H93,H93 Other disorders of ear- not elsewhere classified,codeH931,18,0,0,0,NaN,0.0307465811831409,0.109358749488729,NA
codeI071,I071,105,I07.1 Tricuspid insufficiency,codeI071,I07,I07 Rheumatic tricuspid valve diseases,codeI071,18,0,0,0,NaN,-0.01441493705843,0.143852317455761,NA
codeI080,I080,121,I08.0 Disorders of both mitral and aortic valves,codeI080,I08,I08 Multiple valve diseases,codeI080,18,0,0,0,NaN,-0.149923634631246,0.316381595763109,NA
codeI081,I081,259,I08.1 Disorders of both mitral and tricuspid valves,codeI081,I08,I08 Multiple valve diseases,codeI081,19,27,0,0,-0.915523191365699,-0.485045081711725,1.20923945799309,0.0491878852815336
codeI083,I083,138,I08.3 Combined disorders of mitral- aortic and tricuspid valves,codeI083,I08,I08 Multiple valve diseases,codeI083,19,0,0,0,NaN,-0.127839603655689,0.30802163113747,NA
codeI088,I088,44,I08.8 Other multiple valve diseases,codeI088,I08,I08 Multiple valve diseases,codeI088,19,0,0,0,NaN,0.507077101684429,0.284928122804511,NA
codeI10,I10,10766,I10 Essential (primary) hypertension,codeI10,I10,I10 Essential (primary) hypertension,codeI10,19,29041,29041,22893,-0.375199635174353,-0.375199635174353,11.3685322611244,0.0754623932750931
codeI120,I120,87,I12.0 Hypertensive renal disease with renal failure,codeI120,I12,I12 Hypertensive renal disease,codeI120,19,2758,10782,0,-1.65635910657763,-0.898762589853762,1.35177419334854,0.215553265678837
codeI200,I200,489,I20.0 Unstable angina,codeI200,I20,I20 Angina pectoris,codeI200,19,104,6270,0,-0.721031100882521,-0.412872913168893,1.48911944974313,0.145272321512529
codeI201,I201,32,I20.1 Angina pectoris with documented spasm,codeI201,I20,I20 Angina pectoris,codeI201,19,0,0,0,NaN,0.219280140198288,0.172144238302852,NA
codeI208,I208,194,I20.8 Other forms of angina pectoris,codeI208,I20,I20 Angina pectoris,codeI208,19,8,0,0,0.976159976268522,0.235418562614146,0.346777347886738,0.028829793570956
codeI209,I209,1770,I20.9 Angina pectoris- unspecified,codeI209,I20,I20 Angina pectoris,codeI209,19,5609,9963,0,-0.414994292163817,-0.213293638210528,1.10634518317187,0.0538981426662651
codeI210,I210,206,I21.0 Acute transmural myocardial infarction of anterior wall,codeI210,I21,I21 Acute myocardial infarction,codeI210,19,82,0,0,1.52460550141362,-0.0044379052617015,0.253191883842633,0.10446304351006
codeI211,I211,228,I21.1 Acute transmural myocardial infarction of inferior wall,codeI211,I21,I21 Acute myocardial infarction,codeI211,19,51,0,0,-0.851993285505332,-0.54020041466823,1.2744401468862,0.055473654138327
codeI212,I212,34,I21.2 Acute transmural myocardial infarction of other sites,codeI212,I21,I21 Acute myocardial infarction,codeI212,19,0,0,0,NaN,-0.734425750697609,0.559178549858343,NA
codeI214,I214,348,I21.4 Acute subendocardial myocardial infarction,codeI214,I21,I21 Acute myocardial infarction,codeI214,19,0,0,0,NaN,0.176769744678309,0.425928813679595,NA
codeI219,I219,338,I21.9 Acute myocardial infarction- unspecified,codeI219,I21,I21 Acute myocardial infarction,codeI219,19,60,0,0,-0.782924018436701,-0.385952587126658,1.00519605596709,0.196723979327983
codeI229,I229,34,I22.9 Subsequent myocardial infarction of unspecified site,codeI229,I22,I22 Subsequent myocardial infarction,codeI229,19,0,0,0,NaN,-0.375349334705054,0.22698334663801,NA
codeI240,I240,31,I24.0 Coronary thrombosis not resulting in myocardial infarction,codeI240,I24,I24 Other acute ischaemic heart diseases,codeI240,19,0,0,0,NaN,0.234573833958887,0.151801951087441,NA
codeI248,I248,72,I24.8 Other forms of acute ischaemic heart disease,codeI248,I24,I24 Other acute ischaemic heart diseases,codeI248,19,999,10043,0,-2.2310141785789,-1.09096954289975,1.47091620856743,0.403619133995645
codeI249,I249,227,I24.9 Acute ischaemic heart disease- unspecified,codeI249,I24,I24 Other acute ischaemic heart diseases,codeI249,19,0,0,0,NaN,-0.131081354061792,0.285649003670334,NA
codeI251,I251,2435,I25.1 Atherosclerotic heart disease,codeI251,I25,I25 Chronic ischaemic heart disease,codeI251,19,4806,8669,0,-0.369480459283448,-0.173450403048876,0.941703569681228,0.0466022923593003
codeI252,I252,1184,I25.2 Old myocardial infarction,codeI252,I25,I25 Chronic ischaemic heart disease,codeI252,19,6970,16680,0,-0.479765701801687,-0.307608217009563,1.77151623740868,0.0676898044376664
codeI255,I255,49,I25.5 Ischaemic cardiomyopathy,codeI255,I25,I25 Chronic ischaemic heart disease,codeI255,19,0,0,0,NaN,-0.516161158546124,0.447974555929464,NA
codeI258,I258,550,I25.8 Other forms of chronic ischaemic heart disease,codeI258,I25,I25 Chronic ischaemic heart disease,codeI258,20,5911,16874,0,-0.697188008825606,-0.462494244085023,1.7243042276769,0.0827767861941232
codeI259,I259,1830,I25.9 Chronic ischaemic heart disease- unspecified,codeI259,I25,I25 Chronic ischaemic heart disease,codeI259,20,6440,11859,0,-0.45381939932505,-0.253475129843715,1.40460726015294,0.0736825691650605
codeI269,I269,614,I26.9 Pulmonary embolism without mention of acute cor pulmonale,codeI269,I26,I26 Pulmonary embolism,codeI269,20,2,0,0,-0.496363781819349,-0.226712717010863,0.711449416386208,0.0741897373083756
codeI270,I270,40,I27.0 Primary pulmonary hypertension,codeI270,I27,I27 Other pulmonary heart diseases,codeI270,20,0,0,0,NaN,-0.752805893814852,0.571031013191876,NA
codeI272,I272,121,I27.2 Other secondary pulmonary hypertension,codeI272,I27,I27 Other pulmonary heart diseases,codeI272,20,0,0,0,NaN,0.197625311968989,0.314270437291216,NA
codeI313,I313,150,I31.3 Pericardial effusion (noninflammatory),codeI313,I31,I31 Other diseases of pericardium,codeI313,20,0,0,0,NaN,-0.0430573887562775,0.198783109466438,NA
codeI319,I319,78,I31.9 Disease of pericardium- unspecified,codeI319,I31,I31 Other diseases of pericardium,codeI319,20,0,0,0,NaN,-0.48238759839632,0.470338431460306,NA
codeI330,I330,31,I33.0 Acute and subacute infective endocarditis,codeI330,I33,I33 Acute and subacute endocarditis,codeI330,20,0,0,0,NaN,-0.481517846498079,0.268772880132838,NA
codeI340,I340,416,I34.0 Mitral (valve) insufficiency,codeI340,I34,I34 Nonrheumatic mitral valve disorders,codeI340,20,203,0,0,-0.888247985839963,-0.366036475786153,1.08251479102055,0.195692353971293
codeI341,I341,91,I34.1 Mitral (valve) prolapse,codeI341,I34,I34 Nonrheumatic mitral valve disorders,codeI341,20,0,0,0,NaN,0.295282806470102,0.297038734398971,NA
codeI350,I350,300,I35.0 Aortic (valve) stenosis,codeI350,I35,I35 Nonrheumatic aortic valve disorders,codeI350,20,1759,4000,0,-0.937931519027425,-0.349216404643692,0.587243077972327,0.0795514443637066
codeI351,I351,120,I35.1 Aortic (valve) insufficiency,codeI351,I35,I35 Nonrheumatic aortic valve disorders,codeI351,20,81,0,0,-1.41070970086092,-0.497938886690261,0.630753893386985,0.0698943662668563
codeI352,I352,60,I35.2 Aortic (valve) stenosis with insufficiency,codeI352,I35,I35 Nonrheumatic aortic valve disorders,codeI352,20,0,0,0,NaN,0.243631237181375,0.311384537589044,NA
codeI361,I361,36,I36.1 Nonrheumatic tricuspid (valve) insufficiency,codeI361,I36,I36 Nonrheumatic tricuspid valve disorders,codeI361,20,0,0,0,NaN,-0.663135572037568,0.431213322081942,NA
codeI371,I371,57,I37.1 Pulmonary valve insufficiency,codeI371,I37,I37 Pulmonary valve disorders,codeI371,20,88,0,0,-1.52571496165775,-0.956929041230702,1.03006251058178,0.109991655052052
codeI38,I38,44,I38 Endocarditis- valve unspecified,codeI38,I38,I38 Endocarditis- valve unspecified,codeI38,20,0,0,0,NaN,0.0762012678047544,0.178382959081479,NA
codeI420,I420,101,I42.0 Dilated cardiomyopathy,codeI420,I42,I42 Cardiomyopathy,codeI420,20,0,0,0,NaN,-0.15384301979683,0.183359293716356,NA
codeI422,I422,41,I42.2 Other hypertrophic cardiomyopathy,codeI422,I42,I42 Cardiomyopathy,codeI422,20,218,0,0,-2.41667994584447,-1.33317031291345,1.28555148953751,0.174131377233302
codeI429,I429,78,I42.9 Cardiomyopathy- unspecified,codeI429,I42,I42 Cardiomyopathy,codeI429,20,4,0,0,-1.73327416105293,-0.762582629452715,0.889043726420353,0.0347333487353069
codeI440,I440,280,I44.0 Atrioventricular block- first degree,codeI440,I44,I44 Atrioventricular and left bundle-branch block,codeI440,21,6,0,0,-0.730084693629107,-0.479855825508248,1.15589362512677,0.103165475900971
codeI441,I441,82,I44.1 Atrioventricular block- second degree,codeI441,I44,I44 Atrioventricular and left bundle-branch block,codeI441,21,2,0,0,2.13959107740506,0.0332015708136372,0.154106944682327,0.00305938282945704
codeI442,I442,131,I44.2 Atrioventricular block- complete,codeI442,I44,I44 Atrioventricular and left bundle-branch block,codeI442,21,0,0,0,NaN,-0.428175382283206,0.612946613134371,NA
codeI447,I447,357,I44.7 Left bundle-branch block- unspecified,codeI447,I44,I44 Atrioventricular and left bundle-branch block,codeI447,21,1069,3268,0,-0.838596211520986,-0.234205597201076,0.537519850586819,0.0716089448935603
codeI451,I451,404,I45.1 Other and unspecified right bundle-branch block,codeI451,I45,I45 Other conduction disorders,codeI451,21,4,0,0,-0.617519493458552,-0.280956120061518,0.646023601156401,0.0246356773188662
codeI456,I456,32,I45.6 Preexcitation syndrome,codeI456,I45,I45 Other conduction disorders,codeI456,21,0,0,0,NaN,-0.693166816680841,0.420165679630218,NA
codeI459,I459,32,I45.9 Conduction disorder- unspecified,codeI459,I45,I45 Other conduction disorders,codeI459,21,0,0,0,NaN,0.640731957780527,0.447742188625062,NA
codeI460,I460,123,I46.0 Cardiac arrest with successful resuscitation,codeI460,I46,I46 Cardiac arrest,codeI460,21,0,0,0,NaN,-0.447063083267882,0.610884690990507,NA
codeI469,I469,58,I46.9 Cardiac arrest- unspecified,codeI469,I46,I46 Cardiac arrest,codeI469,21,0,0,0,NaN,0.157521431425561,0.18675084268062,NA
codeI471,I471,388,I47.1 Supraventricular tachycardia,codeI471,I47,I47 Paroxysmal tachycardia,codeI471,21,512,15802,0,-0.965064499847041,-0.501531491875588,1.62935229048032,0.148184868545291
codeI472,I472,163,I47.2 Ventricular tachycardia,codeI472,I47,I47 Paroxysmal tachycardia,codeI472,21,28,0,0,-1.31200405912584,-0.560754306051126,1.03401320371667,0.281090382641932
codeI48,I48,1489,I48 Atrial fibrillation and flutter,codeI48,I48,I48 Atrial fibrillation and flutter,codeI48,21,213,0,0,-0.393816180187979,-0.188000292240331,0.953238109246207,0.017865243883217
codeI490,I490,59,I49.0 Ventricular fibrillation and flutter,codeI490,I49,I49 Other cardiac arrhythmias,codeI490,21,0,0,0,NaN,-0.0775782255050021,0.161500106563577,NA
codeI493,I493,139,I49.3 Ventricular premature depolarisation,codeI493,I49,I49 Other cardiac arrhythmias,codeI493,21,0,0,0,NaN,-0.248912345353524,0.238026448262181,NA
codeI494,I494,53,I49.4 Other and unspecified premature depolarisation,codeI494,I49,I49 Other cardiac arrhythmias,codeI494,21,0,0,0,NaN,0.393183794669595,0.283790231192118,NA
codeI495,I495,89,I49.5 Sick sinus syndrome,codeI495,I49,I49 Other cardiac arrhythmias,codeI495,21,0,0,0,NaN,-0.0587915266082903,0.122239557543604,NA
codeI498,I498,64,I49.8 Other specified cardiac arrhythmias,codeI498,I49,I49 Other cardiac arrhythmias,codeI498,21,0,0,0,NaN,-0.0525120502119615,0.145080174577257,NA
codeI499,I499,185,I49.9 Cardiac arrhythmia- unspecified,codeI499,I49,I49 Other cardiac arrhythmias,codeI499,21,0,0,0,NaN,-0.184926896988868,0.229483521866192,NA
codeI500,I500,429,I50.0 Congestive heart failure,codeI500,I50,I50 Heart failure,codeI500,21,3694,9577,0,-0.827353421016825,-0.428642435577224,1.23918407162664,0.101734086024919
codeI501,I501,488,I50.1 Left ventricular failure,codeI501,I50,I50 Heart failure,codeI501,21,0,0,0,NaN,-0.0205959638845773,0.240526773276101,NA
codeI509,I509,390,I50.9 Heart failure- unspecified,codeI509,I50,I50 Heart failure,codeI509,21,0,0,0,NaN,-0.0990142889653777,0.321788460795055,NA
codeI517,I517,653,I51.7 Cardiomegaly,codeI517,I51,I51 Complications and ill-defined descriptions of heart disease,codeI517,22,6962,21371,0,-0.623158446267672,-0.452213237211224,2.18849869598828,0.086852558125444
codeI518,I518,461,I51.8 Other ill-defined heart diseases,codeI518,I51,I51 Complications and ill-defined descriptions of heart disease,codeI518,22,0,0,0,NaN,-0.0930266873268101,0.228872132892685,NA
codeI519,I519,117,I51.9 Heart disease- unspecified,codeI519,I51,I51 Complications and ill-defined descriptions of heart disease,codeI519,22,2,0,0,-1.3331679634796,-0.446148862972569,0.523554097464861,0.00975182641832392
codeI609,I609,56,I60.9 Subarachnoid haemorrhage- unspecified,codeI609,I60,I60 Subarachnoid haemorrhage,codeI609,22,0,0,0,NaN,-0.715148652712246,0.701604628638623,NA
codeI619,I619,41,I61.9 Intracerebral haemorrhage- unspecified,codeI619,I61,I61 Intracerebral haemorrhage,codeI619,22,42,0,0,-2.50209139335032,-1.21965615480653,1.21600528897008,0.0786228091079217
codeI620,I620,40,I62.0 Subdural haemorrhage (acute) (nontraumatic),codeI620,I62,I62 Other nontraumatic intracranial haemorrhage,codeI620,22,270,0,0,2.15690976414301,1.02131754239707,0.81086453330099,0.231111156325463
codeI633,I633,39,I63.3 Cerebral infarction due to thrombosis of cerebral arteries,codeI633,I63,I63 Cerebral infarction,codeI633,22,0,0,0,NaN,0.217443771395059,0.212860930828987,NA
codeI634,I634,36,I63.4 Cerebral infarction due to embolism of cerebral arteries,codeI634,I63,I63 Cerebral infarction,codeI634,22,0,0,0,NaN,-0.478563888913802,0.423433560434852,NA
codeI635,I635,119,I63.5 Cerebral infarction due to unspecified occlusion or stenosis of cerebral arteries,codeI635,I63,I63 Cerebral infarction,codeI635,22,0,0,0,NaN,-0.45694535505565,0.595833827188902,NA
codeI638,I638,33,I63.8 Other cerebral infarction,codeI638,I63,I63 Cerebral infarction,codeI638,22,0,0,0,NaN,-1.13541957752206,0.864218407339566,NA
codeI639,I639,348,I63.9 Cerebral infarction- unspecified,codeI639,I63,I63 Cerebral infarction,codeI639,22,162,0,0,-0.782777023578175,-0.295595977169571,0.681876368995332,0.0293117647084151
codeI64,I64,92,I64 Stroke- not specified as haemorrhage or infarction,codeI64,I64,I64 Stroke- not specified as haemorrhage or infarction,codeI64,22,151,0,0,-1.89232855595738,-0.441979615178475,0.400965348271601,0.151113750971081
codeI652,I652,150,I65.2 Occlusion and stenosis of carotid artery,codeI652,I65,I65 Occlusion and stenosis of precerebral arteries- not resulting in cerebral infarction,codeI652,22,0,0,0,NaN,-0.101756433133109,0.193316493097883,NA
codeI671,I671,50,I67.1 Cerebral aneurysm- nonruptured,codeI671,I67,I67 Other cerebrovascular diseases,codeI671,22,0,0,0,NaN,-0.293638552632324,0.265074864320827,NA
codeI672,I672,38,I67.2 Cerebral atherosclerosis,codeI672,I67,I67 Other cerebrovascular diseases,codeI672,22,300,0,0,-2.48362803388803,-1.1965692750808,1.0980914909168,0.212694969110289
codeI678,I678,358,I67.8 Other specified cerebrovascular diseases,codeI678,I67,I67 Other cerebrovascular diseases,codeI678,22,8209,19532,0,-0.901775503966187,-0.617564833542939,2.01635325132569,0.102005741939502
codeI679,I679,188,I67.9 Cerebrovascular disease- unspecified,codeI679,I67,I67 Other cerebrovascular diseases,codeI679,22,9471,27467,0,-1.14663058633557,-0.950981234598963,2.52400221100161,0.195284078488691
codeI693,I693,52,I69.3 Sequelae of cerebral infarction,codeI693,I69,I69 Sequelae of cerebrovascular disease,codeI693,22,1832,16088,0,-2.00001459396976,-1.30975677999532,1.65792461116591,0.149158337054639
codeI694,I694,123,I69.4 Sequelae of stroke- not specified as haemorrhage or infarction,codeI694,I69,I69 Sequelae of cerebrovascular disease,codeI694,22,6427,14074,0,-1.52680310908898,-0.93739153124193,1.55568427849088,0.180626096790851
codeI7000,I7000,72,I70.00 Atherosclerosis of aorta (without gangrene),codeI7000,I70,I70 Atherosclerosis,codeI7000,23,0,0,0,NaN,-0.623270381021756,0.713120221182969,NA
codeI702,I702,31,I70.2 Atherosclerosis of arteries of the extremities,codeI702,I70,I70 Atherosclerosis,codeI702,23,0,0,0,NaN,-0.362207609063582,0.192911050910626,NA
codeI7020,I7020,69,I70.20 Atherosclerosis of arteries of extremities (without gangrene),codeI7020,I70,I70 Atherosclerosis,codeI7020,23,0,0,0,NaN,-0.403666440957084,0.38362947195789,NA
codeI710,I710,31,I71.0 Dissection of aorta [any part],codeI710,I71,I71 Aortic aneurysm and dissection,codeI710,23,0,0,0,NaN,0.315123184110571,0.253622858208254,NA
codeI712,I712,77,I71.2 Thoracic aortic aneurysm- without mention of rupture,codeI712,I71,I71 Aortic aneurysm and dissection,codeI712,23,8,0,0,-1.77871875644805,-0.857729419475713,1.07301986569352,0.228335679566038
codeI714,I714,151,I71.4 Abdominal aortic aneurysm- without mention of rupture,codeI714,I71,I71 Aortic aneurysm and dissection,codeI714,23,53,0,0,-1.19623639160001,-0.246706793466694,0.259081871301033,0.0500216756672925
codeI719,I719,42,I71.9 Aortic aneurysm of unspecified site- without mention of rupture,codeI719,I71,I71 Aortic aneurysm and dissection,codeI719,23,0,0,0,NaN,-0.651255415814929,0.501522833911041,NA
codeI724,I724,32,I72.4 Aneurysm of artery of lower extremity,codeI724,I72,I72 Other aneurysm,codeI724,23,0,0,0,NaN,-0.222450040787209,0.225584594306933,NA
codeI730,I730,258,I73.0 Raynaud's syndrome,codeI730,I73,I73 Other peripheral vascular diseases,codeI730,23,16,0,0,-1.23519819641345,-0.391535209048435,0.943988239586816,0.282668381432706
codeI739,I739,269,I73.9 Peripheral vascular disease- unspecified,codeI739,I73,I73 Other peripheral vascular diseases,codeI739,23,7509,16027,6,-1.0660792122223,-0.691578978348544,1.70567944494475,0.162332690462678
codeI743,I743,69,I74.3 Embolism and thrombosis of arteries of the lower extremities,codeI743,I74,I74 Arterial embolism and thrombosis,codeI743,23,0,0,0,NaN,-0.640399860728037,0.707083146597394,NA
codeI771,I771,90,I77.1 Stricture of artery,codeI771,I77,I77 Other disorders of arteries and arterioles,codeI771,23,51,0,0,-1.99324542981323,-0.463931802619201,0.456743384091201,0.135233677447278
codeI776,I776,41,I77.6 Arteritis- unspecified,codeI776,I77,I77 Other disorders of arteries and arterioles,codeI776,23,0,0,0,NaN,-0.375916644892099,0.287495314780197,NA
codeI781,I781,65,I78.1 Naevus- nonneoplastic,codeI781,I78,I78 Diseases of capillaries,codeI781,23,0,0,0,NaN,-0.198228408754083,0.313734778000721,NA
codeI800,I800,63,I80.0 Phlebitis and thrombophlebitis of superficial vessels of lower extremities,codeI800,I80,I80 Phlebitis and thrombophlebitis,codeI800,23,0,0,0,NaN,-0.128375585641235,0.221900251819856,NA
codeI801,I801,59,I80.1 Phlebitis and thrombophlebitis of femoral vein,codeI801,I80,I80 Phlebitis and thrombophlebitis,codeI801,23,0,0,0,NaN,0.289857508786728,0.431789611600562,NA
