,code,N,meaning,codeID,path,path_meaning,Biomarker,parallel_group,n_sig_FDR,n_sig_adj.P.Val,n_sig_bonf,SigLogFC,LogFC,p,sds
codeD124,D124,333,D12.4 Descending colon,codeD124,D12,D12 Benign neoplasm of colon- rectum- anus and anal canal,codeD124,7,0,0,0,NaN,-0.352616981367912,0.887362343781879,NA
codeD125,D125,883,D12.5 Sigmoid colon,codeD125,D12,D12 Benign neoplasm of colon- rectum- anus and anal canal,codeD125,7,0,0,0,NaN,0.0824970203033315,0.359119107823177,NA
codeD126,D126,251,D12.6 Colon- unspecified,codeD126,D12,D12 Benign neoplasm of colon- rectum- anus and anal canal,codeD126,7,0,0,0,NaN,-0.0889619502578284,0.216856265543838,NA
codeD127,D127,82,D12.7 Rectosigmoid junction,codeD127,D12,D12 Benign neoplasm of colon- rectum- anus and anal canal,codeD127,7,12,0,0,1.74629177923034,0.687443437021151,0.791272127436553,0.511762648391534
codeD128,D128,530,D12.8 Rectum,codeD128,D12,D12 Benign neoplasm of colon- rectum- anus and anal canal,codeD128,7,0,0,0,NaN,0.130489965612474,0.300100356649715,NA
codeD131,D131,90,D13.1 Stomach,codeD131,D13,D13 Benign neoplasm of other and ill-defined parts of digestive system,codeD131,7,0,0,0,NaN,-0.0454442728538717,0.168166423286803,NA
codeD170,D170,119,D17.0 Benign lipomatous neoplasm of skin and subcutaneous tissue of head- face and neck,codeD170,D17,D17 Benign lipomatous neoplasm,codeD170,7,0,0,0,NaN,0.0490521922494151,0.147832423604688,NA
codeD171,D171,244,D17.1 Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk,codeD171,D17,D17 Benign lipomatous neoplasm,codeD171,7,0,0,0,NaN,0.341704305058099,0.66881404679825,NA
codeD172,D172,184,D17.2 Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs,codeD172,D17,D17 Benign lipomatous neoplasm,codeD172,7,353,0,0,1.27860578909464,0.545031845564129,0.87343006565144,0.129485903222841
codeD173,D173,45,D17.3 Benign lipomatous neoplasm of skin and subcutaneous tissue of other and unspecified sites,codeD173,D17,D17 Benign lipomatous neoplasm,codeD173,7,0,0,0,NaN,0.37807508186329,0.275626902443778,NA
codeD175,D175,42,D17.5 Benign lipomatous neoplasm of intra-abdominal organs,codeD175,D17,D17 Benign lipomatous neoplasm,codeD175,7,7,0,0,-1.96213346250465,-0.801653689209936,0.676716624063199,0.113256610048212
codeD176,D176,147,D17.6 Benign lipomatous neoplasm of spermatic cord,codeD176,D17,D17 Benign lipomatous neoplasm,codeD176,7,0,0,0,NaN,-0.0258738178317861,0.19050942216587,NA
codeD177,D177,49,D17.7 Benign lipomatous neoplasm of other sites,codeD177,D17,D17 Benign lipomatous neoplasm,codeD177,8,0,0,0,NaN,-0.414468390997979,0.274564871669602,NA
codeD179,D179,39,D17.9 Benign lipomatous neoplasm- unspecified,codeD179,D17,D17 Benign lipomatous neoplasm,codeD179,8,0,0,0,NaN,-0.264824404249929,0.206525320152033,NA
codeD180,D180,212,D18.0 Haemangioma- any site,codeD180,D18,D18 Haemangioma and lymphangioma- any site,codeD180,8,0,0,0,NaN,-0.240179091056325,0.363561676571413,NA
codeD223,D223,190,D22.3 Melanocytic naevi of other and unspecified parts of face,codeD223,D22,D22 Melanocytic naevi,codeD223,8,0,0,0,NaN,0.264879006168498,0.420137876288653,NA
codeD224,D224,46,D22.4 Melanocytic naevi of scalp and neck,codeD224,D22,D22 Melanocytic naevi,codeD224,8,44,0,0,2.70441600137782,-0.13149523091858,0.19862764373176,0.1511963593478
codeD225,D225,225,D22.5 Melanocytic naevi of trunk,codeD225,D22,D22 Melanocytic naevi,codeD225,8,0,0,0,NaN,0.0349476537811466,0.143100138818769,NA
codeD226,D226,62,D22.6 Melanocytic naevi of upper limb- including shoulder,codeD226,D22,D22 Melanocytic naevi,codeD226,8,0,0,0,NaN,0.0250815226100296,0.11902719284627,NA
codeD227,D227,71,D22.7 Melanocytic naevi of lower limb- including hip,codeD227,D22,D22 Melanocytic naevi,codeD227,8,0,0,0,NaN,0.122541304023008,0.16725019370862,NA
