,Biomarker,Description,Units,Group,Sub.Group,Type,Nightingale,UKB.Field.ID,QC.Flag.Field.ID,Full.Formula,Simplified.Formula,Sub_group,miss,miss_p,miss_Sub_group,HVGs,HVGs.more,HVGs.less,path,parallel_group,cor,n_sig_FDR,n_sig_adj.P.Val,n_sig_bonf,SigLogFC,LogFC,p,sds
S_HDL_CE_pct_C,S_HDL_CE_pct_C,Cholesteryl Esters to Cholesterol in Small HDL percentage,%,Relative lipoprotein cholesterol concentrations,Small HDL ratios,Percentage,FALSE,NA,NA,S_HDL_CE / (S_HDL_CE + S_HDL_FC) * 100,S_HDL_CE / S_HDL_C * 100,Relative lipoprotein cholesterol concentrations Small HDL ratios,1715,0.0139250887064689,0.0139250887064689,FALSE,FALSE,FALSE,Relative lipoprotein cholesterol concentrations_Small HDL ratios,15,0.89974650857647,11,0,0,-0.0918115658730428,0.00649245726850631,0.184920978296065,0.00535962222915372
S_HDL_FC_by_CE,S_HDL_FC_by_CE,Free Cholesterol to Cholesteryl Esters in Small HDL ratio,ratio,Relative lipoprotein lipid concentrations,Small HDL ratios,Ratio,FALSE,NA,NA,S_HDL_FC / S_HDL_CE,S_HDL_FC / S_HDL_CE,Relative lipoprotein lipid concentrations Small HDL ratios,1715,0.0139250887064689,0.0157993596353765,FALSE,FALSE,FALSE,Relative lipoprotein lipid concentrations_Small HDL ratios,15,0.899360912182731,10,0,0,0.0913763811807144,-0.00658667947308068,0.185037874779109,0.00551146389339549
S_HDL_FC_pct_C,S_HDL_FC_pct_C,Free Cholesterol to Cholesterol in Small HDL percentage,%,Relative lipoprotein cholesterol concentrations,Small HDL ratios,Percentage,FALSE,NA,NA,S_HDL_FC / (S_HDL_CE + S_HDL_FC) * 100,S_HDL_FC / S_HDL_C * 100,Relative lipoprotein cholesterol concentrations Small HDL ratios,1715,0.0139250887064689,0.0139250887064689,FALSE,FALSE,FALSE,Relative lipoprotein cholesterol concentrations_Small HDL ratios,16,0.898467563644291,13,0,0,0.0896192072403061,-0.00657370996521333,0.182103609220168,0.00548654717378779
S_LDL_CE_pct_C,S_LDL_CE_pct_C,Cholesteryl Esters to Cholesterol in Small LDL percentage,%,Relative lipoprotein cholesterol concentrations,Small LDL ratios,Percentage,FALSE,NA,NA,S_LDL_CE / (S_LDL_CE + S_LDL_FC) * 100,S_LDL_CE / S_LDL_C * 100,Relative lipoprotein cholesterol concentrations Small LDL ratios,1531,0.0124310850201772,0.0124310850201772,FALSE,TRUE,FALSE,Relative lipoprotein cholesterol concentrations_Small LDL ratios,16,0.978903147446015,23666,24505,0,-0.135501862183694,-0.123639184642846,2.59824912735478,0.0349841243712161
S_LDL_FC_by_CE,S_LDL_FC_by_CE,Free Cholesterol to Cholesteryl Esters in Small LDL ratio,ratio,Relative lipoprotein lipid concentrations,Small LDL ratios,Ratio,FALSE,NA,NA,S_LDL_FC / S_LDL_CE,S_LDL_FC / S_LDL_CE,Relative lipoprotein lipid concentrations Small LDL ratios,1531,0.0124310850201772,0.013053586556132,FALSE,FALSE,FALSE,Relative lipoprotein lipid concentrations_Small LDL ratios,16,0.978416355157597,23675,24520,0,0.13535913894677,0.12361589843231,2.60094811148761,0.0347331000841435
S_LDL_FC_pct_C,S_LDL_FC_pct_C,Free Cholesterol to Cholesterol in Small LDL percentage,%,Relative lipoprotein cholesterol concentrations,Small LDL ratios,Percentage,FALSE,NA,NA,S_LDL_FC / (S_LDL_CE + S_LDL_FC) * 100,S_LDL_FC / S_LDL_C * 100,Relative lipoprotein cholesterol concentrations Small LDL ratios,1531,0.0124310850201772,0.0124310850201772,FALSE,TRUE,TRUE,Relative lipoprotein cholesterol concentrations_Small LDL ratios,16,0.97729020485896,23657,24524,0,0.134792841959074,0.123270770256135,2.59418976105281,0.0341479670681297
S_VLDL_CE_pct_C,S_VLDL_CE_pct_C,Cholesteryl Esters to Cholesterol in Small VLDL percentage,%,Relative lipoprotein cholesterol concentrations,Small VLDL ratios,Percentage,FALSE,NA,NA,S_VLDL_CE / (S_VLDL_CE + S_VLDL_FC) * 100,S_VLDL_CE / S_VLDL_C * 100,Relative lipoprotein cholesterol concentrations Small VLDL ratios,1255,0.0101900794907396,0.0101900794907396,FALSE,FALSE,FALSE,Relative lipoprotein cholesterol concentrations_Small VLDL ratios,16,0.988387860903213,23200,23920,276,-0.164093318667444,-0.14458246136714,3.24044224578569,0.0391416605747397
S_VLDL_FC_by_CE,S_VLDL_FC_by_CE,Free Cholesterol to Cholesteryl Esters in Small VLDL ratio,ratio,Relative lipoprotein lipid concentrations,Small VLDL ratios,Ratio,FALSE,NA,NA,S_VLDL_FC / S_VLDL_CE,S_VLDL_FC / S_VLDL_CE,Relative lipoprotein lipid concentrations Small VLDL ratios,1255,0.0101900794907396,0.0114283162416064,FALSE,FALSE,FALSE,Relative lipoprotein lipid concentrations_Small VLDL ratios,16,0.988269543086505,22919,23680,210,0.162117381334884,0.141951078079747,3.15223961708548,0.038621532730043
S_VLDL_FC_pct_C,S_VLDL_FC_pct_C,Free Cholesterol to Cholesterol in Small VLDL percentage,%,Relative lipoprotein cholesterol concentrations,Small VLDL ratios,Percentage,FALSE,NA,NA,S_VLDL_FC / (S_VLDL_CE + S_VLDL_FC) * 100,S_VLDL_FC / S_VLDL_C * 100,Relative lipoprotein cholesterol concentrations Small VLDL ratios,1255,0.0101900794907396,0.0101900794907396,FALSE,FALSE,FALSE,Relative lipoprotein cholesterol concentrations_Small VLDL ratios,16,0.988557346347058,23740,24371,511,0.168805757830128,0.150619175577237,3.457617448994,0.040382548331611
Total_C_pct,Total_C_pct,Total Cholesterol to Total Lipids percentage,%,Relative lipid concentrations,,Percentage,FALSE,NA,NA,(XXL_VLDL_CE + XXL_VLDL_FC + XL_VLDL_CE + XL_VLDL_FC + L_VLDL_CE + L_VLDL_FC + M_VLDL_CE + M_VLDL_FC + S_VLDL_CE + S_VLDL_FC + XS_VLDL_CE + XS_VLDL_FC + IDL_CE + IDL_FC + L_LDL_CE + L_LDL_FC + M_LDL_CE + M_LDL_FC + S_LDL_CE + S_LDL_FC + XL_HDL_CE + XL_HDL_FC + L_HDL_CE + L_HDL_FC + M_HDL_CE + M_HDL_FC + S_HDL_CE + S_HDL_FC) / (XXL_VLDL_CE + XXL_VLDL_FC + XXL_VLDL_PL + XXL_VLDL_TG + XL_VLDL_CE + XL_VLDL_FC + XL_VLDL_PL + XL_VLDL_TG + L_VLDL_CE + L_VLDL_FC + L_VLDL_PL + L_VLDL_TG + M_VLDL_CE + M_VLDL_FC + M_VLDL_PL + M_VLDL_TG + S_VLDL_CE + S_VLDL_FC + S_VLDL_PL + S_VLDL_TG + XS_VLDL_CE + XS_VLDL_FC + XS_VLDL_PL + XS_VLDL_TG + IDL_CE + IDL_FC + IDL_PL + IDL_TG + L_LDL_CE + L_LDL_FC + L_LDL_PL + L_LDL_TG + M_LDL_CE + M_LDL_FC + M_LDL_PL + M_LDL_TG + S_LDL_CE + S_LDL_FC + S_LDL_PL + S_LDL_TG + XL_HDL_CE + XL_HDL_FC + XL_HDL_PL + XL_HDL_TG + L_HDL_CE + L_HDL_FC + L_HDL_PL + L_HDL_TG + M_HDL_CE + M_HDL_FC + M_HDL_PL + M_HDL_TG + S_HDL_CE + S_HDL_FC + S_HDL_PL + S_HDL_TG) * 100,Total_C / Total_L * 100,Relative lipid concentrations Relative lipid concentrations,3363,0.0273061652010815,0.0201206705694806,FALSE,TRUE,TRUE,Relative lipid concentrations_,16,0.978130203922209,28986,29019,7770,0.226690992784706,0.22645274326956,6.77978723445299,0.0578750612932124
