,Biomarker,Description,Units,Group,Sub.Group,Type,Nightingale,UKB.Field.ID,QC.Flag.Field.ID,Full.Formula,Simplified.Formula,Sub_group,miss,miss_p,miss_Sub_group,HVGs,HVGs.more,HVGs.less,path,parallel_group,cor,n_sig_FDR,n_sig_adj.P.Val,n_sig_bonf,SigLogFC,LogFC,p,sds
Total_CE_pct,Total_CE_pct,Total Esterified Cholesterol to Total Lipids percentage,%,Relative lipid concentrations,,Percentage,FALSE,NA,NA,(XXL_VLDL_CE + XL_VLDL_CE + L_VLDL_CE + M_VLDL_CE + S_VLDL_CE + XS_VLDL_CE + IDL_CE + L_LDL_CE + M_LDL_CE + S_LDL_CE + XL_HDL_CE + L_HDL_CE + M_HDL_CE + S_HDL_CE) / (XXL_VLDL_CE + XXL_VLDL_FC + XXL_VLDL_PL + XXL_VLDL_TG + XL_VLDL_CE + XL_VLDL_FC + XL_VLDL_PL + XL_VLDL_TG + L_VLDL_CE + L_VLDL_FC + L_VLDL_PL + L_VLDL_TG + M_VLDL_CE + M_VLDL_FC + M_VLDL_PL + M_VLDL_TG + S_VLDL_CE + S_VLDL_FC + S_VLDL_PL + S_VLDL_TG + XS_VLDL_CE + XS_VLDL_FC + XS_VLDL_PL + XS_VLDL_TG + IDL_CE + IDL_FC + IDL_PL + IDL_TG + L_LDL_CE + L_LDL_FC + L_LDL_PL + L_LDL_TG + M_LDL_CE + M_LDL_FC + M_LDL_PL + M_LDL_TG + S_LDL_CE + S_LDL_FC + S_LDL_PL + S_LDL_TG + XL_HDL_CE + XL_HDL_FC + XL_HDL_PL + XL_HDL_TG + L_HDL_CE + L_HDL_FC + L_HDL_PL + L_HDL_TG + M_HDL_CE + M_HDL_FC + M_HDL_PL + M_HDL_TG + S_HDL_CE + S_HDL_FC + S_HDL_PL + S_HDL_TG) * 100,Total_CE / Total_L * 100,Relative lipid concentrations Relative lipid concentrations,3363,0.0273061652010815,0.0201206705694806,FALSE,FALSE,FALSE,Relative lipid concentrations_,16,0.977724877448639,28750,28935,5539,0.213532610872386,0.212456782068655,6.09509487466624,0.0556818679017069
Total_CE_pct_C,Total_CE_pct_C,Total Esterified Cholesterol to Total Cholesterol percentage,%,Relative cholesterol concentrations,,Percentage,FALSE,NA,NA,(XXL_VLDL_CE + XL_VLDL_CE + L_VLDL_CE + M_VLDL_CE + S_VLDL_CE + XS_VLDL_CE + IDL_CE + L_LDL_CE + M_LDL_CE + S_LDL_CE + XL_HDL_CE + L_HDL_CE + M_HDL_CE + S_HDL_CE) / (XXL_VLDL_CE + XL_VLDL_CE + L_VLDL_CE + M_VLDL_CE + S_VLDL_CE + XS_VLDL_CE + IDL_CE + L_LDL_CE + M_LDL_CE + S_LDL_CE + XL_HDL_CE + L_HDL_CE + M_HDL_CE + S_HDL_CE + XXL_VLDL_FC + XL_VLDL_FC + L_VLDL_FC + M_VLDL_FC + S_VLDL_FC + XS_VLDL_FC + IDL_FC + L_LDL_FC + M_LDL_FC + S_LDL_FC + XL_HDL_FC + L_HDL_FC + M_HDL_FC + S_HDL_FC) * 100,Total_CE / Total_C * 100,Relative cholesterol concentrations Relative cholesterol concentrations,2630,0.0213545092116695,0.0167019868625111,FALSE,FALSE,FALSE,Relative cholesterol concentrations_,16,0.979731652760431,272,0,0,-0.125715918141743,-0.0185584949254112,0.242410758631071,0.0185960224057392
Total_FC_by_CE,Total_FC_by_CE,Total Free Cholesterol to Total Esterified Cholesterol ratio,ratio,Relative lipid concentrations,,Ratio,FALSE,NA,NA,(XXL_VLDL_FC + XL_VLDL_FC + L_VLDL_FC + M_VLDL_FC + S_VLDL_FC + XS_VLDL_FC + IDL_FC + L_LDL_FC + M_LDL_FC + S_LDL_FC + XL_HDL_FC + L_HDL_FC + M_HDL_FC + S_HDL_FC) / (XXL_VLDL_CE + XL_VLDL_CE + L_VLDL_CE + M_VLDL_CE + S_VLDL_CE + XS_VLDL_CE + IDL_CE + L_LDL_CE + M_LDL_CE + S_LDL_CE + XL_HDL_CE + L_HDL_CE + M_HDL_CE + S_HDL_CE),Total_FC / Total_CE,Relative lipid concentrations Relative lipid concentrations,2630,0.0213545092116695,0.0201206705694806,FALSE,FALSE,FALSE,Relative lipid concentrations_,16,0.979713189510519,275,0,0,0.12573501631706,0.0187665742003355,0.243251762548281,0.018590986506023
Total_FC_pct,Total_FC_pct,Total Free Cholesterol to Total Lipids percentage,%,Relative lipid concentrations,,Percentage,FALSE,NA,NA,(XXL_VLDL_FC + XL_VLDL_FC + L_VLDL_FC + M_VLDL_FC + S_VLDL_FC + XS_VLDL_FC + IDL_FC + L_LDL_FC + M_LDL_FC + S_LDL_FC + XL_HDL_FC + L_HDL_FC + M_HDL_FC + S_HDL_FC) / (XXL_VLDL_CE + XXL_VLDL_FC + XXL_VLDL_PL + XXL_VLDL_TG + XL_VLDL_CE + XL_VLDL_FC + XL_VLDL_PL + XL_VLDL_TG + L_VLDL_CE + L_VLDL_FC + L_VLDL_PL + L_VLDL_TG + M_VLDL_CE + M_VLDL_FC + M_VLDL_PL + M_VLDL_TG + S_VLDL_CE + S_VLDL_FC + S_VLDL_PL + S_VLDL_TG + XS_VLDL_CE + XS_VLDL_FC + XS_VLDL_PL + XS_VLDL_TG + IDL_CE + IDL_FC + IDL_PL + IDL_TG + L_LDL_CE + L_LDL_FC + L_LDL_PL + L_LDL_TG + M_LDL_CE + M_LDL_FC + M_LDL_PL + M_LDL_TG + S_LDL_CE + S_LDL_FC + S_LDL_PL + S_LDL_TG + XL_HDL_CE + XL_HDL_FC + XL_HDL_PL + XL_HDL_TG + L_HDL_CE + L_HDL_FC + L_HDL_PL + L_HDL_TG + M_HDL_CE + M_HDL_FC + M_HDL_PL + M_HDL_TG + S_HDL_CE + S_HDL_FC + S_HDL_PL + S_HDL_TG) * 100,Total_FC / Total_L * 100,Relative lipid concentrations Relative lipid concentrations,3363,0.0273061652010815,0.0201206705694806,FALSE,FALSE,FALSE,Relative lipid concentrations_,16,0.979330782399572,29041,29041,10170,0.238108582855313,0.238108582855313,7.25498809839269,0.0585915945653468
Total_FC_pct_C,Total_FC_pct_C,Total Free Cholesterol to Total Cholesterol percentage,%,Relative cholesterol concentrations,,Percentage,FALSE,NA,NA,(XXL_VLDL_FC + XL_VLDL_FC + L_VLDL_FC + M_VLDL_FC + S_VLDL_FC + XS_VLDL_FC + IDL_FC + L_LDL_FC + M_LDL_FC + S_LDL_FC + XL_HDL_FC + L_HDL_FC + M_HDL_FC + S_HDL_FC) / (XXL_VLDL_CE + XL_VLDL_CE + L_VLDL_CE + M_VLDL_CE + S_VLDL_CE + XS_VLDL_CE + IDL_CE + L_LDL_CE + M_LDL_CE + S_LDL_CE + XL_HDL_CE + L_HDL_CE + M_HDL_CE + S_HDL_CE + XXL_VLDL_FC + XL_VLDL_FC + L_VLDL_FC + M_VLDL_FC + S_VLDL_FC + XS_VLDL_FC + IDL_FC + L_LDL_FC + M_LDL_FC + S_LDL_FC + XL_HDL_FC + L_HDL_FC + M_HDL_FC + S_HDL_FC) * 100,Total_FC / Total_C * 100,Relative cholesterol concentrations Relative cholesterol concentrations,2630,0.0213545092116695,0.0167019868625111,FALSE,FALSE,FALSE,Relative cholesterol concentrations_,16,0.979620389328855,299,0,0,0.126251506134833,0.0197479852827966,0.248450889858192,0.0182766630044504
Total_PL_pct,Total_PL_pct,Total Phospholipids to Total Lipids percentage,%,Relative lipid concentrations,,Percentage,FALSE,NA,NA,(XXL_VLDL_PL + XL_VLDL_PL + L_VLDL_PL + M_VLDL_PL + S_VLDL_PL + XS_VLDL_PL + IDL_PL + L_LDL_PL + M_LDL_PL + S_LDL_PL + XL_HDL_PL + L_HDL_PL + M_HDL_PL + S_HDL_PL) / (XXL_VLDL_CE + XXL_VLDL_FC + XXL_VLDL_PL + XXL_VLDL_TG + XL_VLDL_CE + XL_VLDL_FC + XL_VLDL_PL + XL_VLDL_TG + L_VLDL_CE + L_VLDL_FC + L_VLDL_PL + L_VLDL_TG + M_VLDL_CE + M_VLDL_FC + M_VLDL_PL + M_VLDL_TG + S_VLDL_CE + S_VLDL_FC + S_VLDL_PL + S_VLDL_TG + XS_VLDL_CE + XS_VLDL_FC + XS_VLDL_PL + XS_VLDL_TG + IDL_CE + IDL_FC + IDL_PL + IDL_TG + L_LDL_CE + L_LDL_FC + L_LDL_PL + L_LDL_TG + M_LDL_CE + M_LDL_FC + M_LDL_PL + M_LDL_TG + S_LDL_CE + S_LDL_FC + S_LDL_PL + S_LDL_TG + XL_HDL_CE + XL_HDL_FC + XL_HDL_PL + XL_HDL_TG + L_HDL_CE + L_HDL_FC + L_HDL_PL + L_HDL_TG + M_HDL_CE + M_HDL_FC + M_HDL_PL + M_HDL_TG + S_HDL_CE + S_HDL_FC + S_HDL_PL + S_HDL_TG) * 100,Total_PL / Total_L * 100,Relative lipid concentrations Relative lipid concentrations,3363,0.0273061652010815,0.0201206705694806,FALSE,FALSE,FALSE,Relative lipid concentrations_,16,0.982059085790981,5104,0,0,-0.126706658979433,-0.0664103562112084,0.810042685615626,0.020098709098054
Total_TG_pct,Total_TG_pct,Total Triglycerides to Total Lipids percentage,%,Relative lipid concentrations,,Percentage,FALSE,NA,NA,(XXL_VLDL_TG + XL_VLDL_TG + L_VLDL_TG + M_VLDL_TG + S_VLDL_TG + XS_VLDL_TG + IDL_TG + L_LDL_TG + M_LDL_TG + S_LDL_TG + XL_HDL_TG + L_HDL_TG + M_HDL_TG + S_HDL_TG) / (XXL_VLDL_CE + XXL_VLDL_FC + XXL_VLDL_PL + XXL_VLDL_TG + XL_VLDL_CE + XL_VLDL_FC + XL_VLDL_PL + XL_VLDL_TG + L_VLDL_CE + L_VLDL_FC + L_VLDL_PL + L_VLDL_TG + M_VLDL_CE + M_VLDL_FC + M_VLDL_PL + M_VLDL_TG + S_VLDL_CE + S_VLDL_FC + S_VLDL_PL + S_VLDL_TG + XS_VLDL_CE + XS_VLDL_FC + XS_VLDL_PL + XS_VLDL_TG + IDL_CE + IDL_FC + IDL_PL + IDL_TG + L_LDL_CE + L_LDL_FC + L_LDL_PL + L_LDL_TG + M_LDL_CE + M_LDL_FC + M_LDL_PL + M_LDL_TG + S_LDL_CE + S_LDL_FC + S_LDL_PL + S_LDL_TG + XL_HDL_CE + XL_HDL_FC + XL_HDL_PL + XL_HDL_TG + L_HDL_CE + L_HDL_FC + L_HDL_PL + L_HDL_TG + M_HDL_CE + M_HDL_FC + M_HDL_PL + M_HDL_TG + S_HDL_CE + S_HDL_FC + S_HDL_PL + S_HDL_TG) * 100,Total_TG / Total_L * 100,Relative lipid concentrations Relative lipid concentrations,3363,0.0273061652010815,0.0201206705694806,TRUE,TRUE,TRUE,Relative lipid concentrations_,16,0.977615253873158,25345,25790,442,-0.167560112129822,-0.155977597519522,3.49634689235303,0.0427352737010318
VLDL_C_pct,VLDL_C_pct,Cholesterol to Total Lipids in VLDL percentage,%,Relative lipid concentrations,,Percentage,FALSE,NA,NA,(XXL_VLDL_CE + XXL_VLDL_FC + XL_VLDL_CE + XL_VLDL_FC + L_VLDL_CE + L_VLDL_FC + M_VLDL_CE + M_VLDL_FC + S_VLDL_CE + S_VLDL_FC + XS_VLDL_CE + XS_VLDL_FC) / (XXL_VLDL_CE + XXL_VLDL_FC + XXL_VLDL_PL + XXL_VLDL_TG + XL_VLDL_CE + XL_VLDL_FC + XL_VLDL_PL + XL_VLDL_TG + L_VLDL_CE + L_VLDL_FC + L_VLDL_PL + L_VLDL_TG + M_VLDL_CE + M_VLDL_FC + M_VLDL_PL + M_VLDL_TG + S_VLDL_CE + S_VLDL_FC + S_VLDL_PL + S_VLDL_TG + XS_VLDL_CE + XS_VLDL_FC + XS_VLDL_PL + XS_VLDL_TG) * 100,VLDL_C / VLDL_L * 100,Relative lipid concentrations Relative lipid concentrations,2446,0.0198605055253778,0.0201206705694806,FALSE,TRUE,TRUE,Relative lipid concentrations_,16,0.9780960198583,28895,28996,3823,0.203061743345158,0.202566779041101,5.17678143642404,0.0567425921278363
VLDL_CE_pct,VLDL_CE_pct,Cholesteryl Esters to Total Lipids in VLDL percentage,%,Relative lipid concentrations,,Percentage,FALSE,NA,NA,(XXL_VLDL_CE + XL_VLDL_CE + L_VLDL_CE + M_VLDL_CE + S_VLDL_CE + XS_VLDL_CE) / (XXL_VLDL_CE + XXL_VLDL_FC + XXL_VLDL_PL + XXL_VLDL_TG + XL_VLDL_CE + XL_VLDL_FC + XL_VLDL_PL + XL_VLDL_TG + L_VLDL_CE + L_VLDL_FC + L_VLDL_PL + L_VLDL_TG + M_VLDL_CE + M_VLDL_FC + M_VLDL_PL + M_VLDL_TG + S_VLDL_CE + S_VLDL_FC + S_VLDL_PL + S_VLDL_TG + XS_VLDL_CE + XS_VLDL_FC + XS_VLDL_PL + XS_VLDL_TG) * 100,VLDL_CE / VLDL_L * 100,Relative lipid concentrations Relative lipid concentrations,2446,0.0198605055253778,0.0201206705694806,FALSE,TRUE,TRUE,Relative lipid concentrations_,16,0.979249485284914,28778,28959,3480,0.200543526418446,0.199700867553581,5.05648868546387,0.0561818655631988
VLDL_CE_pct_C,VLDL_CE_pct_C,Cholesteryl Esters to Cholesterol in VLDL percentage,%,Relative cholesterol concentrations,,Percentage,FALSE,NA,NA,(XXL_VLDL_CE + XL_VLDL_CE + L_VLDL_CE + M_VLDL_CE + S_VLDL_CE + XS_VLDL_CE) / (XXL_VLDL_CE + XL_VLDL_CE + L_VLDL_CE + M_VLDL_CE + S_VLDL_CE + XS_VLDL_CE + XXL_VLDL_FC + XL_VLDL_FC + L_VLDL_FC + M_VLDL_FC + S_VLDL_FC + XS_VLDL_FC),VLDL_CE / VLDL_C * 100,Relative cholesterol concentrations Relative cholesterol concentrations,1989,0.0161498550654033,0.0167019868625111,FALSE,TRUE,FALSE,Relative cholesterol concentrations_,16,0.983615833476037,27969,28618,2575,0.195030630317225,0.191907737226953,4.73962557473064,0.052899914655301
VLDL_FC_by_CE,VLDL_FC_by_CE,Free Cholesterol to Cholesteryl Esters in VLDL percentage,ratio,Relative lipid concentrations,,Ratio,FALSE,NA,NA,(XXL_VLDL_FC + XL_VLDL_FC + L_VLDL_FC + M_VLDL_FC + S_VLDL_FC + XS_VLDL_FC) / (XXL_VLDL_CE + XL_VLDL_CE + L_VLDL_CE + M_VLDL_CE + S_VLDL_CE + XS_VLDL_CE),VLDL_FC / VLDL_CE,Relative lipid concentrations Relative lipid concentrations,1989,0.0161498550654033,0.0201206705694806,FALSE,FALSE,FALSE,Relative lipid concentrations_,16,0.983624712061584,28047,28656,2620,-0.195591169902791,-0.192690595702215,4.7738242255405,0.0529511706764296
VLDL_FC_pct,VLDL_FC_pct,Free Cholesterol to Total Lipids in VLDL percentage,%,Relative lipid concentrations,,Percentage,FALSE,NA,NA,(XXL_VLDL_FC + XL_VLDL_FC + L_VLDL_FC + M_VLDL_FC + S_VLDL_FC + XS_VLDL_FC) / (XXL_VLDL_CE + XXL_VLDL_FC + XXL_VLDL_PL + XXL_VLDL_TG + XL_VLDL_CE + XL_VLDL_FC + XL_VLDL_PL + XL_VLDL_TG + L_VLDL_CE + L_VLDL_FC + L_VLDL_PL + L_VLDL_TG + M_VLDL_CE + M_VLDL_FC + M_VLDL_PL + M_VLDL_TG + S_VLDL_CE + S_VLDL_FC + S_VLDL_PL + S_VLDL_TG + XS_VLDL_CE + XS_VLDL_FC + XS_VLDL_PL + XS_VLDL_TG) * 100,VLDL_FC / VLDL_L * 100,Relative lipid concentrations Relative lipid concentrations,2446,0.0198605055253778,0.0201206705694806,FALSE,FALSE,FALSE,Relative lipid concentrations_,17,0.974942451692402,29003,29034,4579,0.209379219832538,0.209240164409545,5.45615768337231,0.0578011048094628
VLDL_FC_pct_C,VLDL_FC_pct_C,Free Cholesterol to Cholesterol in VLDL percentage,%,Relative cholesterol concentrations,,Percentage,FALSE,NA,NA,(XXL_VLDL_FC + XL_VLDL_FC + L_VLDL_FC + M_VLDL_FC + S_VLDL_FC + XS_VLDL_FC) / (XXL_VLDL_CE + XL_VLDL_CE + L_VLDL_CE + M_VLDL_CE + S_VLDL_CE + XS_VLDL_CE + XXL_VLDL_FC + XL_VLDL_FC + L_VLDL_FC + M_VLDL_FC + S_VLDL_FC + XS_VLDL_FC),VLDL_FC / VLDL_C * 100,Relative cholesterol concentrations Relative cholesterol concentrations,1989,0.0161498550654033,0.0167019868625111,FALSE,FALSE,FALSE,Relative cholesterol concentrations_,17,0.983530392491316,27632,28403,2347,-0.19277410521278,-0.188719547304547,4.60864020837778,0.0524456599096546
VLDL_PL_pct,VLDL_PL_pct,Phospholipids to Total Lipids in VLDL percentage,%,Relative lipid concentrations,,Percentage,FALSE,NA,NA,(XXL_VLDL_PL + XL_VLDL_PL + L_VLDL_PL + M_VLDL_PL + S_VLDL_PL + XS_VLDL_PL) / (XXL_VLDL_CE + XXL_VLDL_FC + XXL_VLDL_PL + XXL_VLDL_TG + XL_VLDL_CE + XL_VLDL_FC + XL_VLDL_PL + XL_VLDL_TG + L_VLDL_CE + L_VLDL_FC + L_VLDL_PL + L_VLDL_TG + M_VLDL_CE + M_VLDL_FC + M_VLDL_PL + M_VLDL_TG + S_VLDL_CE + S_VLDL_FC + S_VLDL_PL + S_VLDL_TG + XS_VLDL_CE + XS_VLDL_FC + XS_VLDL_PL + XS_VLDL_TG) * 100,VLDL_PL / VLDL_L * 100,Relative lipid concentrations Relative lipid concentrations,2446,0.0198605055253778,0.0201206705694806,FALSE,FALSE,FALSE,Relative lipid concentrations_,17,0.969724938610603,28875,28985,1758,0.176679267378179,0.176260919586091,3.94275616507867,0.0506211909971323
VLDL_TG_pct,VLDL_TG_pct,Triglycerides to Total Lipids in VLDL percentage,%,Relative lipid concentrations,,Percentage,FALSE,NA,NA,(XXL_VLDL_TG + XL_VLDL_TG + L_VLDL_TG + M_VLDL_TG + S_VLDL_TG + XS_VLDL_TG) / (XXL_VLDL_CE + XXL_VLDL_FC + XXL_VLDL_PL + XXL_VLDL_TG + XL_VLDL_CE + XL_VLDL_FC + XL_VLDL_PL + XL_VLDL_TG + L_VLDL_CE + L_VLDL_FC + L_VLDL_PL + L_VLDL_TG + M_VLDL_CE + M_VLDL_FC + M_VLDL_PL + M_VLDL_TG + S_VLDL_CE + S_VLDL_FC + S_VLDL_PL + S_VLDL_TG + XS_VLDL_CE + XS_VLDL_FC + XS_VLDL_PL + XS_VLDL_TG) * 100,VLDL_TG / VLDL_L * 100,Relative lipid concentrations Relative lipid concentrations,2446,0.0198605055253778,0.0201206705694806,FALSE,TRUE,TRUE,Relative lipid concentrations_,17,0.975062541694618,28654,28917,2787,-0.190798797105737,-0.189654503389369,4.60011184503772,0.0547803831426701
XL_HDL_CE_pct_C,XL_HDL_CE_pct_C,Cholesteryl Esters to Cholesterol in Very Large HDL percentage,%,Relative lipoprotein cholesterol concentrations,Very large HDL ratios,Percentage,FALSE,NA,NA,XL_HDL_CE / (XL_HDL_CE + XL_HDL_FC) * 100,XL_HDL_CE / XL_HDL_C * 100,Relative lipoprotein cholesterol concentrations Very large HDL ratios,274,0.00222476635893439,0.00222476635893439,FALSE,TRUE,TRUE,Relative lipoprotein cholesterol concentrations_Very large HDL ratios,17,0.958250397172017,14795,14131,0,0.128409816394445,0.0990325262122642,1.57688541769031,0.0243394135228033
XL_HDL_FC_by_CE,XL_HDL_FC_by_CE,Free Cholesterol to Cholesteryl Esters in Very Large HDL ratio,ratio,Relative lipoprotein lipid concentrations,Very large HDL ratios,Ratio,FALSE,NA,NA,XL_HDL_FC / XL_HDL_CE,XL_HDL_FC / XL_HDL_CE,Relative lipoprotein lipid concentrations Very large HDL ratios,274,0.00222476635893439,0.00721154496761639,FALSE,TRUE,TRUE,Relative lipoprotein lipid concentrations_Very large HDL ratios,17,0.98769901546055,21,0,0,-0.0273795679024849,-0.0207872222997957,0.260041008763124,0.0882892803941159
XL_HDL_FC_pct_C,XL_HDL_FC_pct_C,Free Cholesterol to Cholesterol in Very Large HDL percentage,%,Relative lipoprotein cholesterol concentrations,Very large HDL ratios,Percentage,FALSE,NA,NA,XL_HDL_FC / (XL_HDL_CE + XL_HDL_FC) * 100,XL_HDL_FC / XL_HDL_C * 100,Relative lipoprotein cholesterol concentrations Very large HDL ratios,274,0.00222476635893439,0.00222476635893439,FALSE,TRUE,TRUE,Relative lipoprotein cholesterol concentrations_Very large HDL ratios,17,0.96586546133857,18620,19374,0,-0.140379109435545,-0.113532088425171,1.92085757682309,0.0290245334727346
XL_VLDL_CE_pct_C,XL_VLDL_CE_pct_C,Cholesteryl Esters to Cholesterol in Very Large VLDL percentage,%,Relative lipoprotein cholesterol concentrations,Very large VLDL ratios,Percentage,FALSE,NA,NA,XL_VLDL_CE / (XL_VLDL_CE + XL_HDL_FC) * 100,XL_VLDL_CE / XL_VLDL_C * 100,Relative lipoprotein cholesterol concentrations Very large VLDL ratios,367,0.00297988778733182,0.00297988778733182,FALSE,TRUE,TRUE,Relative lipoprotein cholesterol concentrations_Very large VLDL ratios,17,0.975701148674211,26517,27293,1334,0.170872336086536,0.164391935661352,3.81537054938501,0.0491698950040207
XL_VLDL_FC_by_CE,XL_VLDL_FC_by_CE,Free Cholesterol to Cholesteryl Esters in Very Large VLDL ratio,ratio,Relative lipoprotein lipid concentrations,Very large VLDL ratios,Ratio,FALSE,NA,NA,XL_VLDL_FC / XL_VLDL_CE,XL_VLDL_FC / XL_VLDL_CE,Relative lipoprotein lipid concentrations Very large VLDL ratios,367,0.00297988778733182,0.00546989393115133,FALSE,TRUE,FALSE,Relative lipoprotein lipid concentrations_Very large VLDL ratios,17,0.977703988828739,26445,27160,1417,-0.171289323790899,-0.16447011312259,3.83090768135247,0.0495307864135725
XL_VLDL_FC_pct_C,XL_VLDL_FC_pct_C,Free Cholesterol to Cholesterol in Very Large VLDL percentage,%,Relative lipoprotein cholesterol concentrations,Very large VLDL ratios,Percentage,FALSE,NA,NA,XL_VLDL_FC / (XL_VLDL_CE + XL_HDL_FC) * 100,XL_VLDL_FC / XL_VLDL_C * 100,Relative lipoprotein cholesterol concentrations Very large VLDL ratios,367,0.00297988778733182,0.00297988778733182,FALSE,TRUE,TRUE,Relative lipoprotein cholesterol concentrations_Very large VLDL ratios,17,0.969280794206936,25808,26461,331,-0.159528673579965,-0.151639245699182,3.37799126090489,0.0438023479193447
XS_VLDL_CE_pct_C,XS_VLDL_CE_pct_C,Cholesteryl Esters to Cholesterol in Very Small VLDL percentage,%,Relative lipoprotein cholesterol concentrations,Very small VLDL ratios,Percentage,FALSE,NA,NA,XS_VLDL_CE / (XS_VLDL_CE + XS_VLDL_FC) * 100,XS_VLDL_CE / XS_VLDL_C * 100,Relative lipoprotein cholesterol concentrations Very small VLDL ratios,825,0.00669865783255791,0.00669865783255791,FALSE,TRUE,FALSE,Relative lipoprotein cholesterol concentrations_Very small VLDL ratios,17,0.978018368688228,27425,28055,4118,0.206246997640588,0.200541835493701,5.3641434425614,0.0526012409201446
XS_VLDL_FC_by_CE,XS_VLDL_FC_by_CE,Free Cholesterol to Cholesteryl Esters in Very Small VLDL ratio,ratio,Relative lipoprotein lipid concentrations,Very small VLDL ratios,Ratio,FALSE,NA,NA,XS_VLDL_FC / XS_VLDL_CE,XS_VLDL_FC / XS_VLDL_CE,Relative lipoprotein lipid concentrations Very small VLDL ratios,825,0.00669865783255791,0.00794366090446767,FALSE,FALSE,FALSE,Relative lipoprotein lipid concentrations_Very small VLDL ratios,17,0.977960662179613,27427,28064,4102,-0.206175355240975,-0.200483480709223,5.36350757540414,0.0525098662637618
XS_VLDL_FC_pct_C,XS_VLDL_FC_pct_C,Free Cholesterol to Cholesterol in Very Small VLDL percentage,%,Relative lipoprotein cholesterol concentrations,Very small VLDL ratios,Percentage,FALSE,NA,NA,XS_VLDL_FC / (XS_VLDL_CE + XS_VLDL_FC) * 100,XS_VLDL_FC / XS_VLDL_C * 100,Relative lipoprotein cholesterol concentrations Very small VLDL ratios,825,0.00669865783255791,0.00669865783255791,FALSE,FALSE,FALSE,Relative lipoprotein cholesterol concentrations_Very small VLDL ratios,17,0.978305423241417,27329,27936,4244,-0.20666696524883,-0.200524737294225,5.36341961382902,0.0528525292028314
XXL_VLDL_CE_pct_C,XXL_VLDL_CE_pct_C,Cholesteryl Esters to Cholesterol in Chylomicrons and Extremely Large VLDL percentage,%,Relative lipoprotein cholesterol concentrations,Chylomicrons and extremely large VLDL ratios,Percentage,FALSE,NA,NA,XXL_VLDL_CE / (XXL_VLDL_CE + XXL_VLDL_FC) * 100,XXL_VLDL_CE / XXL_VLDL_C * 100,Relative lipoprotein cholesterol concentrations Chylomicrons and extremely large VLDL ratios,367,0.00297988778733182,0.00297988778733182,FALSE,TRUE,TRUE,Relative lipoprotein cholesterol concentrations_Chylomicrons and extremely large VLDL ratios,17,0.947538738163688,1758,0,0,0.106446741107236,0.0500103003181033,0.569960312955963,0.00972124024929211
XXL_VLDL_FC_by_CE,XXL_VLDL_FC_by_CE,Free Cholesterol to Cholesteryl Esters in Chylomicrons and Extremely Large VLDL ratio,ratio,Relative lipoprotein lipid concentrations,Chylomicrons and extremely large VLDL ratios,Ratio,FALSE,NA,NA,XXL_VLDL_FC / XXL_VLDL_CE,XXL_VLDL_FC / XXL_VLDL_CE,Relative lipoprotein lipid concentrations Chylomicrons and extremely large VLDL ratios,367,0.00297988778733182,0.00482709343206749,FALSE,TRUE,FALSE,Relative lipoprotein lipid concentrations_Chylomicrons and extremely large VLDL ratios,17,0.948846130718056,970,0,0,-0.103576868434158,-0.0418507336638377,0.448427543726127,0.00762179615075005
XXL_VLDL_FC_pct_C,XXL_VLDL_FC_pct_C,Free Cholesterol to Cholesterol in Chylomicrons and Extremely Large VLDL percentage,%,Relative lipoprotein cholesterol concentrations,Chylomicrons and extremely large VLDL ratios,Percentage,FALSE,NA,NA,XXL_VLDL_FC / (XXL_VLDL_CE + XXL_VLDL_FC) * 100,XXL_VLDL_FC / XXL_VLDL_C * 100,Relative lipoprotein cholesterol concentrations Chylomicrons and extremely large VLDL ratios,367,0.00297988778733182,0.00297988778733182,FALSE,TRUE,TRUE,Relative lipoprotein cholesterol concentrations_Chylomicrons and extremely large VLDL ratios,17,0.955415142894414,3138,0,0,-0.108796025865782,-0.05747825744616,0.705081140145346,0.0119036735368656
