met,PValue,adjPVal,logFC
Acetate,0.219,0.291,-0.055
Acetoacetate,0.005,0.011,-0.126
Acetone,0.516,0.596,-0.029
Ala,0.285,0.363,-0.048
Albumin,0.284,0.363,0.048
ApoA1,0.504,0.585,0.033
ApoB,0.0,0.0,0.176
ApoB_by_ApoA1,0.003,0.008,0.134
Cholines,0.042,0.07,0.097
Citrate,0.971,0.979,-0.002
Clinical_LDL_C,0.0,0.0,0.21
Creatinine,0.217,0.289,-0.064
DHA,0.912,0.933,0.005
DHA_pct,0.912,0.934,0.005
Gln,0.109,0.16,0.072
Glucose,0.0,0.0,-0.25
Gly,0.011,0.022,0.12
GlycA,0.003,0.007,-0.134
HDL_C,0.05,0.082,0.098
HDL_CE,0.041,0.07,0.101
HDL_CE_pct,0.0,0.0,0.196
HDL_CE_pct_C,0.135,0.192,0.067
HDL_C_pct,0.0,0.0,0.215
HDL_FC,0.103,0.152,0.082
HDL_FC_by_CE,0.139,0.197,-0.066
HDL_FC_pct,0.0,0.001,0.184
HDL_FC_pct_C,0.149,0.209,-0.065
HDL_L,0.42,0.503,0.04
HDL_P,0.218,0.29,0.059
HDL_PL,0.954,0.966,0.003
HDL_PL_pct,0.0,0.0,-0.284
HDL_TG,0.008,0.017,-0.119
HDL_TG_pct,0.004,0.01,-0.131
HDL_size,0.145,0.205,0.073
His,0.259,0.336,0.05
IDL_C,0.0,0.0,0.216
IDL_CE,0.0,0.0,0.213
IDL_CE_pct,0.0,0.001,0.173
IDL_CE_pct_C,0.887,0.914,-0.006
IDL_C_pct,0.0,0.0,0.199
IDL_FC,0.0,0.0,0.219
IDL_FC_by_CE,0.885,0.913,0.006
IDL_FC_pct,0.001,0.003,0.147
IDL_FC_pct_C,0.878,0.907,0.007
IDL_L,0.0,0.0,0.201
IDL_P,0.0,0.0,0.178
IDL_PL,0.0,0.0,0.201
IDL_PL_pct,0.222,0.295,-0.054
IDL_TG,0.264,0.341,-0.05
IDL_TG_pct,0.0,0.0,-0.229
Ile,0.016,0.032,-0.109
LA,0.0,0.0,0.203
LA_pct,0.0,0.0,0.335
LDL_C,0.0,0.0,0.196
LDL_CE,0.0,0.0,0.18
LDL_CE_pct,0.249,0.324,0.051
LDL_CE_pct_C,0.0,0.001,-0.171
LDL_C_pct,0.0,0.0,0.242
LDL_FC,0.0,0.0,0.232
LDL_FC_by_CE,0.0,0.001,0.172
LDL_FC_pct,0.0,0.0,0.21
LDL_FC_pct_C,0.0,0.001,0.173
LDL_L,0.0,0.0,0.185
LDL_P,0.0,0.0,0.185
LDL_PL,0.0,0.0,0.192
LDL_PL_pct,0.826,0.866,0.01
LDL_TG,0.301,0.38,-0.046
LDL_TG_pct,0.0,0.0,-0.236
LDL_size,0.001,0.003,0.15
L_HDL_C,0.02,0.037,0.118
L_HDL_CE,0.014,0.028,0.124
L_HDL_CE_pct,0.0,0.0,0.201
L_HDL_CE_pct_C,0.001,0.003,0.144
L_HDL_C_pct,0.0,0.0,0.193
L_HDL_FC,0.059,0.095,0.096
L_HDL_FC_by_CE,0.002,0.005,-0.137
L_HDL_FC_pct,0.076,0.118,0.083
L_HDL_FC_pct_C,0.004,0.01,-0.127
L_HDL_L,0.096,0.144,0.085
L_HDL_P,0.027,0.049,0.112
L_HDL_PL,0.265,0.342,0.057
L_HDL_PL_pct,0.0,0.0,-0.234
L_HDL_TG,0.176,0.241,-0.063
L_HDL_TG_pct,0.015,0.028,-0.113
L_LDL_C,0.0,0.0,0.209
L_LDL_CE,0.0,0.0,0.198
L_LDL_CE_pct,0.027,0.048,0.098
L_LDL_CE_pct_C,0.0,0.001,-0.167
L_LDL_C_pct,0.0,0.0,0.246
L_LDL_FC,0.0,0.0,0.235
L_LDL_FC_by_CE,0.0,0.001,0.167
L_LDL_FC_pct,0.0,0.0,0.218
L_LDL_FC_pct_C,0.0,0.001,0.168
L_LDL_L,0.0,0.0,0.198
L_LDL_P,0.0,0.0,0.2
L_LDL_PL,0.0,0.0,0.201
L_LDL_PL_pct,0.894,0.92,-0.006
L_LDL_TG,0.365,0.448,-0.041
L_LDL_TG_pct,0.0,0.0,-0.241
L_VLDL_C,0.823,0.864,0.01
L_VLDL_CE,0.3,0.38,0.047
L_VLDL_CE_pct,0.0,0.001,0.165
L_VLDL_CE_pct_C,0.0,0.0,0.218
L_VLDL_C_pct,0.01,0.02,0.116
L_VLDL_FC,0.566,0.643,-0.026
L_VLDL_FC_by_CE,0.0,0.0,-0.218
L_VLDL_FC_pct,0.668,0.734,-0.019
L_VLDL_FC_pct_C,0.0,0.0,-0.215
L_VLDL_L,0.483,0.565,-0.032
L_VLDL_P,0.381,0.464,-0.04
L_VLDL_PL,0.366,0.448,-0.042
L_VLDL_PL_pct,0.498,0.579,-0.031
L_VLDL_TG,0.267,0.344,-0.051
L_VLDL_TG_pct,0.275,0.353,-0.048
Lactate,0.162,0.225,0.064
Leu,0.148,0.208,-0.067
MUFA,0.228,0.301,-0.054
MUFA_pct,0.003,0.008,-0.136
M_HDL_C,0.548,0.626,0.029
M_HDL_CE,0.543,0.622,0.03
M_HDL_CE_pct,0.0,0.001,0.162
M_HDL_CE_pct_C,0.892,0.918,-0.007
M_HDL_C_pct,0.0,0.0,0.178
M_HDL_FC,0.573,0.649,0.028
M_HDL_FC_by_CE,0.881,0.91,0.007
M_HDL_FC_pct,0.002,0.005,0.157
M_HDL_FC_pct_C,0.867,0.899,0.008
M_HDL_L,0.651,0.719,-0.022
M_HDL_P,0.857,0.891,0.009
M_HDL_PL,0.266,0.344,-0.053
M_HDL_PL_pct,0.0,0.0,-0.232
M_HDL_TG,0.002,0.005,-0.137
M_HDL_TG_pct,0.005,0.012,-0.128
M_LDL_C,0.0,0.001,0.162
M_LDL_CE,0.002,0.005,0.138
M_LDL_CE_pct,0.385,0.469,-0.039
M_LDL_CE_pct_C,0.001,0.002,-0.156
M_LDL_C_pct,0.0,0.001,0.169
M_LDL_FC,0.0,0.0,0.216
M_LDL_FC_by_CE,0.001,0.002,0.156
M_LDL_FC_pct,0.0,0.0,0.189
M_LDL_FC_pct_C,0.001,0.002,0.157
M_LDL_L,0.001,0.002,0.154
M_LDL_P,0.001,0.003,0.145
M_LDL_PL,0.0,0.001,0.164
M_LDL_PL_pct,0.213,0.284,0.056
M_LDL_TG,0.28,0.359,-0.048
M_LDL_TG_pct,0.0,0.0,-0.221
M_VLDL_C,0.0,0.0,0.204
M_VLDL_CE,0.0,0.0,0.24
M_VLDL_CE_pct,0.0,0.0,0.239
M_VLDL_CE_pct_C,0.0,0.0,0.22
M_VLDL_C_pct,0.0,0.0,0.239
M_VLDL_FC,0.001,0.002,0.149
M_VLDL_FC_by_CE,0.014,0.027,-0.11
M_VLDL_FC_pct,0.0,0.0,0.232
M_VLDL_FC_pct_C,0.0,0.0,-0.231
M_VLDL_L,0.072,0.112,0.081
M_VLDL_P,0.015,0.028,0.109
M_VLDL_PL,0.006,0.014,0.122
M_VLDL_PL_pct,0.0,0.0,0.228
M_VLDL_TG,0.593,0.668,-0.024
M_VLDL_TG_pct,0.0,0.0,-0.233
Omega_3,0.314,0.394,-0.047
Omega_3_pct,0.263,0.34,-0.052
Omega_3_pct_PUFA,0.018,0.035,-0.108
Omega_6,0.0,0.002,0.159
Omega_6_by_Omega_3,0.061,0.098,0.086
Omega_6_pct,0.0,0.0,0.236
Omega_6_pct_PUFA,0.01,0.021,0.118
PUFA,0.009,0.019,0.12
PUFA_by_MUFA,0.0,0.001,0.166
PUFA_pct,0.0,0.0,0.204
Phe,0.035,0.061,-0.093
Phosphatidylc,0.069,0.109,0.087
Phosphoglyc,0.243,0.318,0.056
Pyruvate,0.435,0.519,-0.036
Remnant_C,0.0,0.001,0.162
SFA,0.284,0.363,-0.048
SFA_pct,0.0,0.0,-0.186
S_HDL_C,0.418,0.501,0.036
S_HDL_CE,0.404,0.487,0.037
S_HDL_CE_pct,0.0,0.001,0.165
S_HDL_CE_pct_C,0.767,0.818,0.014
S_HDL_C_pct,0.0,0.0,0.216
S_HDL_FC,0.538,0.617,0.028
S_HDL_FC_by_CE,0.767,0.818,-0.014
S_HDL_FC_pct,0.0,0.0,0.19
S_HDL_FC_pct_C,0.772,0.822,-0.013
