met,PValue,adjPVal,logFC
Acetate,0.157,0.219,-0.062
Acetoacetate,0.0,0.001,-0.155
Acetone,0.065,0.103,-0.081
Ala,0.003,0.006,-0.133
Albumin,0.324,0.405,0.043
ApoA1,0.963,0.973,-0.002
ApoB,0.0,0.0,0.181
ApoB_by_ApoA1,0.001,0.002,0.155
Cholines,0.263,0.34,0.053
Citrate,0.964,0.973,-0.002
Clinical_LDL_C,0.0,0.0,0.227
Creatinine,0.044,0.074,-0.103
DHA,0.556,0.634,-0.027
DHA_pct,0.861,0.894,0.008
Gln,0.008,0.016,0.117
Glucose,0.0,0.0,-0.276
Gly,0.001,0.002,0.16
GlycA,0.0,0.0,-0.21
HDL_C,0.041,0.069,0.1
HDL_CE,0.03,0.054,0.106
HDL_CE_pct,0.0,0.0,0.26
HDL_CE_pct_C,0.025,0.046,0.099
HDL_C_pct,0.0,0.0,0.283
HDL_FC,0.119,0.173,0.077
HDL_FC_by_CE,0.027,0.048,-0.098
HDL_FC_pct,0.0,0.0,0.23
HDL_FC_pct_C,0.031,0.054,-0.095
HDL_L,0.703,0.764,0.019
HDL_P,0.777,0.826,0.013
HDL_PL,0.543,0.621,-0.03
HDL_PL_pct,0.0,0.0,-0.355
HDL_TG,0.0,0.0,-0.191
HDL_TG_pct,0.0,0.0,-0.189
HDL_size,0.02,0.037,0.115
His,0.541,0.62,0.027
IDL_C,0.0,0.0,0.244
IDL_CE,0.0,0.0,0.241
IDL_CE_pct,0.0,0.0,0.247
IDL_CE_pct_C,0.88,0.909,-0.007
IDL_C_pct,0.0,0.0,0.282
IDL_FC,0.0,0.0,0.248
IDL_FC_by_CE,0.87,0.901,0.007
IDL_FC_pct,0.0,0.0,0.207
IDL_FC_pct_C,0.832,0.871,0.009
IDL_L,0.0,0.0,0.218
IDL_P,0.0,0.0,0.194
IDL_PL,0.0,0.0,0.221
IDL_PL_pct,0.203,0.273,-0.056
IDL_TG,0.003,0.008,-0.13
IDL_TG_pct,0.0,0.0,-0.333
Ile,0.002,0.006,-0.136
LA,0.0,0.0,0.181
LA_pct,0.0,0.0,0.41
LDL_C,0.0,0.0,0.203
LDL_CE,0.0,0.0,0.181
LDL_CE_pct,0.152,0.213,0.063
LDL_CE_pct_C,0.0,0.0,-0.241
LDL_C_pct,0.0,0.0,0.331
LDL_FC,0.0,0.0,0.256
LDL_FC_by_CE,0.0,0.0,0.241
LDL_FC_pct,0.0,0.0,0.294
LDL_FC_pct_C,0.0,0.0,0.243
LDL_L,0.0,0.0,0.185
LDL_P,0.0,0.0,0.193
LDL_PL,0.0,0.0,0.196
LDL_PL_pct,0.43,0.513,0.035
LDL_TG,0.004,0.009,-0.128
LDL_TG_pct,0.0,0.0,-0.332
LDL_size,0.0,0.0,0.187
L_HDL_C,0.001,0.003,0.163
L_HDL_CE,0.001,0.002,0.171
L_HDL_CE_pct,0.0,0.0,0.292
L_HDL_CE_pct_C,0.0,0.0,0.185
L_HDL_C_pct,0.0,0.0,0.285
L_HDL_FC,0.007,0.016,0.134
L_HDL_FC_by_CE,0.0,0.0,-0.173
L_HDL_FC_pct,0.002,0.005,0.143
L_HDL_FC_pct_C,0.0,0.001,-0.157
L_HDL_L,0.023,0.042,0.114
L_HDL_P,0.004,0.01,0.143
L_HDL_PL,0.14,0.198,0.074
L_HDL_PL_pct,0.0,0.0,-0.334
L_HDL_TG,0.024,0.044,-0.103
L_HDL_TG_pct,0.0,0.0,-0.175
L_LDL_C,0.0,0.0,0.223
L_LDL_CE,0.0,0.0,0.206
L_LDL_CE_pct,0.004,0.01,0.124
L_LDL_CE_pct_C,0.0,0.0,-0.238
L_LDL_C_pct,0.0,0.0,0.334
L_LDL_FC,0.0,0.0,0.263
L_LDL_FC_by_CE,0.0,0.0,0.239
L_LDL_FC_pct,0.0,0.0,0.308
L_LDL_FC_pct_C,0.0,0.0,0.242
L_LDL_L,0.0,0.0,0.204
L_LDL_P,0.0,0.0,0.213
L_LDL_PL,0.0,0.0,0.21
L_LDL_PL_pct,0.786,0.834,0.012
L_LDL_TG,0.006,0.013,-0.122
L_LDL_TG_pct,0.0,0.0,-0.337
L_VLDL_C,0.583,0.658,-0.025
L_VLDL_CE,0.561,0.639,0.026
L_VLDL_CE_pct,0.0,0.0,0.251
L_VLDL_CE_pct_C,0.0,0.0,0.306
L_VLDL_C_pct,0.0,0.0,0.19
L_VLDL_FC,0.102,0.152,-0.074
L_VLDL_FC_by_CE,0.0,0.0,-0.307
L_VLDL_FC_pct,0.797,0.843,0.011
L_VLDL_FC_pct_C,0.0,0.0,-0.299
L_VLDL_L,0.065,0.103,-0.083
L_VLDL_P,0.04,0.068,-0.093
L_VLDL_PL,0.037,0.063,-0.095
L_VLDL_PL_pct,0.173,0.239,-0.061
L_VLDL_TG,0.016,0.031,-0.108
L_VLDL_TG_pct,0.039,0.066,-0.09
Lactate,0.938,0.953,-0.004
Leu,0.134,0.191,-0.069
MUFA,0.001,0.003,-0.144
MUFA_pct,0.0,0.0,-0.236
M_HDL_C,0.967,0.975,-0.002
M_HDL_CE,0.991,0.993,-0.001
M_HDL_CE_pct,0.0,0.0,0.213
M_HDL_CE_pct_C,0.59,0.665,0.025
M_HDL_C_pct,0.0,0.0,0.226
M_HDL_FC,0.881,0.91,-0.007
M_HDL_FC_by_CE,0.61,0.682,-0.024
M_HDL_FC_pct,0.0,0.002,0.172
M_HDL_FC_pct_C,0.633,0.703,-0.022
M_HDL_L,0.126,0.182,-0.073
M_HDL_P,0.492,0.573,-0.033
M_HDL_PL,0.017,0.032,-0.113
M_HDL_PL_pct,0.0,0.0,-0.277
M_HDL_TG,0.0,0.0,-0.213
M_HDL_TG_pct,0.0,0.0,-0.178
M_LDL_C,0.0,0.001,0.156
M_LDL_CE,0.004,0.01,0.124
M_LDL_CE_pct,0.281,0.36,-0.048
M_LDL_CE_pct_C,0.0,0.0,-0.212
M_LDL_C_pct,0.0,0.0,0.241
M_LDL_FC,0.0,0.0,0.23
M_LDL_FC_by_CE,0.0,0.0,0.213
M_LDL_FC_pct,0.0,0.0,0.261
M_LDL_FC_pct_C,0.0,0.0,0.214
M_LDL_L,0.001,0.003,0.142
M_LDL_P,0.001,0.003,0.144
M_LDL_PL,0.0,0.001,0.155
M_LDL_PL_pct,0.081,0.124,0.077
M_LDL_TG,0.003,0.008,-0.13
M_LDL_TG_pct,0.0,0.0,-0.311
M_VLDL_C,0.0,0.0,0.23
M_VLDL_CE,0.0,0.0,0.284
M_VLDL_CE_pct,0.0,0.0,0.334
M_VLDL_CE_pct_C,0.0,0.0,0.317
M_VLDL_C_pct,0.0,0.0,0.332
M_VLDL_FC,0.0,0.002,0.152
M_VLDL_FC_by_CE,0.0,0.002,-0.153
M_VLDL_FC_pct,0.0,0.0,0.323
M_VLDL_FC_pct_C,0.0,0.0,-0.329
M_VLDL_L,0.185,0.252,0.058
M_VLDL_P,0.032,0.056,0.094
M_VLDL_PL,0.009,0.019,0.114
M_VLDL_PL_pct,0.0,0.0,0.308
M_VLDL_TG,0.095,0.143,-0.075
M_VLDL_TG_pct,0.0,0.0,-0.317
Omega_3,0.061,0.098,-0.085
Omega_3_pct,0.185,0.252,-0.06
Omega_3_pct_PUFA,0.001,0.004,-0.144
Omega_6,0.003,0.008,0.132
Omega_6_by_Omega_3,0.005,0.012,0.126
Omega_6_pct,0.0,0.0,0.332
Omega_6_pct_PUFA,0.001,0.003,0.149
PUFA,0.053,0.086,0.088
PUFA_by_MUFA,0.0,0.0,0.267
PUFA_pct,0.0,0.0,0.296
Phe,0.015,0.029,-0.107
Phosphatidylc,0.535,0.614,0.029
Phosphoglyc,0.948,0.961,-0.003
Pyruvate,0.042,0.07,-0.092
Remnant_C,0.0,0.001,0.165
SFA,0.007,0.015,-0.119
SFA_pct,0.0,0.0,-0.222
