met,PValue,adjPVal,logFC
Acetate,0.622,0.693,-0.02
Acetoacetate,0.216,0.288,-0.051
Acetone,0.687,0.751,-0.017
Ala,0.216,0.287,-0.051
Albumin,0.398,0.481,-0.035
ApoA1,0.035,0.061,-0.096
ApoB,0.004,0.01,0.118
ApoB_by_ApoA1,0.0,0.001,0.152
Cholines,0.604,0.677,-0.023
Citrate,0.286,0.365,0.045
Clinical_LDL_C,0.005,0.011,0.117
Creatinine,0.342,0.424,0.046
DHA,0.238,0.312,-0.052
DHA_pct,0.41,0.494,-0.035
Gln,0.015,0.029,0.101
Glucose,0.0,0.0,-0.202
Gly,0.013,0.026,0.108
GlycA,0.082,0.126,-0.073
HDL_C,0.277,0.355,-0.051
HDL_CE,0.304,0.384,-0.048
HDL_CE_pct,0.063,0.1,0.079
HDL_CE_pct_C,0.465,0.548,0.03
HDL_C_pct,0.044,0.074,0.086
HDL_FC,0.218,0.29,-0.058
HDL_FC_by_CE,0.477,0.559,-0.03
HDL_FC_pct,0.099,0.148,0.074
HDL_FC_pct_C,0.503,0.584,-0.028
HDL_L,0.054,0.089,-0.089
HDL_P,0.082,0.125,-0.077
HDL_PL,0.015,0.029,-0.113
HDL_PL_pct,0.0,0.001,-0.154
HDL_TG,0.082,0.126,-0.072
HDL_TG_pct,0.699,0.761,-0.017
HDL_size,0.713,0.772,-0.017
His,0.975,0.982,0.001
IDL_C,0.015,0.029,0.104
IDL_CE,0.02,0.037,0.1
IDL_CE_pct,0.171,0.236,0.058
IDL_CE_pct_C,0.191,0.259,-0.054
IDL_C_pct,0.039,0.066,0.087
IDL_FC,0.008,0.016,0.113
IDL_FC_by_CE,0.191,0.259,0.054
IDL_FC_pct,0.012,0.024,0.104
IDL_FC_pct_C,0.187,0.255,0.055
IDL_L,0.022,0.04,0.098
IDL_P,0.009,0.019,0.108
IDL_PL,0.01,0.02,0.11
IDL_PL_pct,0.334,0.416,0.04
IDL_TG,0.358,0.441,-0.038
IDL_TG_pct,0.003,0.008,-0.124
Ile,0.173,0.239,-0.057
LA,0.009,0.018,0.11
LA_pct,0.0,0.0,0.229
LDL_C,0.012,0.023,0.105
LDL_CE,0.02,0.037,0.097
LDL_CE_pct,0.226,0.299,0.05
LDL_CE_pct_C,0.052,0.084,-0.083
LDL_C_pct,0.001,0.002,0.143
LDL_FC,0.003,0.008,0.123
LDL_FC_by_CE,0.051,0.083,0.083
LDL_FC_pct,0.01,0.021,0.109
LDL_FC_pct_C,0.047,0.078,0.084
LDL_L,0.019,0.035,0.097
LDL_P,0.004,0.009,0.12
LDL_PL,0.013,0.026,0.103
LDL_PL_pct,0.746,0.801,0.014
LDL_TG,0.3,0.379,-0.043
LDL_TG_pct,0.001,0.002,-0.141
LDL_size,0.075,0.117,0.076
L_HDL_C,0.94,0.955,-0.004
L_HDL_CE,0.968,0.976,0.002
L_HDL_CE_pct,0.008,0.016,0.114
L_HDL_CE_pct_C,0.008,0.017,0.11
L_HDL_C_pct,0.016,0.032,0.103
L_HDL_FC,0.652,0.72,-0.021
L_HDL_FC_by_CE,0.009,0.019,-0.108
L_HDL_FC_pct,0.658,0.725,0.019
L_HDL_FC_pct_C,0.014,0.027,-0.102
L_HDL_L,0.492,0.574,-0.032
L_HDL_P,0.823,0.864,-0.011
L_HDL_PL,0.227,0.3,-0.057
L_HDL_PL_pct,0.0,0.0,-0.176
L_HDL_TG,0.195,0.264,-0.056
L_HDL_TG_pct,0.904,0.928,-0.005
L_LDL_C,0.01,0.021,0.107
L_LDL_CE,0.016,0.03,0.1
L_LDL_CE_pct,0.168,0.232,0.057
L_LDL_CE_pct_C,0.032,0.055,-0.091
L_LDL_C_pct,0.001,0.003,0.138
L_LDL_FC,0.004,0.009,0.122
L_LDL_FC_by_CE,0.03,0.054,0.092
L_LDL_FC_pct,0.004,0.01,0.122
L_LDL_FC_pct_C,0.027,0.049,0.094
L_LDL_L,0.017,0.032,0.1
L_LDL_P,0.002,0.005,0.128
L_LDL_PL,0.012,0.025,0.104
L_LDL_PL_pct,0.725,0.783,0.015
L_LDL_TG,0.285,0.364,-0.045
L_LDL_TG_pct,0.001,0.002,-0.142
L_VLDL_C,0.245,0.32,0.049
L_VLDL_CE,0.072,0.113,0.076
L_VLDL_CE_pct,0.002,0.006,0.13
L_VLDL_CE_pct_C,0.002,0.006,0.134
L_VLDL_C_pct,0.006,0.013,0.114
L_VLDL_FC,0.598,0.672,0.023
L_VLDL_FC_by_CE,0.002,0.006,-0.135
L_VLDL_FC_pct,0.212,0.283,0.052
L_VLDL_FC_pct_C,0.003,0.008,-0.129
L_VLDL_L,0.749,0.803,0.014
L_VLDL_P,0.941,0.956,0.003
L_VLDL_PL,0.77,0.821,0.012
L_VLDL_PL_pct,0.726,0.784,0.015
L_VLDL_TG,0.868,0.9,-0.007
L_VLDL_TG_pct,0.014,0.028,-0.101
Lactate,0.272,0.35,0.046
Leu,0.153,0.214,-0.062
MUFA,0.221,0.294,-0.051
MUFA_pct,0.152,0.213,-0.061
M_HDL_C,0.021,0.04,-0.104
M_HDL_CE,0.022,0.04,-0.104
M_HDL_CE_pct,0.276,0.354,0.046
M_HDL_CE_pct_C,0.299,0.379,0.046
M_HDL_C_pct,0.343,0.425,0.041
M_HDL_FC,0.024,0.044,-0.104
M_HDL_FC_by_CE,0.311,0.391,-0.045
M_HDL_FC_pct,0.996,0.997,-0.0
M_HDL_FC_pct_C,0.324,0.405,-0.044
M_HDL_L,0.003,0.008,-0.132
M_HDL_P,0.015,0.03,-0.11
M_HDL_PL,0.001,0.003,-0.149
M_HDL_PL_pct,0.068,0.108,-0.079
M_HDL_TG,0.04,0.068,-0.085
M_HDL_TG_pct,0.852,0.887,-0.008
M_LDL_C,0.025,0.046,0.092
M_LDL_CE,0.051,0.084,0.081
M_LDL_CE_pct,0.81,0.853,0.01
M_LDL_CE_pct_C,0.114,0.167,-0.067
M_LDL_C_pct,0.004,0.009,0.119
M_LDL_FC,0.004,0.01,0.118
M_LDL_FC_by_CE,0.114,0.166,0.067
M_LDL_FC_pct,0.03,0.053,0.092
M_LDL_FC_pct_C,0.11,0.161,0.068
M_LDL_L,0.037,0.064,0.086
M_LDL_P,0.028,0.05,0.091
M_LDL_PL,0.029,0.051,0.09
M_LDL_PL_pct,0.806,0.85,0.01
M_LDL_TG,0.323,0.404,-0.041
M_LDL_TG_pct,0.001,0.003,-0.136
M_VLDL_C,0.0,0.001,0.147
M_VLDL_CE,0.0,0.0,0.166
M_VLDL_CE_pct,0.001,0.004,0.139
M_VLDL_CE_pct_C,0.001,0.002,0.142
M_VLDL_C_pct,0.001,0.003,0.139
M_VLDL_FC,0.004,0.01,0.118
M_VLDL_FC_by_CE,0.004,0.009,-0.12
M_VLDL_FC_pct,0.0,0.002,0.149
M_VLDL_FC_pct_C,0.002,0.005,-0.133
M_VLDL_L,0.068,0.106,0.076
M_VLDL_P,0.023,0.041,0.095
M_VLDL_PL,0.015,0.029,0.101
M_VLDL_PL_pct,0.0,0.001,0.151
M_VLDL_TG,0.794,0.84,0.011
M_VLDL_TG_pct,0.001,0.003,-0.143
Omega_3,0.064,0.102,-0.08
Omega_3_pct,0.088,0.134,-0.073
Omega_3_pct_PUFA,0.011,0.022,-0.109
Omega_6,0.104,0.154,0.069
Omega_6_by_Omega_3,0.027,0.048,0.094
Omega_6_pct,0.0,0.001,0.158
Omega_6_pct_PUFA,0.008,0.016,0.114
PUFA,0.411,0.494,0.035
PUFA_by_MUFA,0.057,0.091,0.081
PUFA_pct,0.004,0.01,0.121
Phe,0.714,0.774,-0.015
Phosphatidylc,0.376,0.459,-0.039
Phosphoglyc,0.23,0.304,-0.053
Pyruvate,0.567,0.644,0.024
Remnant_C,0.012,0.023,0.105
SFA,0.131,0.187,-0.063
SFA_pct,0.002,0.005,-0.127
S_HDL_C,0.118,0.172,-0.065
S_HDL_CE,0.162,0.225,-0.058
S_HDL_CE_pct,0.043,0.072,0.084
S_HDL_CE_pct_C,0.651,0.719,0.019
S_HDL_C_pct,0.011,0.023,0.105
S_HDL_FC,0.074,0.115,-0.076
S_HDL_FC_by_CE,0.656,0.724,-0.019
S_HDL_FC_pct,0.069,0.109,0.079
S_HDL_FC_pct_C,0.685,0.749,-0.017
S_HDL_L,0.012,0.023,-0.105
S_HDL_P,0.138,0.196,-0.062
S_HDL_PL,0.003,0.007,-0.124
S_HDL_PL_pct,0.001,0.004,-0.138
S_HDL_TG,0.145,0.205,-0.062
S_HDL_TG_pct,0.662,0.728,-0.019
S_LDL_C,0.007,0.016,0.111
S_LDL_CE,0.017,0.033,0.098
S_LDL_CE_pct,0.592,0.667,0.022
S_LDL_CE_pct_C,0.172,0.237,-0.057
S_LDL_C_pct,0.009,0.019,0.108
S_LDL_FC,0.001,0.004,0.132
S_LDL_FC_by_CE,0.167,0.232,0.058
S_LDL_FC_pct,0.045,0.075,0.084
S_LDL_FC_pct_C,0.157,0.219,0.059
S_LDL_L,0.011,0.022,0.105
S_LDL_P,0.004,0.01,0.118
S_LDL_PL,0.005,0.011,0.116
S_LDL_PL_pct,0.939,0.954,0.003
S_LDL_TG,0.401,0.484,-0.035
S_LDL_TG_pct,0.004,0.009,-0.122
S_VLDL_C,0.01,0.02,0.107
S_VLDL_CE,0.017,0.032,0.099
S_VLDL_CE_pct,0.001,0.003,0.134
S_VLDL_CE_pct_C,0.476,0.558,-0.031
S_VLDL_C_pct,0.001,0.002,0.141
S_VLDL_FC,0.004,0.01,0.118
S_VLDL_FC_by_CE,0.512,0.593,0.028
S_VLDL_FC_pct,0.002,0.006,0.13
S_VLDL_FC_pct_C,0.396,0.479,0.037
S_VLDL_L,0.174,0.239,0.057
S_VLDL_P,0.223,0.296,0.051
S_VLDL_PL,0.024,0.044,0.094
S_VLDL_PL_pct,0.003,0.007,0.127
S_VLDL_TG,0.698,0.76,-0.016
S_VLDL_TG_pct,0.002,0.005,-0.131
Sphingomyelins,0.311,0.391,0.045
TG_by_PG,0.881,0.91,-0.007
Total_BCAA,0.064,0.101,-0.079
Total_C,0.043,0.072,0.086
Total_CE,0.052,0.085,0.083
