met,PValue,adjPVal,logFC
Acetate,0.044,0.074,-0.111
Acetoacetate,0.001,0.004,-0.178
Acetone,0.321,0.402,-0.055
Ala,0.957,0.968,-0.003
Albumin,0.447,0.53,0.042
ApoA1,0.891,0.917,0.008
ApoB,0.032,0.056,0.118
ApoB_by_ApoA1,0.071,0.112,0.102
Cholines,0.483,0.564,0.042
Citrate,0.614,0.687,0.029
Clinical_LDL_C,0.005,0.012,0.154
Creatinine,0.978,0.984,0.002
DHA,0.449,0.532,-0.044
DHA_pct,0.813,0.856,-0.013
Gln,0.128,0.184,0.084
Glucose,0.0,0.0,-0.259
Gly,0.003,0.008,0.171
GlycA,0.032,0.055,-0.12
HDL_C,0.194,0.262,0.081
HDL_CE,0.169,0.234,0.085
HDL_CE_pct,0.001,0.003,0.185
HDL_CE_pct_C,0.175,0.241,0.075
HDL_C_pct,0.0,0.001,0.201
HDL_FC,0.317,0.398,0.063
HDL_FC_by_CE,0.18,0.246,-0.075
HDL_FC_pct,0.008,0.017,0.159
HDL_FC_pct_C,0.19,0.257,-0.073
HDL_L,0.707,0.767,0.023
HDL_P,0.759,0.811,0.018
HDL_PL,0.87,0.901,-0.01
HDL_PL_pct,0.0,0.0,-0.248
HDL_TG,0.015,0.029,-0.135
HDL_TG_pct,0.019,0.036,-0.134
HDL_size,0.21,0.28,0.078
His,0.77,0.82,-0.016
IDL_C,0.002,0.006,0.174
IDL_CE,0.003,0.007,0.17
IDL_CE_pct,0.003,0.008,0.166
IDL_CE_pct_C,0.398,0.482,-0.047
IDL_C_pct,0.0,0.001,0.207
IDL_FC,0.001,0.003,0.184
IDL_FC_by_CE,0.397,0.48,0.047
IDL_FC_pct,0.001,0.002,0.185
IDL_FC_pct_C,0.39,0.473,0.048
IDL_L,0.007,0.015,0.154
IDL_P,0.019,0.036,0.13
IDL_PL,0.006,0.014,0.155
IDL_PL_pct,0.528,0.608,-0.035
IDL_TG,0.065,0.103,-0.103
IDL_TG_pct,0.0,0.0,-0.242
Ile,0.002,0.005,-0.175
LA,0.037,0.063,0.117
LA_pct,0.0,0.0,0.292
LDL_C,0.015,0.029,0.135
LDL_CE,0.034,0.059,0.117
LDL_CE_pct,0.685,0.749,0.022
LDL_CE_pct_C,0.001,0.002,-0.195
LDL_C_pct,0.0,0.0,0.237
LDL_FC,0.001,0.004,0.177
LDL_FC_by_CE,0.001,0.002,0.196
LDL_FC_pct,0.0,0.0,0.228
LDL_FC_pct_C,0.001,0.002,0.196
LDL_L,0.028,0.051,0.121
LDL_P,0.028,0.05,0.121
LDL_PL,0.018,0.035,0.13
LDL_PL_pct,0.396,0.479,0.047
LDL_TG,0.052,0.086,-0.108
LDL_TG_pct,0.0,0.0,-0.242
LDL_size,0.018,0.034,0.135
L_HDL_C,0.056,0.09,0.12
L_HDL_CE,0.044,0.073,0.126
L_HDL_CE_pct,0.0,0.001,0.209
L_HDL_CE_pct_C,0.004,0.01,0.157
L_HDL_C_pct,0.0,0.001,0.201
L_HDL_FC,0.123,0.178,0.097
L_HDL_FC_by_CE,0.007,0.016,-0.148
L_HDL_FC_pct,0.141,0.199,0.086
L_HDL_FC_pct_C,0.014,0.028,-0.135
L_HDL_L,0.175,0.241,0.085
L_HDL_P,0.091,0.138,0.106
L_HDL_PL,0.363,0.446,0.057
L_HDL_PL_pct,0.0,0.0,-0.24
L_HDL_TG,0.289,0.368,-0.061
L_HDL_TG_pct,0.069,0.108,-0.105
L_LDL_C,0.008,0.016,0.148
L_LDL_CE,0.016,0.031,0.133
L_LDL_CE_pct,0.431,0.514,0.043
L_LDL_CE_pct_C,0.0,0.001,-0.209
L_LDL_C_pct,0.0,0.0,0.227
L_LDL_FC,0.001,0.003,0.185
L_LDL_FC_by_CE,0.0,0.001,0.21
L_LDL_FC_pct,0.0,0.0,0.247
L_LDL_FC_pct_C,0.0,0.001,0.211
L_LDL_L,0.015,0.029,0.135
L_LDL_P,0.015,0.03,0.134
L_LDL_PL,0.009,0.019,0.145
L_LDL_PL_pct,0.351,0.433,0.052
L_LDL_TG,0.068,0.107,-0.101
L_LDL_TG_pct,0.0,0.0,-0.244
L_VLDL_C,0.543,0.621,-0.034
L_VLDL_CE,0.966,0.974,0.002
L_VLDL_CE_pct,0.003,0.007,0.169
L_VLDL_CE_pct_C,0.0,0.001,0.222
L_VLDL_C_pct,0.031,0.055,0.119
L_VLDL_FC,0.221,0.293,-0.07
L_VLDL_FC_by_CE,0.0,0.001,-0.222
L_VLDL_FC_pct,0.765,0.816,-0.017
L_VLDL_FC_pct_C,0.0,0.001,-0.217
L_VLDL_L,0.177,0.242,-0.077
L_VLDL_P,0.14,0.199,-0.084
L_VLDL_PL,0.143,0.203,-0.083
L_VLDL_PL_pct,0.323,0.404,-0.056
L_VLDL_TG,0.098,0.146,-0.094
L_VLDL_TG_pct,0.495,0.576,-0.038
Lactate,0.089,0.135,0.096
Leu,0.022,0.041,-0.132
MUFA,0.032,0.056,-0.119
MUFA_pct,0.001,0.003,-0.185
M_HDL_C,0.895,0.921,0.008
M_HDL_CE,0.879,0.908,0.009
M_HDL_CE_pct,0.008,0.017,0.148
M_HDL_CE_pct_C,0.647,0.716,0.027
M_HDL_C_pct,0.006,0.014,0.157
M_HDL_FC,0.962,0.971,0.003
M_HDL_FC_by_CE,0.649,0.717,-0.027
M_HDL_FC_pct,0.072,0.113,0.112
M_HDL_FC_pct_C,0.653,0.721,-0.027
M_HDL_L,0.488,0.57,-0.042
M_HDL_P,0.822,0.863,-0.014
M_HDL_PL,0.243,0.318,-0.07
M_HDL_PL_pct,0.001,0.003,-0.19
M_HDL_TG,0.008,0.017,-0.147
M_HDL_TG_pct,0.032,0.057,-0.122
M_LDL_C,0.061,0.098,0.103
M_LDL_CE,0.142,0.201,0.081
M_LDL_CE_pct,0.721,0.779,-0.02
M_LDL_CE_pct_C,0.005,0.012,-0.158
M_LDL_C_pct,0.0,0.001,0.205
M_LDL_FC,0.005,0.011,0.156
M_LDL_FC_by_CE,0.005,0.012,0.157
M_LDL_FC_pct,0.001,0.002,0.197
M_LDL_FC_pct_C,0.006,0.012,0.157
M_LDL_L,0.101,0.15,0.09
M_LDL_P,0.092,0.139,0.093
M_LDL_PL,0.086,0.131,0.095
M_LDL_PL_pct,0.778,0.827,0.016
M_LDL_TG,0.044,0.074,-0.112
M_LDL_TG_pct,0.0,0.0,-0.23
M_VLDL_C,0.005,0.012,0.153
M_VLDL_CE,0.0,0.001,0.194
M_VLDL_CE_pct,0.0,0.0,0.238
M_VLDL_CE_pct_C,0.0,0.0,0.235
M_VLDL_C_pct,0.0,0.0,0.235
M_VLDL_FC,0.076,0.118,0.098
M_VLDL_FC_by_CE,0.009,0.019,-0.145
M_VLDL_FC_pct,0.0,0.0,0.227
M_VLDL_FC_pct_C,0.0,0.0,-0.238
M_VLDL_L,0.632,0.702,0.027
M_VLDL_P,0.331,0.412,0.054
M_VLDL_PL,0.224,0.297,0.067
M_VLDL_PL_pct,0.0,0.001,0.199
M_VLDL_TG,0.226,0.299,-0.068
M_VLDL_TG_pct,0.0,0.0,-0.22
Omega_3,0.051,0.084,-0.112
Omega_3_pct,0.08,0.123,-0.1
Omega_3_pct_PUFA,0.006,0.014,-0.155
Omega_6,0.127,0.183,0.086
Omega_6_by_Omega_3,0.026,0.047,0.127
Omega_6_pct,0.0,0.0,0.253
Omega_6_pct_PUFA,0.003,0.008,0.166
PUFA,0.489,0.571,0.039
PUFA_by_MUFA,0.001,0.002,0.191
PUFA_pct,0.0,0.001,0.2
Phe,0.193,0.262,-0.072
Phosphatidylc,0.68,0.745,0.024
Phosphoglyc,0.997,0.998,-0.0
Pyruvate,0.656,0.724,0.025
Remnant_C,0.04,0.068,0.114
SFA,0.13,0.187,-0.084
SFA_pct,0.047,0.077,-0.109
S_HDL_C,0.783,0.831,-0.015
S_HDL_CE,0.865,0.897,-0.009
S_HDL_CE_pct,0.006,0.014,0.151
S_HDL_CE_pct_C,0.585,0.66,0.031
S_HDL_C_pct,0.001,0.002,0.189
S_HDL_FC,0.589,0.664,-0.031
S_HDL_FC_by_CE,0.585,0.66,-0.031
S_HDL_FC_pct,0.014,0.028,0.143
S_HDL_FC_pct_C,0.585,0.66,-0.031
S_HDL_L,0.131,0.188,-0.084
S_HDL_P,0.579,0.655,-0.031
S_HDL_PL,0.066,0.104,-0.102
S_HDL_PL_pct,0.016,0.031,-0.138
S_HDL_TG,0.005,0.011,-0.159
S_HDL_TG_pct,0.01,0.021,-0.148
S_LDL_C,0.031,0.055,0.119
S_LDL_CE,0.093,0.14,0.093
S_LDL_CE_pct,0.572,0.649,-0.031
S_LDL_CE_pct_C,0.006,0.014,-0.152
S_LDL_C_pct,0.009,0.018,0.145
S_LDL_FC,0.002,0.004,0.174
S_LDL_FC_by_CE,0.006,0.014,0.152
S_LDL_FC_pct,0.001,0.004,0.178
S_LDL_FC_pct_C,0.007,0.015,0.15
S_LDL_L,0.049,0.081,0.108
S_LDL_P,0.088,0.134,0.094
S_LDL_PL,0.017,0.032,0.132
S_LDL_PL_pct,0.31,0.39,0.056
S_LDL_TG,0.035,0.06,-0.118
S_LDL_TG_pct,0.0,0.0,-0.226
S_VLDL_C,0.199,0.269,0.071
S_VLDL_CE,0.338,0.42,0.053
S_VLDL_CE_pct,0.002,0.006,0.168
S_VLDL_CE_pct_C,0.008,0.017,-0.152
S_VLDL_C_pct,0.0,0.001,0.212
S_VLDL_FC,0.066,0.105,0.101
S_VLDL_FC_by_CE,0.01,0.02,0.148
S_VLDL_FC_pct,0.0,0.0,0.239
S_VLDL_FC_pct_C,0.005,0.012,0.16
S_VLDL_L,0.868,0.899,-0.009
S_VLDL_P,0.721,0.779,-0.02
S_VLDL_PL,0.323,0.404,0.055
S_VLDL_PL_pct,0.0,0.0,0.238
S_VLDL_TG,0.044,0.074,-0.113
S_VLDL_TG_pct,0.0,0.0,-0.218
Sphingomyelins,0.03,0.053,0.129
TG_by_PG,0.017,0.032,-0.141
Total_BCAA,0.012,0.024,-0.143
Total_C,0.01,0.02,0.147
Total_CE,0.009,0.018,0.15
Total_CE_pct,0.0,0.0,0.231
Total_CE_pct_C,0.965,0.974,0.003
Total_C_pct,0.0,0.0,0.243
Total_FA,0.269,0.346,-0.062
Total_FC,0.015,0.029,0.137
Total_FC_by_CE,0.966,0.975,-0.002
Total_FC_pct,0.0,0.0,0.246
Total_FC_pct_C,0.974,0.981,-0.002
Total_L,0.338,0.419,0.054
Total_P,0.52,0.6,0.038
Total_PL,0.355,0.437,0.054
Total_PL_pct,0.621,0.692,-0.029
Total_TG,0.03,0.054,-0.122
Total_TG_pct,0.001,0.004,-0.188
Tyr,0.151,0.212,-0.08
Unsaturation,0.131,0.187,0.087
VLDL_C,0.395,0.478,0.047
VLDL_CE,0.17,0.235,0.076
VLDL_CE_pct,0.0,0.001,0.22
VLDL_CE_pct_C,0.0,0.001,0.21
VLDL_C_pct,0.0,0.0,0.223
VLDL_FC,0.89,0.917,0.008
VLDL_FC_by_CE,0.0,0.001,-0.211
VLDL_FC_pct,0.0,0.0,0.229
VLDL_FC_pct_C,0.0,0.001,-0.208
VLDL_L,0.346,0.428,-0.053
VLDL_P,0.912,0.934,0.006
VLDL_PL,0.687,0.75,-0.022
VLDL_PL_pct,0.001,0.003,0.189
VLDL_TG,0.041,0.069,-0.116
VLDL_TG_pct,0.0,0.001,-0.211
VLDL_size,0.028,0.05,-0.129
Val,0.03,0.053,-0.123
XL_HDL_C,0.006,0.014,0.167
XL_HDL_CE,0.007,0.015,0.166
XL_HDL_CE_pct,0.012,0.023,0.139
XL_HDL_CE_pct_C,0.07,0.11,0.108
XL_HDL_C_pct,0.204,0.274,0.075
XL_HDL_FC,0.007,0.015,0.161
XL_HDL_FC_by_CE,0.682,0.746,-0.023
XL_HDL_FC_pct,0.42,0.503,-0.05
XL_HDL_FC_pct_C,0.052,0.085,-0.119
XL_HDL_L,0.024,0.044,0.139
XL_HDL_P,0.019,0.036,0.144
XL_HDL_PL,0.049,0.081,0.121
XL_HDL_PL_pct,0.5,0.581,0.039
XL_HDL_TG,0.351,0.433,-0.052
XL_HDL_TG_pct,0.008,0.017,-0.153
XL_VLDL_C,0.423,0.507,-0.045
XL_VLDL_CE,0.834,0.872,-0.012
XL_VLDL_CE_pct,0.002,0.005,0.177
XL_VLDL_CE_pct_C,0.001,0.003,0.184
XL_VLDL_C_pct,0.003,0.007,0.168
XL_VLDL_FC,0.155,0.217,-0.081
XL_VLDL_FC_by_CE,0.001,0.004,-0.18
XL_VLDL_FC_pct,0.07,0.11,0.102
XL_VLDL_FC_pct_C,0.001,0.004,-0.179
XL_VLDL_L,0.055,0.089,-0.11
XL_VLDL_P,0.059,0.094,-0.108
XL_VLDL_PL,0.091,0.137,-0.096
XL_VLDL_PL_pct,0.799,0.844,-0.014
XL_VLDL_TG,0.017,0.033,-0.136
XL_VLDL_TG_pct,0.02,0.037,-0.13
XS_VLDL_C,0.026,0.046,0.127
XS_VLDL_CE,0.011,0.022,0.145
XS_VLDL_CE_pct,0.0,0.0,0.245
XS_VLDL_CE_pct_C,0.0,0.001,0.217
XS_VLDL_C_pct,0.0,0.0,0.251
XS_VLDL_FC,0.153,0.214,0.08
XS_VLDL_FC_by_CE,0.0,0.001,-0.217
XS_VLDL_FC_pct,0.0,0.0,0.222
XS_VLDL_FC_pct_C,0.0,0.001,-0.217
XS_VLDL_L,0.38,0.463,0.049
XS_VLDL_P,0.307,0.387,0.057
XS_VLDL_PL,0.553,0.631,0.033
XS_VLDL_PL_pct,0.026,0.046,-0.125
XS_VLDL_TG,0.033,0.057,-0.119
XS_VLDL_TG_pct,0.0,0.0,-0.246
XXL_VLDL_C,0.04,0.068,-0.117
XXL_VLDL_CE,0.062,0.098,-0.106
XXL_VLDL_CE_pct,0.035,0.06,0.116
XXL_VLDL_CE_pct_C,0.383,0.466,0.048
XXL_VLDL_C_pct,0.042,0.07,0.113
XXL_VLDL_FC,0.024,0.044,-0.128
XXL_VLDL_FC_by_CE,0.509,0.59,-0.036
XXL_VLDL_FC_pct,0.127,0.183,0.085
XXL_VLDL_FC_pct_C,0.303,0.383,-0.057
XXL_VLDL_L,0.015,0.03,-0.138
XXL_VLDL_P,0.012,0.024,-0.143
XXL_VLDL_PL,0.015,0.029,-0.139
XXL_VLDL_PL_pct,0.27,0.347,-0.062
XXL_VLDL_TG,0.013,0.025,-0.141
XXL_VLDL_TG_pct,0.254,0.33,-0.063
bOHbutyrate,0.765,0.816,-0.017
non_HDL_C,0.022,0.041,0.127
