met,PValue,adjPVal,logFC
Acetate,0.207,0.277,-0.055
Acetoacetate,0.001,0.003,-0.142
Acetone,0.479,0.561,-0.031
Ala,0.0,0.0,-0.196
Albumin,0.011,0.023,0.111
ApoA1,0.564,0.641,0.028
ApoB,0.0,0.0,0.215
ApoB_by_ApoA1,0.0,0.001,0.168
Cholines,0.041,0.07,0.096
Citrate,0.719,0.777,-0.016
Clinical_LDL_C,0.0,0.0,0.262
Creatinine,0.169,0.233,-0.07
DHA,0.577,0.653,0.026
DHA_pct,0.283,0.361,0.048
Gln,0.0,0.0,0.174
Glucose,0.0,0.0,-0.249
Gly,0.0,0.0,0.221
GlycA,0.0,0.0,-0.241
HDL_C,0.005,0.011,0.139
HDL_CE,0.004,0.009,0.142
HDL_CE_pct,0.0,0.0,0.273
HDL_CE_pct_C,0.092,0.138,0.074
HDL_C_pct,0.0,0.0,0.305
HDL_FC,0.013,0.025,0.123
HDL_FC_by_CE,0.095,0.142,-0.074
HDL_FC_pct,0.0,0.0,0.281
HDL_FC_pct_C,0.102,0.151,-0.072
HDL_L,0.267,0.344,0.054
HDL_P,0.411,0.495,0.038
HDL_PL,0.975,0.982,0.002
HDL_PL_pct,0.0,0.0,-0.39
HDL_TG,0.0,0.0,-0.187
HDL_TG_pct,0.0,0.0,-0.2
HDL_size,0.001,0.002,0.165
His,0.047,0.077,0.087
IDL_C,0.0,0.0,0.293
IDL_CE,0.0,0.0,0.287
IDL_CE_pct,0.0,0.0,0.252
IDL_CE_pct_C,0.294,0.373,-0.046
IDL_C_pct,0.0,0.0,0.304
IDL_FC,0.0,0.0,0.302
IDL_FC_by_CE,0.287,0.366,0.046
IDL_FC_pct,0.0,0.0,0.254
IDL_FC_pct_C,0.263,0.339,0.049
IDL_L,0.0,0.0,0.267
IDL_P,0.0,0.0,0.242
IDL_PL,0.0,0.0,0.272
IDL_PL_pct,0.2,0.27,-0.056
IDL_TG,0.008,0.017,-0.116
IDL_TG_pct,0.0,0.0,-0.362
Ile,0.0,0.001,-0.159
LA,0.0,0.0,0.194
LA_pct,0.0,0.0,0.401
LDL_C,0.0,0.0,0.233
LDL_CE,0.0,0.0,0.208
LDL_CE_pct,0.174,0.24,0.059
LDL_CE_pct_C,0.0,0.0,-0.274
LDL_C_pct,0.0,0.0,0.363
LDL_FC,0.0,0.0,0.293
LDL_FC_by_CE,0.0,0.0,0.274
LDL_FC_pct,0.0,0.0,0.329
LDL_FC_pct_C,0.0,0.0,0.275
LDL_L,0.0,0.0,0.214
LDL_P,0.0,0.0,0.225
LDL_PL,0.0,0.0,0.224
LDL_PL_pct,0.573,0.649,0.025
LDL_TG,0.005,0.011,-0.124
LDL_TG_pct,0.0,0.0,-0.358
LDL_size,0.0,0.0,0.185
L_HDL_C,0.0,0.0,0.207
L_HDL_CE,0.0,0.0,0.214
L_HDL_CE_pct,0.0,0.0,0.303
L_HDL_CE_pct_C,0.0,0.0,0.204
L_HDL_C_pct,0.0,0.0,0.295
L_HDL_FC,0.0,0.001,0.178
L_HDL_FC_by_CE,0.0,0.0,-0.201
L_HDL_FC_pct,0.004,0.009,0.133
L_HDL_FC_pct_C,0.0,0.0,-0.194
L_HDL_L,0.002,0.004,0.157
L_HDL_P,0.0,0.001,0.19
L_HDL_PL,0.024,0.044,0.113
L_HDL_PL_pct,0.0,0.0,-0.383
L_HDL_TG,0.119,0.173,-0.071
L_HDL_TG_pct,0.0,0.001,-0.167
L_LDL_C,0.0,0.0,0.255
L_LDL_CE,0.0,0.0,0.235
L_LDL_CE_pct,0.028,0.049,0.096
L_LDL_CE_pct_C,0.0,0.0,-0.291
L_LDL_C_pct,0.0,0.0,0.352
L_LDL_FC,0.0,0.0,0.305
L_LDL_FC_by_CE,0.0,0.0,0.291
