met,PValue,adjPVal,logFC
Acetate,0.587,0.662,-0.018
Acetoacetate,0.191,0.259,-0.045
Acetone,0.431,0.514,0.027
Ala,0.09,0.136,-0.058
Albumin,0.976,0.982,0.001
ApoA1,0.776,0.826,0.011
ApoB,0.051,0.083,0.066
ApoB_by_ApoA1,0.127,0.183,0.053
Cholines,0.573,0.649,0.021
Citrate,0.062,0.1,0.065
Clinical_LDL_C,0.005,0.011,0.096
Creatinine,0.13,0.186,-0.06
DHA,0.423,0.506,-0.029
DHA_pct,0.784,0.832,0.01
Gln,0.008,0.018,0.09
Glucose,0.0,0.0,-0.18
Gly,0.009,0.018,0.094
GlycA,0.0,0.0,-0.163
HDL_C,0.062,0.099,0.071
HDL_CE,0.053,0.086,0.073
HDL_CE_pct,0.0,0.0,0.149
HDL_CE_pct_C,0.124,0.179,0.053
HDL_C_pct,0.0,0.0,0.164
HDL_FC,0.117,0.171,0.06
HDL_FC_by_CE,0.128,0.184,-0.052
HDL_FC_pct,0.0,0.001,0.138
HDL_FC_pct_C,0.138,0.196,-0.051
HDL_L,0.487,0.568,0.027
HDL_P,0.782,0.83,0.01
HDL_PL,0.985,0.989,-0.001
HDL_PL_pct,0.0,0.0,-0.206
HDL_TG,0.003,0.007,-0.101
HDL_TG_pct,0.002,0.005,-0.108
HDL_size,0.014,0.028,0.094
His,0.433,0.516,-0.027
IDL_C,0.001,0.004,0.112
IDL_CE,0.002,0.004,0.111
IDL_CE_pct,0.0,0.0,0.133
IDL_CE_pct_C,0.877,0.906,-0.005
IDL_C_pct,0.0,0.0,0.153
IDL_FC,0.001,0.004,0.112
IDL_FC_by_CE,0.875,0.905,0.005
IDL_FC_pct,0.001,0.003,0.112
IDL_FC_pct_C,0.864,0.896,0.006
IDL_L,0.006,0.013,0.097
IDL_P,0.017,0.032,0.082
IDL_PL,0.005,0.012,0.097
IDL_PL_pct,0.352,0.435,-0.032
IDL_TG,0.017,0.033,-0.081
IDL_TG_pct,0.0,0.0,-0.177
Ile,0.035,0.061,-0.073
LA,0.025,0.046,0.077
LA_pct,0.0,0.0,0.228
LDL_C,0.014,0.027,0.084
LDL_CE,0.039,0.066,0.07
LDL_CE_pct,0.693,0.756,0.013
LDL_CE_pct_C,0.0,0.0,-0.154
LDL_C_pct,0.0,0.0,0.182
LDL_FC,0.001,0.002,0.117
LDL_FC_by_CE,0.0,0.0,0.154
LDL_FC_pct,0.0,0.0,0.178
LDL_FC_pct_C,0.0,0.0,0.154
LDL_L,0.031,0.055,0.073
LDL_P,0.042,0.071,0.069
LDL_PL,0.024,0.043,0.077
LDL_PL_pct,0.952,0.964,0.002
LDL_TG,0.015,0.029,-0.083
LDL_TG_pct,0.0,0.0,-0.174
LDL_size,0.024,0.044,0.079
L_HDL_C,0.004,0.009,0.111
L_HDL_CE,0.003,0.006,0.116
L_HDL_CE_pct,0.0,0.0,0.165
L_HDL_CE_pct_C,0.001,0.002,0.116
L_HDL_C_pct,0.0,0.0,0.159
L_HDL_FC,0.014,0.028,0.095
L_HDL_FC_by_CE,0.001,0.003,-0.111
L_HDL_FC_pct,0.051,0.084,0.07
L_HDL_FC_pct_C,0.003,0.007,-0.102
L_HDL_L,0.025,0.045,0.087
L_HDL_P,0.008,0.017,0.103
L_HDL_PL,0.092,0.138,0.065
L_HDL_PL_pct,0.0,0.0,-0.192
L_HDL_TG,0.393,0.477,-0.03
L_HDL_TG_pct,0.01,0.021,-0.091
L_LDL_C,0.005,0.011,0.097
L_LDL_CE,0.011,0.023,0.086
L_LDL_CE_pct,0.13,0.186,0.051
L_LDL_CE_pct_C,0.0,0.0,-0.153
L_LDL_C_pct,0.0,0.0,0.186
L_LDL_FC,0.0,0.001,0.123
L_LDL_FC_by_CE,0.0,0.0,0.154
L_LDL_FC_pct,0.0,0.0,0.188
L_LDL_FC_pct_C,0.0,0.0,0.155
L_LDL_L,0.012,0.024,0.086
L_LDL_P,0.024,0.044,0.077
L_LDL_PL,0.011,0.022,0.087
L_LDL_PL_pct,0.829,0.869,-0.007
L_LDL_TG,0.021,0.038,-0.079
L_LDL_TG_pct,0.0,0.0,-0.179
L_VLDL_C,0.173,0.239,-0.047
L_VLDL_CE,0.515,0.596,-0.022
L_VLDL_CE_pct,0.001,0.002,0.116
L_VLDL_CE_pct_C,0.0,0.0,0.17
L_VLDL_C_pct,0.027,0.048,0.076
L_VLDL_FC,0.043,0.073,-0.071
L_VLDL_FC_by_CE,0.0,0.0,-0.17
L_VLDL_FC_pct,0.373,0.456,-0.03
L_VLDL_FC_pct_C,0.0,0.0,-0.167
L_VLDL_L,0.041,0.07,-0.071
L_VLDL_P,0.028,0.049,-0.077
L_VLDL_PL,0.023,0.043,-0.08
L_VLDL_PL_pct,0.059,0.095,-0.065
L_VLDL_TG,0.025,0.045,-0.079
