met,PValue,adjPVal,logFC
Acetate,0.086,0.13,-0.09
Acetoacetate,0.006,0.013,-0.145
Acetone,0.388,0.471,-0.045
Ala,0.208,0.278,-0.066
Albumin,0.992,0.994,-0.001
ApoA1,0.565,0.642,-0.033
ApoB,0.008,0.017,0.139
ApoB_by_ApoA1,0.009,0.018,0.14
Cholines,0.63,0.7,0.027
Citrate,0.577,0.653,-0.03
Clinical_LDL_C,0.003,0.006,0.158
Creatinine,0.165,0.228,-0.085
DHA,0.552,0.63,-0.033
DHA_pct,0.929,0.947,-0.005
Gln,0.699,0.761,0.02
Glucose,0.0,0.0,-0.263
Gly,0.091,0.137,0.093
GlycA,0.042,0.071,-0.107
HDL_C,0.42,0.503,0.047
HDL_CE,0.39,0.474,0.05
HDL_CE_pct,0.002,0.005,0.167
HDL_CE_pct_C,0.348,0.43,0.049
HDL_C_pct,0.001,0.002,0.186
HDL_FC,0.547,0.625,0.036
HDL_FC_by_CE,0.354,0.437,-0.049
HDL_FC_pct,0.003,0.007,0.169
HDL_FC_pct_C,0.368,0.451,-0.047
HDL_L,0.854,0.889,-0.011
HDL_P,0.685,0.749,-0.023
HDL_PL,0.451,0.534,-0.044
HDL_PL_pct,0.0,0.0,-0.239
HDL_TG,0.006,0.014,-0.143
HDL_TG_pct,0.024,0.044,-0.122
HDL_size,0.205,0.275,0.075
His,0.645,0.714,0.024
IDL_C,0.002,0.004,0.171
IDL_CE,0.002,0.006,0.163
IDL_CE_pct,0.032,0.057,0.114
IDL_CE_pct_C,0.06,0.097,-0.098
IDL_C_pct,0.001,0.004,0.169
IDL_FC,0.0,0.001,0.189
IDL_FC_by_CE,0.059,0.095,0.098
IDL_FC_pct,0.0,0.0,0.199
IDL_FC_pct_C,0.056,0.09,0.1
IDL_L,0.004,0.008,0.157
IDL_P,0.005,0.012,0.146
IDL_PL,0.002,0.004,0.171
IDL_PL_pct,0.482,0.564,0.037
IDL_TG,0.11,0.162,-0.084
IDL_TG_pct,0.0,0.0,-0.226
Ile,0.001,0.002,-0.183
LA,0.012,0.023,0.133
LA_pct,0.0,0.0,0.309
LDL_C,0.01,0.02,0.135
LDL_CE,0.022,0.041,0.119
LDL_CE_pct,0.501,0.582,0.035
LDL_CE_pct_C,0.002,0.004,-0.168
LDL_C_pct,0.0,0.0,0.222
LDL_FC,0.001,0.003,0.173
LDL_FC_by_CE,0.002,0.004,0.169
LDL_FC_pct,0.0,0.001,0.202
LDL_FC_pct_C,0.001,0.004,0.17
LDL_L,0.018,0.034,0.123
LDL_P,0.007,0.015,0.14
LDL_PL,0.011,0.022,0.133
LDL_PL_pct,0.408,0.491,0.044
LDL_TG,0.08,0.123,-0.092
LDL_TG_pct,0.0,0.0,-0.228
LDL_size,0.01,0.021,0.138
L_HDL_C,0.07,0.11,0.107
L_HDL_CE,0.056,0.091,0.113
L_HDL_CE_pct,0.0,0.001,0.2
L_HDL_CE_pct_C,0.005,0.012,0.145
L_HDL_C_pct,0.0,0.001,0.195
L_HDL_FC,0.141,0.199,0.088
L_HDL_FC_by_CE,0.006,0.013,-0.143
L_HDL_FC_pct,0.097,0.146,0.091
L_HDL_FC_pct_C,0.009,0.019,-0.136
L_HDL_L,0.239,0.314,0.07
L_HDL_P,0.116,0.17,0.094
L_HDL_PL,0.51,0.59,0.039
L_HDL_PL_pct,0.0,0.0,-0.256
L_HDL_TG,0.139,0.197,-0.08
L_HDL_TG_pct,0.07,0.11,-0.098
L_LDL_C,0.005,0.012,0.146
L_LDL_CE,0.011,0.023,0.133
L_LDL_CE_pct,0.372,0.455,0.046
L_LDL_CE_pct_C,0.001,0.002,-0.185
L_LDL_C_pct,0.0,0.0,0.209
L_LDL_FC,0.001,0.002,0.179
L_LDL_FC_by_CE,0.001,0.002,0.186
L_LDL_FC_pct,0.0,0.0,0.222
L_LDL_FC_pct_C,0.0,0.001,0.188
L_LDL_L,0.01,0.021,0.135
L_LDL_P,0.003,0.008,0.153
L_LDL_PL,0.006,0.012,0.145
L_LDL_PL_pct,0.311,0.392,0.053
L_LDL_TG,0.097,0.145,-0.087
L_LDL_TG_pct,0.0,0.0,-0.23
L_VLDL_C,0.894,0.92,-0.007
L_VLDL_CE,0.539,0.618,0.033
L_VLDL_CE_pct,0.0,0.001,0.204
L_VLDL_CE_pct_C,0.0,0.0,0.239
L_VLDL_C_pct,0.002,0.006,0.158
L_VLDL_FC,0.391,0.474,-0.046
L_VLDL_FC_by_CE,0.0,0.0,-0.239
L_VLDL_FC_pct,0.712,0.772,0.019
L_VLDL_FC_pct_C,0.0,0.0,-0.234
L_VLDL_L,0.29,0.369,-0.057
L_VLDL_P,0.216,0.287,-0.067
L_VLDL_PL,0.255,0.331,-0.061
L_VLDL_PL_pct,0.444,0.527,-0.041
L_VLDL_TG,0.129,0.186,-0.082
L_VLDL_TG_pct,0.093,0.14,-0.087
Lactate,0.059,0.095,0.101
Leu,0.012,0.025,-0.136
MUFA,0.034,0.059,-0.111
MUFA_pct,0.001,0.003,-0.18
M_HDL_C,0.514,0.594,-0.037
M_HDL_CE,0.52,0.6,-0.037
M_HDL_CE_pct,0.019,0.035,0.125
M_HDL_CE_pct_C,0.553,0.631,0.033
M_HDL_C_pct,0.017,0.032,0.129
M_HDL_FC,0.502,0.583,-0.039
M_HDL_FC_by_CE,0.551,0.629,-0.033
M_HDL_FC_pct,0.156,0.218,0.083
M_HDL_FC_pct_C,0.552,0.63,-0.033
M_HDL_L,0.135,0.192,-0.085
M_HDL_P,0.357,0.439,-0.053
M_HDL_PL,0.05,0.082,-0.11
M_HDL_PL_pct,0.004,0.009,-0.157
M_HDL_TG,0.003,0.007,-0.157
M_HDL_TG_pct,0.046,0.077,-0.107
M_LDL_C,0.04,0.069,0.107
M_LDL_CE,0.094,0.141,0.087
M_LDL_CE_pct,0.891,0.918,0.007
M_LDL_CE_pct_C,0.017,0.033,-0.127
M_LDL_C_pct,0.0,0.0,0.207
M_LDL_FC,0.003,0.008,0.152
M_LDL_FC_by_CE,0.017,0.033,0.127
M_LDL_FC_pct,0.001,0.004,0.17
M_LDL_FC_pct_C,0.017,0.033,0.127
M_LDL_L,0.07,0.109,0.094
M_LDL_P,0.04,0.068,0.107
M_LDL_PL,0.064,0.101,0.097
M_LDL_PL_pct,0.821,0.862,-0.012
M_LDL_TG,0.069,0.109,-0.096
M_LDL_TG_pct,0.0,0.0,-0.218
M_VLDL_C,0.001,0.002,0.178
M_VLDL_CE,0.0,0.0,0.219
M_VLDL_CE_pct,0.0,0.0,0.256
M_VLDL_CE_pct_C,0.0,0.0,0.25
M_VLDL_C_pct,0.0,0.0,0.255
M_VLDL_FC,0.019,0.036,0.122
M_VLDL_FC_by_CE,0.001,0.004,-0.167
M_VLDL_FC_pct,0.0,0.0,0.255
M_VLDL_FC_pct_C,0.0,0.0,-0.248
M_VLDL_L,0.383,0.466,0.046
M_VLDL_P,0.134,0.191,0.078
M_VLDL_PL,0.081,0.125,0.091
M_VLDL_PL_pct,0.0,0.0,0.236
M_VLDL_TG,0.263,0.34,-0.06
M_VLDL_TG_pct,0.0,0.0,-0.249
Omega_3,0.108,0.159,-0.087
Omega_3_pct,0.17,0.234,-0.074
Omega_3_pct_PUFA,0.015,0.029,-0.131
Omega_6,0.074,0.114,0.095
Omega_6_by_Omega_3,0.035,0.061,0.113
Omega_6_pct,0.0,0.0,0.251
Omega_6_pct_PUFA,0.009,0.019,0.14
PUFA,0.31,0.391,0.055
PUFA_by_MUFA,0.0,0.001,0.192
PUFA_pct,0.0,0.0,0.21
Phe,0.051,0.083,-0.102
Phosphatidylc,0.849,0.884,0.011
Phosphoglyc,0.788,0.835,-0.015
Pyruvate,0.313,0.394,0.054
Remnant_C,0.013,0.025,0.13
SFA,0.108,0.16,-0.084
SFA_pct,0.008,0.018,-0.137
S_HDL_C,0.244,0.319,-0.061
S_HDL_CE,0.294,0.373,-0.055
S_HDL_CE_pct,0.011,0.022,0.134
S_HDL_CE_pct_C,0.747,0.801,0.017
S_HDL_C_pct,0.001,0.003,0.172
S_HDL_FC,0.189,0.257,-0.07
S_HDL_FC_by_CE,0.749,0.803,-0.017
S_HDL_FC_pct,0.009,0.019,0.143
S_HDL_FC_pct_C,0.752,0.806,-0.017
S_HDL_L,0.019,0.035,-0.123
S_HDL_P,0.189,0.256,-0.069
S_HDL_PL,0.007,0.016,-0.141
S_HDL_PL_pct,0.01,0.021,-0.139
S_HDL_TG,0.004,0.008,-0.156
S_HDL_TG_pct,0.022,0.041,-0.124
S_LDL_C,0.013,0.025,0.13
S_LDL_CE,0.041,0.07,0.106
S_LDL_CE_pct,0.711,0.771,-0.019
S_LDL_CE_pct_C,0.014,0.028,-0.129
S_LDL_C_pct,0.01,0.02,0.134
S_LDL_FC,0.001,0.002,0.178
S_LDL_FC_by_CE,0.014,0.028,0.129
S_LDL_FC_pct,0.003,0.008,0.154
S_LDL_FC_pct_C,0.015,0.03,0.127
S_LDL_L,0.019,0.035,0.122
S_LDL_P,0.024,0.044,0.118
S_LDL_PL,0.004,0.01,0.148
S_LDL_PL_pct,0.323,0.404,0.052
S_LDL_TG,0.069,0.108,-0.096
S_LDL_TG_pct,0.0,0.0,-0.21
S_VLDL_C,0.06,0.096,0.098
S_VLDL_CE,0.115,0.168,0.082
S_VLDL_CE_pct,0.0,0.0,0.202
S_VLDL_CE_pct_C,0.017,0.032,-0.13
S_VLDL_C_pct,0.0,0.0,0.238
S_VLDL_FC,0.017,0.033,0.124
S_VLDL_FC_by_CE,0.019,0.036,0.127
S_VLDL_FC_pct,0.0,0.0,0.251
S_VLDL_FC_pct_C,0.012,0.024,0.136
S_VLDL_L,0.825,0.865,0.012
