met,PValue,adjPVal,logFC
Acetate,0.067,0.105,-0.073
Acetoacetate,0.007,0.015,-0.108
Acetone,0.417,0.501,-0.032
Ala,0.264,0.341,-0.045
Albumin,0.996,0.997,-0.0
ApoA1,0.124,0.179,0.068
ApoB,0.001,0.003,0.129
ApoB_by_ApoA1,0.034,0.059,0.086
Cholines,0.02,0.038,0.099
Citrate,0.592,0.667,-0.022
Clinical_LDL_C,0.0,0.0,0.159
Creatinine,0.063,0.1,-0.087
DHA,0.399,0.482,0.035
DHA_pct,0.322,0.403,0.041
Gln,0.048,0.08,0.079
Glucose,0.0,0.0,-0.216
Gly,0.003,0.007,0.126
GlycA,0.0,0.001,-0.148
HDL_C,0.003,0.007,0.133
HDL_CE,0.003,0.007,0.132
HDL_CE_pct,0.0,0.0,0.166
HDL_CE_pct_C,0.723,0.781,0.014
HDL_C_pct,0.0,0.0,0.194
HDL_FC,0.003,0.008,0.133
HDL_FC_by_CE,0.733,0.79,-0.014
HDL_FC_pct,0.0,0.0,0.214
HDL_FC_pct_C,0.758,0.81,-0.012
HDL_L,0.052,0.085,0.087
HDL_P,0.118,0.172,0.067
HDL_PL,0.23,0.303,0.053
HDL_PL_pct,0.0,0.0,-0.26
HDL_TG,0.025,0.045,-0.09
HDL_TG_pct,0.003,0.007,-0.123
HDL_size,0.002,0.005,0.14
His,0.604,0.678,0.021
IDL_C,0.0,0.0,0.176
IDL_CE,0.0,0.0,0.174
IDL_CE_pct,0.0,0.001,0.152
IDL_CE_pct_C,0.936,0.952,-0.003
IDL_C_pct,0.0,0.0,0.173
IDL_FC,0.0,0.0,0.177
IDL_FC_by_CE,0.929,0.947,0.004
IDL_FC_pct,0.001,0.004,0.126
IDL_FC_pct_C,0.9,0.925,0.005
IDL_L,0.0,0.0,0.163
IDL_P,0.001,0.003,0.131
IDL_PL,0.0,0.0,0.166
IDL_PL_pct,0.343,0.425,-0.038
IDL_TG,0.213,0.284,-0.05
IDL_TG_pct,0.0,0.0,-0.206
Ile,0.045,0.075,-0.081
LA,0.0,0.001,0.152
LA_pct,0.0,0.0,0.266
LDL_C,0.0,0.001,0.151
LDL_CE,0.001,0.002,0.138
LDL_CE_pct,0.046,0.077,0.079
LDL_CE_pct_C,0.0,0.001,-0.144
LDL_C_pct,0.0,0.0,0.243
LDL_FC,0.0,0.0,0.181
LDL_FC_by_CE,0.0,0.001,0.144
LDL_FC_pct,0.0,0.0,0.187
LDL_FC_pct_C,0.0,0.001,0.144
LDL_L,0.0,0.002,0.139
LDL_P,0.001,0.002,0.137
LDL_PL,0.001,0.002,0.136
LDL_PL_pct,0.042,0.07,-0.082
LDL_TG,0.23,0.303,-0.048
LDL_TG_pct,0.0,0.0,-0.201
LDL_size,0.005,0.012,0.114
L_HDL_C,0.0,0.0,0.173
L_HDL_CE,0.0,0.0,0.176
L_HDL_CE_pct,0.0,0.0,0.2
L_HDL_CE_pct_C,0.007,0.015,0.108
L_HDL_C_pct,0.0,0.0,0.201
L_HDL_FC,0.0,0.002,0.159
L_HDL_FC_by_CE,0.01,0.02,-0.103
L_HDL_FC_pct,0.004,0.01,0.12
L_HDL_FC_pct_C,0.018,0.034,-0.094
L_HDL_L,0.001,0.004,0.146
L_HDL_P,0.0,0.001,0.168
L_HDL_PL,0.009,0.019,0.119
L_HDL_PL_pct,0.0,0.0,-0.256
L_HDL_TG,0.972,0.979,0.001
L_HDL_TG_pct,0.009,0.018,-0.109
L_LDL_C,0.0,0.0,0.167
L_LDL_CE,0.0,0.0,0.157
L_LDL_CE_pct,0.004,0.01,0.114
L_LDL_CE_pct_C,0.0,0.001,-0.15
L_LDL_C_pct,0.0,0.0,0.248
L_LDL_FC,0.0,0.0,0.191
L_LDL_FC_by_CE,0.0,0.001,0.15
L_LDL_FC_pct,0.0,0.0,0.206
L_LDL_FC_pct_C,0.0,0.001,0.152
L_LDL_L,0.0,0.0,0.154
L_LDL_P,0.0,0.001,0.146
L_LDL_PL,0.0,0.001,0.147
L_LDL_PL_pct,0.045,0.075,-0.08
L_LDL_TG,0.283,0.362,-0.043
L_LDL_TG_pct,0.0,0.0,-0.208
L_VLDL_C,0.653,0.72,-0.018
