met,PValue,adjPVal,logFC
Acetate,0.136,0.194,-0.072
Acetoacetate,0.027,0.048,-0.108
Acetone,0.857,0.891,-0.009
Ala,0.026,0.046,-0.109
Albumin,0.783,0.831,0.013
ApoA1,0.529,0.608,-0.034
ApoB,0.035,0.06,0.102
ApoB_by_ApoA1,0.032,0.056,0.106
Cholines,0.878,0.907,0.008
Citrate,0.68,0.745,0.021
Clinical_LDL_C,0.02,0.037,0.113
Creatinine,0.99,0.992,-0.001
DHA,0.695,0.757,-0.02
DHA_pct,0.897,0.923,0.006
Gln,0.76,0.812,0.015
Glucose,0.0,0.0,-0.225
Gly,0.302,0.382,0.053
GlycA,0.018,0.034,-0.116
HDL_C,0.587,0.662,0.03
HDL_CE,0.546,0.624,0.033
HDL_CE_pct,0.006,0.014,0.135
HDL_CE_pct_C,0.285,0.364,0.052
HDL_C_pct,0.003,0.008,0.147
HDL_FC,0.754,0.807,0.017
HDL_FC_by_CE,0.288,0.367,-0.052
HDL_FC_pct,0.023,0.043,0.119
HDL_FC_pct_C,0.294,0.374,-0.051
HDL_L,0.745,0.799,-0.018
HDL_P,0.591,0.666,-0.028
HDL_PL,0.374,0.457,-0.048
HDL_PL_pct,0.0,0.0,-0.219
HDL_TG,0.046,0.076,-0.097
HDL_TG_pct,0.127,0.183,-0.077
HDL_size,0.211,0.282,0.068
His,0.44,0.523,0.038
IDL_C,0.021,0.04,0.115
IDL_CE,0.034,0.059,0.106
IDL_CE_pct,0.277,0.356,0.054
IDL_CE_pct_C,0.014,0.027,-0.12
IDL_C_pct,0.026,0.047,0.109
IDL_FC,0.006,0.013,0.137
IDL_FC_by_CE,0.013,0.026,0.12
IDL_FC_pct,0.0,0.001,0.174
IDL_FC_pct_C,0.013,0.025,0.121
IDL_L,0.033,0.057,0.107
IDL_P,0.057,0.092,0.093
IDL_PL,0.012,0.025,0.125
IDL_PL_pct,0.158,0.22,0.068
IDL_TG,0.147,0.207,-0.071
IDL_TG_pct,0.001,0.002,-0.167
Ile,0.003,0.008,-0.144
LA,0.024,0.044,0.11
LA_pct,0.0,0.0,0.269
LDL_C,0.042,0.072,0.098
LDL_CE,0.074,0.115,0.087
LDL_CE_pct,0.344,0.426,0.046
LDL_CE_pct_C,0.012,0.024,-0.125
LDL_C_pct,0.0,0.001,0.185
LDL_FC,0.009,0.019,0.127
LDL_FC_by_CE,0.012,0.024,0.125
LDL_FC_pct,0.002,0.004,0.156
LDL_FC_pct_C,0.011,0.022,0.126
LDL_L,0.07,0.11,0.088
LDL_P,0.03,0.052,0.105
LDL_PL,0.06,0.095,0.091
LDL_PL_pct,0.961,0.971,0.002
LDL_TG,0.099,0.148,-0.08
LDL_TG_pct,0.0,0.001,-0.179
LDL_size,0.098,0.147,0.082
L_HDL_C,0.119,0.173,0.086
L_HDL_CE,0.095,0.142,0.092
L_HDL_CE_pct,0.001,0.004,0.159
L_HDL_CE_pct_C,0.002,0.006,0.148
L_HDL_C_pct,0.004,0.009,0.147
L_HDL_FC,0.249,0.325,0.064
L_HDL_FC_by_CE,0.002,0.005,-0.15
L_HDL_FC_pct,0.581,0.656,0.028
L_HDL_FC_pct_C,0.002,0.005,-0.15
