met,PValue,adjPVal,logFC
Acetate,0.049,0.081,-0.09
Acetoacetate,0.01,0.02,-0.119
Acetone,0.396,0.479,-0.039
Ala,0.177,0.243,-0.062
Albumin,0.542,0.621,0.028
ApoA1,0.98,0.985,0.001
ApoB,0.0,0.0,0.193
ApoB_by_ApoA1,0.0,0.001,0.168
Cholines,0.123,0.178,0.076
Citrate,0.696,0.758,0.018
Clinical_LDL_C,0.0,0.0,0.232
Creatinine,0.026,0.046,-0.12
DHA,0.828,0.868,-0.011
DHA_pct,0.977,0.983,-0.001
Gln,0.101,0.15,0.076
Glucose,0.0,0.0,-0.214
Gly,0.002,0.005,0.152
GlycA,0.001,0.003,-0.153
HDL_C,0.172,0.237,0.071
HDL_CE,0.142,0.201,0.075
HDL_CE_pct,0.0,0.0,0.201
HDL_CE_pct_C,0.074,0.115,0.083
HDL_C_pct,0.0,0.0,0.216
HDL_FC,0.333,0.414,0.051
HDL_FC_by_CE,0.077,0.118,-0.082
HDL_FC_pct,0.001,0.002,0.168
HDL_FC_pct_C,0.084,0.128,-0.08
HDL_L,0.888,0.915,0.007
HDL_P,0.476,0.558,0.035
HDL_PL,0.548,0.626,-0.031
HDL_PL_pct,0.0,0.0,-0.284
HDL_TG,0.002,0.005,-0.144
HDL_TG_pct,0.005,0.01,-0.135
HDL_size,0.441,0.524,0.04
His,0.448,0.531,0.035
IDL_C,0.0,0.0,0.233
IDL_CE,0.0,0.0,0.228
IDL_CE_pct,0.0,0.0,0.192
IDL_CE_pct_C,0.462,0.545,-0.034
IDL_C_pct,0.0,0.0,0.231
IDL_FC,0.0,0.0,0.241
IDL_FC_by_CE,0.458,0.54,0.034
IDL_FC_pct,0.0,0.0,0.192
IDL_FC_pct_C,0.44,0.523,0.036
IDL_L,0.0,0.0,0.214
IDL_P,0.0,0.0,0.192
IDL_PL,0.0,0.0,0.216
IDL_PL_pct,0.237,0.311,-0.054
IDL_TG,0.099,0.148,-0.076
IDL_TG_pct,0.0,0.0,-0.272
Ile,0.01,0.021,-0.12
LA,0.0,0.001,0.178
LA_pct,0.0,0.0,0.32
LDL_C,0.0,0.0,0.213
LDL_CE,0.0,0.0,0.195
LDL_CE_pct,0.077,0.12,0.081
LDL_CE_pct_C,0.0,0.0,-0.185
LDL_C_pct,0.0,0.0,0.289
LDL_FC,0.0,0.0,0.252
LDL_FC_by_CE,0.0,0.0,0.185
LDL_FC_pct,0.0,0.0,0.235
LDL_FC_pct_C,0.0,0.0,0.186
LDL_L,0.0,0.0,0.199
LDL_P,0.0,0.0,0.205
LDL_PL,0.0,0.0,0.208
LDL_PL_pct,0.829,0.868,0.01
LDL_TG,0.136,0.193,-0.069
LDL_TG_pct,0.0,0.0,-0.281
LDL_size,0.0,0.0,0.183
L_HDL_C,0.066,0.105,0.096
L_HDL_CE,0.048,0.079,0.103
L_HDL_CE_pct,0.0,0.0,0.223
L_HDL_CE_pct_C,0.0,0.001,0.161
L_HDL_C_pct,0.0,0.0,0.214
L_HDL_FC,0.18,0.246,0.071
L_HDL_FC_by_CE,0.001,0.003,-0.151
L_HDL_FC_pct,0.069,0.109,0.088
L_HDL_FC_pct_C,0.002,0.006,-0.139
L_HDL_L,0.287,0.366,0.056
L_HDL_P,0.114,0.166,0.083
L_HDL_PL,0.644,0.713,0.024
L_HDL_PL_pct,0.0,0.0,-0.258
L_HDL_TG,0.038,0.064,-0.1
L_HDL_TG_pct,0.014,0.028,-0.118
L_LDL_C,0.0,0.0,0.225
L_LDL_CE,0.0,0.0,0.211
L_LDL_CE_pct,0.011,0.023,0.116
L_LDL_CE_pct_C,0.0,0.0,-0.189
L_LDL_C_pct,0.0,0.0,0.284
L_LDL_FC,0.0,0.0,0.256
L_LDL_FC_by_CE,0.0,0.0,0.189
L_LDL_FC_pct,0.0,0.0,0.25
L_LDL_FC_pct_C,0.0,0.0,0.191
L_LDL_L,0.0,0.0,0.211
L_LDL_P,0.0,0.0,0.223
L_LDL_PL,0.0,0.0,0.218
L_LDL_PL_pct,0.892,0.918,0.006
L_LDL_TG,0.168,0.232,-0.064
L_LDL_TG_pct,0.0,0.0,-0.284
L_VLDL_C,0.714,0.774,0.017
L_VLDL_CE,0.222,0.294,0.057
L_VLDL_CE_pct,0.0,0.0,0.197
L_VLDL_CE_pct_C,0.0,0.0,0.242
L_VLDL_C_pct,0.001,0.003,0.151
L_VLDL_FC,0.639,0.709,-0.022
L_VLDL_FC_by_CE,0.0,0.0,-0.243
L_VLDL_FC_pct,0.768,0.818,0.014
L_VLDL_FC_pct_C,0.0,0.0,-0.236
L_VLDL_L,0.494,0.575,-0.032
L_VLDL_P,0.384,0.467,-0.041
L_VLDL_PL,0.363,0.446,-0.043
L_VLDL_PL_pct,0.424,0.508,-0.037
L_VLDL_TG,0.253,0.329,-0.054
L_VLDL_TG_pct,0.14,0.199,-0.068
Lactate,0.348,0.431,0.044
Leu,0.102,0.152,-0.079
MUFA,0.098,0.147,-0.076
MUFA_pct,0.001,0.003,-0.157
M_HDL_C,0.977,0.983,-0.001
