met,PValue,adjPVal,logFC
Acetate,0.243,0.318,-0.066
Acetoacetate,0.98,0.985,0.001
Acetone,0.931,0.948,0.005
Ala,0.229,0.302,-0.068
Albumin,0.194,0.262,-0.074
ApoA1,0.064,0.102,-0.116
ApoB,0.001,0.002,0.195
ApoB_by_ApoA1,0.0,0.0,0.227
Cholines,0.827,0.867,0.013
Citrate,0.062,0.099,0.109
Clinical_LDL_C,0.001,0.003,0.189
Creatinine,0.859,0.892,-0.012
DHA,0.135,0.193,-0.089
DHA_pct,0.109,0.16,-0.094
Gln,0.949,0.962,0.004
Glucose,0.0,0.0,-0.272
Gly,0.186,0.253,0.079
GlycA,0.933,0.95,-0.005
HDL_C,0.311,0.391,-0.065
HDL_CE,0.34,0.421,-0.06
HDL_CE_pct,0.07,0.11,0.105
HDL_CE_pct_C,0.341,0.423,0.054
HDL_C_pct,0.058,0.093,0.111
HDL_FC,0.247,0.322,-0.075
HDL_FC_by_CE,0.352,0.434,-0.053
HDL_FC_pct,0.185,0.252,0.081
HDL_FC_pct_C,0.38,0.463,-0.05
HDL_L,0.08,0.123,-0.112
HDL_P,0.173,0.238,-0.083
HDL_PL,0.03,0.053,-0.138
HDL_PL_pct,0.002,0.006,-0.177
HDL_TG,0.133,0.19,-0.086
HDL_TG_pct,0.665,0.731,-0.026
HDL_size,0.365,0.448,-0.058
His,0.599,0.672,-0.03
IDL_C,0.002,0.005,0.181
IDL_CE,0.002,0.006,0.179
IDL_CE_pct,0.032,0.056,0.124
IDL_CE_pct_C,0.774,0.823,-0.016
IDL_C_pct,0.011,0.022,0.146
IDL_FC,0.002,0.005,0.182
IDL_FC_by_CE,0.771,0.821,0.017
IDL_FC_pct,0.04,0.068,0.116
IDL_FC_pct_C,0.763,0.815,0.017
IDL_L,0.003,0.008,0.171
IDL_P,0.001,0.003,0.185
IDL_PL,0.002,0.005,0.184
IDL_PL_pct,0.628,0.699,0.027
IDL_TG,0.523,0.603,-0.037
IDL_TG_pct,0.001,0.003,-0.191
Ile,0.203,0.272,-0.074
LA,0.001,0.002,0.198
LA_pct,0.0,0.0,0.31
LDL_C,0.002,0.006,0.173
LDL_CE,0.004,0.01,0.163
LDL_CE_pct,0.09,0.136,0.096
LDL_CE_pct_C,0.09,0.136,-0.098
LDL_C_pct,0.0,0.001,0.209
LDL_FC,0.001,0.002,0.194
LDL_FC_by_CE,0.087,0.132,0.099
LDL_FC_pct,0.015,0.029,0.142
LDL_FC_pct_C,0.076,0.118,0.103
LDL_L,0.004,0.009,0.163
LDL_P,0.001,0.002,0.196
LDL_PL,0.002,0.005,0.174
LDL_PL_pct,0.498,0.579,0.039
LDL_TG,0.446,0.529,-0.044
LDL_TG_pct,0.0,0.001,-0.211
LDL_size,0.002,0.005,0.179
L_HDL_C,0.759,0.811,-0.02
L_HDL_CE,0.83,0.869,-0.014
L_HDL_CE_pct,0.004,0.009,0.169
L_HDL_CE_pct_C,0.042,0.071,0.115
L_HDL_C_pct,0.005,0.012,0.164
L_HDL_FC,0.558,0.635,-0.038
L_HDL_FC_by_CE,0.063,0.1,-0.105
L_HDL_FC_pct,0.184,0.251,0.08
L_HDL_FC_pct_C,0.1,0.149,-0.093
L_HDL_L,0.365,0.448,-0.059
L_HDL_P,0.618,0.69,-0.032
L_HDL_PL,0.179,0.245,-0.087
L_HDL_PL_pct,0.0,0.002,-0.203
L_HDL_TG,0.123,0.178,-0.091
L_HDL_TG_pct,0.494,0.575,-0.04
L_LDL_C,0.002,0.005,0.177
L_LDL_CE,0.003,0.007,0.171
L_LDL_CE_pct,0.026,0.047,0.125
L_LDL_CE_pct_C,0.09,0.136,-0.099
L_LDL_C_pct,0.0,0.001,0.214
L_LDL_FC,0.001,0.002,0.192
L_LDL_FC_by_CE,0.086,0.131,0.1
L_LDL_FC_pct,0.008,0.018,0.154
L_LDL_FC_pct_C,0.076,0.118,0.103
L_LDL_L,0.003,0.008,0.167
L_LDL_P,0.0,0.001,0.214
L_LDL_PL,0.002,0.005,0.175
L_LDL_PL_pct,0.677,0.742,0.024
L_LDL_TG,0.408,0.491,-0.047
L_LDL_TG_pct,0.0,0.001,-0.218
L_VLDL_C,0.081,0.124,0.101
L_VLDL_CE,0.015,0.029,0.14
L_VLDL_CE_pct,0.001,0.002,0.198
L_VLDL_CE_pct_C,0.001,0.002,0.209
L_VLDL_C_pct,0.002,0.006,0.173
L_VLDL_FC,0.296,0.376,0.061
L_VLDL_FC_by_CE,0.0,0.001,-0.212
L_VLDL_FC_pct,0.159,0.222,0.08
L_VLDL_FC_pct_C,0.001,0.003,-0.196
L_VLDL_L,0.426,0.509,0.047
L_VLDL_P,0.557,0.634,0.034
L_VLDL_PL,0.396,0.479,0.05
L_VLDL_PL_pct,0.157,0.219,0.082
L_VLDL_TG,0.813,0.856,0.014
L_VLDL_TG_pct,0.006,0.013,-0.156
Lactate,0.039,0.067,0.12
Leu,0.258,0.335,-0.067
MUFA,0.773,0.823,-0.016
MUFA_pct,0.501,0.582,-0.039
M_HDL_C,0.049,0.08,-0.122
M_HDL_CE,0.051,0.083,-0.121
M_HDL_CE_pct,0.244,0.319,0.067
M_HDL_CE_pct_C,0.18,0.246,0.082
M_HDL_C_pct,0.336,0.418,0.057
M_HDL_FC,0.047,0.079,-0.125
M_HDL_FC_by_CE,0.181,0.248,-0.082
M_HDL_FC_pct,0.787,0.834,-0.017
M_HDL_FC_pct_C,0.184,0.251,-0.081
M_HDL_L,0.012,0.023,-0.156
M_HDL_P,0.036,0.062,-0.13
M_HDL_PL,0.005,0.011,-0.173
M_HDL_PL_pct,0.156,0.218,-0.084
M_HDL_TG,0.085,0.13,-0.098
M_HDL_TG_pct,0.804,0.848,-0.014
M_LDL_C,0.007,0.015,0.153
M_LDL_CE,0.015,0.03,0.137
M_LDL_CE_pct,0.705,0.766,0.022
M_LDL_CE_pct_C,0.175,0.24,-0.079
M_LDL_C_pct,0.005,0.012,0.158
M_LDL_FC,0.001,0.003,0.187
M_LDL_FC_by_CE,0.169,0.234,0.08
M_LDL_FC_pct,0.044,0.073,0.117
M_LDL_FC_pct_C,0.146,0.205,0.084
M_LDL_L,0.01,0.021,0.146
M_LDL_P,0.009,0.018,0.149
M_LDL_PL,0.006,0.013,0.157
M_LDL_PL_pct,0.39,0.473,0.049
M_LDL_TG,0.482,0.564,-0.04
M_LDL_TG_pct,0.0,0.001,-0.201
M_VLDL_C,0.0,0.0,0.238
M_VLDL_CE,0.0,0.0,0.264
M_VLDL_CE_pct,0.001,0.002,0.199
M_VLDL_CE_pct_C,0.0,0.001,0.209
M_VLDL_C_pct,0.001,0.002,0.199
M_VLDL_FC,0.001,0.002,0.197
M_VLDL_FC_by_CE,0.003,0.007,-0.17
M_VLDL_FC_pct,0.0,0.001,0.215
M_VLDL_FC_pct_C,0.001,0.003,-0.194
M_VLDL_L,0.015,0.03,0.138
M_VLDL_P,0.004,0.01,0.163
M_VLDL_PL,0.002,0.005,0.176
M_VLDL_PL_pct,0.0,0.0,0.234
M_VLDL_TG,0.453,0.535,0.043
M_VLDL_TG_pct,0.001,0.003,-0.195
Omega_3,0.084,0.128,-0.102
Omega_3_pct,0.049,0.081,-0.115
Omega_3_pct_PUFA,0.005,0.011,-0.164
Omega_6,0.007,0.015,0.157
Omega_6_by_Omega_3,0.012,0.024,0.147
Omega_6_pct,0.0,0.001,0.216
Omega_6_pct_PUFA,0.003,0.008,0.173
PUFA,0.078,0.12,0.103
PUFA_by_MUFA,0.158,0.221,0.082
PUFA_pct,0.006,0.013,0.159
Phe,0.673,0.738,-0.024
Phosphatidylc,0.877,0.907,-0.009
Phosphoglyc,0.661,0.728,-0.027
Pyruvate,0.585,0.66,0.032
Remnant_C,0.002,0.004,0.18
SFA,0.346,0.428,-0.054
SFA_pct,0.0,0.0,-0.218
S_HDL_C,0.426,0.509,-0.045
S_HDL_CE,0.528,0.607,-0.036
S_HDL_CE_pct,0.034,0.059,0.121
S_HDL_CE_pct_C,0.423,0.506,0.047
S_HDL_C_pct,0.013,0.026,0.141
S_HDL_FC,0.251,0.326,-0.067
S_HDL_FC_by_CE,0.424,0.507,-0.047
S_HDL_FC_pct,0.194,0.262,0.078
S_HDL_FC_pct_C,0.434,0.517,-0.046
S_HDL_L,0.089,0.134,-0.097
S_HDL_P,0.401,0.484,-0.048
S_HDL_PL,0.034,0.059,-0.121
S_HDL_PL_pct,0.003,0.007,-0.178
S_HDL_TG,0.295,0.375,-0.061
S_HDL_TG_pct,0.676,0.741,-0.025
S_LDL_C,0.002,0.004,0.178
S_LDL_CE,0.005,0.011,0.16
S_LDL_CE_pct,0.724,0.782,0.02
S_LDL_CE_pct_C,0.155,0.217,-0.081
S_LDL_C_pct,0.017,0.032,0.135
S_LDL_FC,0.0,0.001,0.207
S_LDL_FC_by_CE,0.148,0.209,0.083
S_LDL_FC_pct,0.042,0.07,0.116
S_LDL_FC_pct_C,0.129,0.186,0.087
S_LDL_L,0.002,0.006,0.173
S_LDL_P,0.002,0.006,0.173
S_LDL_PL,0.001,0.002,0.192
S_LDL_PL_pct,0.749,0.803,0.018
S_LDL_TG,0.663,0.73,-0.025
S_LDL_TG_pct,0.004,0.01,-0.164
S_VLDL_C,0.001,0.003,0.185
S_VLDL_CE,0.002,0.006,0.174
S_VLDL_CE_pct,0.0,0.001,0.205
S_VLDL_CE_pct_C,0.614,0.687,-0.03
S_VLDL_C_pct,0.0,0.001,0.21
S_VLDL_FC,0.0,0.001,0.2
S_VLDL_FC_by_CE,0.648,0.716,0.027
S_VLDL_FC_pct,0.001,0.004,0.186
S_VLDL_FC_pct_C,0.519,0.599,0.038
S_VLDL_L,0.047,0.078,0.114
S_VLDL_P,0.071,0.111,0.103
S_VLDL_PL,0.003,0.008,0.168
S_VLDL_PL_pct,0.001,0.003,0.19
S_VLDL_TG,0.953,0.965,0.003
S_VLDL_TG_pct,0.001,0.002,-0.195
Sphingomyelins,0.149,0.21,0.088
TG_by_PG,0.858,0.892,-0.011
Total_BCAA,0.319,0.4,-0.058
Total_C,0.01,0.021,0.15
Total_CE,0.012,0.024,0.147
Total_CE_pct,0.005,0.012,0.163
Total_CE_pct_C,0.101,0.151,-0.096
Total_C_pct,0.001,0.004,0.188
Total_FA,0.926,0.945,0.005
Total_FC,0.008,0.016,0.154
Total_FC_by_CE,0.1,0.149,0.096
Total_FC_pct,0.0,0.0,0.234
Total_FC_pct_C,0.094,0.141,0.098
Total_L,0.168,0.232,0.079
Total_P,0.444,0.527,-0.046
Total_PL,0.557,0.634,0.035
Total_PL_pct,0.007,0.016,-0.158
Total_TG,0.714,0.774,-0.021
Total_TG_pct,0.265,0.342,-0.067
Tyr,0.111,0.162,-0.091
Unsaturation,0.309,0.389,0.06
VLDL_C,0.005,0.012,0.158
VLDL_CE,0.001,0.004,0.182
VLDL_CE_pct,0.009,0.018,0.156
VLDL_CE_pct_C,0.014,0.027,0.147
VLDL_C_pct,0.006,0.014,0.161
VLDL_FC,0.034,0.059,0.121
VLDL_FC_by_CE,0.013,0.025,-0.149
VLDL_FC_pct,0.002,0.005,0.18
VLDL_FC_pct_C,0.019,0.035,-0.141
VLDL_L,0.278,0.356,0.062
VLDL_P,0.044,0.074,0.115
VLDL_PL,0.094,0.141,0.096
VLDL_PL_pct,0.002,0.005,0.181
VLDL_TG,0.897,0.922,-0.008
VLDL_TG_pct,0.011,0.023,-0.149
VLDL_size,0.969,0.977,0.002
Val,0.486,0.568,-0.04
XL_HDL_C,0.394,0.477,0.054
XL_HDL_CE,0.431,0.514,0.05
XL_HDL_CE_pct,0.01,0.021,0.145
XL_HDL_CE_pct_C,0.439,0.522,0.047
XL_HDL_C_pct,0.029,0.052,0.131
XL_HDL_FC,0.256,0.332,0.069
XL_HDL_FC_by_CE,0.649,0.717,-0.026
XL_HDL_FC_pct,0.537,0.616,0.039
XL_HDL_FC_pct_C,0.634,0.704,-0.03
XL_HDL_L,0.701,0.763,0.024
XL_HDL_P,0.55,0.628,0.038
XL_HDL_PL,0.91,0.933,0.007
XL_HDL_PL_pct,0.763,0.815,-0.018
XL_HDL_TG,0.718,0.777,-0.021
XL_HDL_TG_pct,0.298,0.378,-0.062
XL_VLDL_C,0.118,0.172,0.091
XL_VLDL_CE,0.028,0.05,0.127
XL_VLDL_CE_pct,0.033,0.057,0.124
