met,PValue,adjPVal,logFC
Acetate,0.12,0.174,-0.085
Acetoacetate,0.071,0.11,-0.099
Acetone,0.568,0.644,-0.031
Ala,0.221,0.293,-0.067
Albumin,0.476,0.558,0.039
ApoA1,0.493,0.575,-0.041
ApoB,0.01,0.02,0.141
ApoB_by_ApoA1,0.01,0.02,0.144
Cholines,0.689,0.752,0.024
Citrate,0.497,0.579,0.038
Clinical_LDL_C,0.004,0.009,0.159
Creatinine,0.679,0.743,-0.027
DHA,0.869,0.9,-0.01
DHA_pct,0.944,0.958,0.004
Gln,0.297,0.377,0.057
Glucose,0.0,0.0,-0.229
Gly,0.267,0.344,0.064
GlycA,0.15,0.211,-0.08
HDL_C,0.713,0.773,0.023
HDL_CE,0.667,0.733,0.026
HDL_CE_pct,0.009,0.019,0.146
HDL_CE_pct_C,0.295,0.374,0.058
HDL_C_pct,0.005,0.012,0.158
HDL_FC,0.891,0.917,0.009
HDL_FC_by_CE,0.297,0.376,-0.058
HDL_FC_pct,0.033,0.058,0.126
HDL_FC_pct_C,0.299,0.379,-0.057
HDL_L,0.629,0.7,-0.03
HDL_P,0.643,0.712,-0.027
HDL_PL,0.31,0.391,-0.062
HDL_PL_pct,0.0,0.0,-0.23
HDL_TG,0.049,0.08,-0.108
HDL_TG_pct,0.155,0.217,-0.081
HDL_size,0.435,0.519,0.048
His,0.262,0.338,0.062
IDL_C,0.003,0.008,0.165
IDL_CE,0.007,0.015,0.152
IDL_CE_pct,0.088,0.134,0.095
IDL_CE_pct_C,0.002,0.006,-0.168
IDL_C_pct,0.002,0.004,0.176
IDL_FC,0.0,0.001,0.197
IDL_FC_by_CE,0.002,0.005,0.168
IDL_FC_pct,0.0,0.0,0.261
IDL_FC_pct_C,0.002,0.005,0.171
IDL_L,0.007,0.016,0.151
IDL_P,0.004,0.01,0.158
IDL_PL,0.003,0.008,0.166
IDL_PL_pct,0.532,0.611,0.034
IDL_TG,0.14,0.199,-0.081
IDL_TG_pct,0.0,0.0,-0.227
Ile,0.07,0.109,-0.101
LA,0.023,0.042,0.126
LA_pct,0.0,0.0,0.26
LDL_C,0.013,0.026,0.136
LDL_CE,0.026,0.047,0.122
LDL_CE_pct,0.308,0.388,0.056
LDL_CE_pct_C,0.005,0.01,-0.159
LDL_C_pct,0.0,0.0,0.232
LDL_FC,0.002,0.005,0.171
LDL_FC_by_CE,0.004,0.01,0.16
LDL_FC_pct,0.0,0.001,0.199
LDL_FC_pct_C,0.004,0.008,0.163
LDL_L,0.024,0.043,0.124
LDL_P,0.009,0.019,0.143
LDL_PL,0.017,0.032,0.131
LDL_PL_pct,0.679,0.744,0.023
LDL_TG,0.121,0.175,-0.086
LDL_TG_pct,0.0,0.0,-0.227
LDL_size,0.281,0.359,0.061
L_HDL_C,0.242,0.316,0.073
L_HDL_CE,0.202,0.272,0.079
L_HDL_CE_pct,0.002,0.004,0.177
L_HDL_CE_pct_C,0.003,0.008,0.161
L_HDL_C_pct,0.004,0.009,0.165
L_HDL_FC,0.424,0.507,0.05
L_HDL_FC_by_CE,0.003,0.008,-0.16
L_HDL_FC_pct,0.439,0.522,0.045
L_HDL_FC_pct_C,0.005,0.011,-0.154
L_HDL_L,0.545,0.624,0.038
L_HDL_P,0.337,0.419,0.06
L_HDL_PL,0.918,0.938,0.006
L_HDL_PL_pct,0.0,0.0,-0.245
L_HDL_TG,0.363,0.446,-0.052
L_HDL_TG_pct,0.342,0.424,-0.054
L_LDL_C,0.009,0.019,0.143
L_LDL_CE,0.019,0.036,0.129
L_LDL_CE_pct,0.719,0.778,0.02
L_LDL_CE_pct_C,0.0,0.001,-0.205
L_LDL_C_pct,0.0,0.001,0.199
L_LDL_FC,0.001,0.003,0.18
L_LDL_FC_by_CE,0.0,0.001,0.207
L_LDL_FC_pct,0.0,0.0,0.237
L_LDL_FC_pct_C,0.0,0.001,0.211
L_LDL_L,0.015,0.029,0.134
L_LDL_P,0.009,0.019,0.143
L_LDL_PL,0.007,0.015,0.149
L_LDL_PL_pct,0.115,0.168,0.087
L_LDL_TG,0.123,0.178,-0.085
L_LDL_TG_pct,0.0,0.0,-0.233
L_VLDL_C,0.788,0.835,0.015
L_VLDL_CE,0.342,0.424,0.053
L_VLDL_CE_pct,0.0,0.001,0.21
L_VLDL_CE_pct_C,0.0,0.001,0.21
L_VLDL_C_pct,0.001,0.002,0.184
L_VLDL_FC,0.697,0.759,-0.022
L_VLDL_FC_by_CE,0.0,0.001,-0.212
L_VLDL_FC_pct,0.143,0.203,0.081
L_VLDL_FC_pct_C,0.001,0.002,-0.201
L_VLDL_L,0.439,0.522,-0.044
L_VLDL_P,0.452,0.534,-0.042
L_VLDL_PL,0.467,0.549,-0.041
L_VLDL_PL_pct,0.88,0.909,-0.008
L_VLDL_TG,0.173,0.239,-0.077
L_VLDL_TG_pct,0.019,0.036,-0.128
Lactate,0.08,0.123,0.098
Leu,0.198,0.268,-0.074
MUFA,0.096,0.143,-0.092
MUFA_pct,0.005,0.012,-0.158
M_HDL_C,0.416,0.499,-0.049
M_HDL_CE,0.428,0.511,-0.047
M_HDL_CE_pct,0.062,0.099,0.104
M_HDL_CE_pct_C,0.469,0.551,0.043
M_HDL_C_pct,0.065,0.104,0.105
M_HDL_FC,0.383,0.466,-0.053
M_HDL_FC_by_CE,0.47,0.552,-0.043
M_HDL_FC_pct,0.379,0.462,0.054
M_HDL_FC_pct_C,0.472,0.554,-0.042
M_HDL_L,0.131,0.188,-0.09
M_HDL_P,0.35,0.432,-0.056
M_HDL_PL,0.052,0.085,-0.115
M_HDL_PL_pct,0.008,0.018,-0.151
M_HDL_TG,0.027,0.049,-0.121
M_HDL_TG_pct,0.228,0.301,-0.068
M_LDL_C,0.035,0.061,0.115
M_LDL_CE,0.068,0.107,0.1
M_LDL_CE_pct,0.372,0.455,0.049
M_LDL_CE_pct_C,0.096,0.144,-0.093
M_LDL_C_pct,0.0,0.0,0.23
M_LDL_FC,0.006,0.013,0.15
M_LDL_FC_by_CE,0.093,0.14,0.094
M_LDL_FC_pct,0.009,0.02,0.146
M_LDL_FC_pct_C,0.084,0.129,0.097
M_LDL_L,0.063,0.101,0.101
M_LDL_P,0.013,0.025,0.136
M_LDL_PL,0.073,0.114,0.098
M_LDL_PL_pct,0.302,0.382,-0.057
M_LDL_TG,0.125,0.18,-0.085
M_LDL_TG_pct,0.0,0.0,-0.215
M_VLDL_C,0.001,0.003,0.182
M_VLDL_CE,0.0,0.0,0.224
M_VLDL_CE_pct,0.0,0.0,0.251
M_VLDL_CE_pct_C,0.0,0.0,0.27
M_VLDL_C_pct,0.0,0.0,0.249
M_VLDL_FC,0.019,0.035,0.129
M_VLDL_FC_by_CE,0.0,0.0,-0.219
M_VLDL_FC_pct,0.0,0.0,0.262
M_VLDL_FC_pct_C,0.0,0.0,-0.245
M_VLDL_L,0.368,0.45,0.05
M_VLDL_P,0.105,0.155,0.089
M_VLDL_PL,0.077,0.119,0.097
M_VLDL_PL_pct,0.0,0.0,0.243
M_VLDL_TG,0.334,0.415,-0.054
M_VLDL_TG_pct,0.0,0.0,-0.239
Omega_3,0.489,0.571,-0.039
Omega_3_pct,0.603,0.676,-0.03
Omega_3_pct_PUFA,0.146,0.206,-0.082
Omega_6,0.061,0.098,0.105
Omega_6_by_Omega_3,0.18,0.247,0.076
Omega_6_pct,0.0,0.0,0.219
Omega_6_pct_PUFA,0.128,0.184,0.086
PUFA,0.172,0.237,0.077
PUFA_by_MUFA,0.002,0.006,0.171
PUFA_pct,0.0,0.001,0.2
Phe,0.195,0.264,-0.071
Phosphatidylc,0.868,0.9,-0.01
Phosphoglyc,0.79,0.837,-0.016
Pyruvate,0.409,0.492,0.047
Remnant_C,0.013,0.025,0.137
SFA,0.205,0.275,-0.07
SFA_pct,0.01,0.02,-0.141
S_HDL_C,0.338,0.42,-0.053
S_HDL_CE,0.408,0.492,-0.045
S_HDL_CE_pct,0.026,0.048,0.122
S_HDL_CE_pct_C,0.677,0.742,0.024
S_HDL_C_pct,0.005,0.012,0.153
