met,PValue,adjPVal,logFC
Acetate,0.889,0.916,0.008
Acetoacetate,0.213,0.284,-0.071
Acetone,0.657,0.725,0.025
Ala,0.0,0.0,-0.241
Albumin,0.39,0.473,0.049
ApoA1,0.55,0.628,-0.037
ApoB,0.02,0.037,0.132
ApoB_by_ApoA1,0.03,0.053,0.126
Cholines,0.764,0.816,-0.018
Citrate,0.968,0.977,0.002
Clinical_LDL_C,0.001,0.003,0.186
Creatinine,0.735,0.792,0.022
DHA,0.536,0.615,-0.037
DHA_pct,0.418,0.501,0.047
Gln,0.007,0.016,0.153
Glucose,0.001,0.003,-0.188
Gly,0.0,0.002,0.209
GlycA,0.0,0.0,-0.237
HDL_C,0.199,0.268,0.082
HDL_CE,0.154,0.216,0.09
HDL_CE_pct,0.0,0.0,0.302
HDL_CE_pct_C,0.014,0.028,0.14
HDL_C_pct,0.0,0.0,0.321
HDL_FC,0.448,0.531,0.049
HDL_FC_by_CE,0.015,0.029,-0.14
HDL_FC_pct,0.0,0.001,0.226
HDL_FC_pct_C,0.015,0.03,-0.139
HDL_L,0.835,0.873,-0.013
HDL_P,0.622,0.694,-0.03
HDL_PL,0.293,0.372,-0.067
HDL_PL_pct,0.0,0.0,-0.393
HDL_TG,0.0,0.0,-0.226
HDL_TG_pct,0.0,0.001,-0.214
HDL_size,0.031,0.055,0.138
His,0.214,0.286,0.071
IDL_C,0.0,0.001,0.216
IDL_CE,0.0,0.001,0.207
IDL_CE_pct,0.0,0.0,0.227
IDL_CE_pct_C,0.054,0.087,-0.11
IDL_C_pct,0.0,0.0,0.302
IDL_FC,0.0,0.0,0.237
IDL_FC_by_CE,0.054,0.087,0.11
IDL_FC_pct,0.0,0.0,0.301
IDL_FC_pct_C,0.053,0.087,0.11
IDL_L,0.002,0.004,0.185
IDL_P,0.004,0.009,0.164
IDL_PL,0.001,0.003,0.189
IDL_PL_pct,0.543,0.621,-0.034
IDL_TG,0.002,0.006,-0.175
IDL_TG_pct,0.0,0.0,-0.357
Ile,0.068,0.107,-0.106
LA,0.268,0.346,0.063
LA_pct,0.0,0.0,0.364
LDL_C,0.009,0.018,0.149
LDL_CE,0.034,0.06,0.12
LDL_CE_pct,0.604,0.677,-0.029
LDL_CE_pct_C,0.0,0.0,-0.331
LDL_C_pct,0.0,0.0,0.33
LDL_FC,0.0,0.0,0.221
LDL_FC_by_CE,0.0,0.0,0.331
LDL_FC_pct,0.0,0.0,0.367
LDL_FC_pct_C,0.0,0.0,0.331
LDL_L,0.023,0.042,0.129
LDL_P,0.012,0.025,0.141
LDL_PL,0.011,0.023,0.144
LDL_PL_pct,0.085,0.13,0.099
LDL_TG,0.001,0.002,-0.192
LDL_TG_pct,0.0,0.0,-0.354
LDL_size,0.004,0.009,0.169
L_HDL_C,0.01,0.02,0.166
L_HDL_CE,0.006,0.013,0.177
L_HDL_CE_pct,0.0,0.0,0.334
L_HDL_CE_pct_C,0.0,0.0,0.239
L_HDL_C_pct,0.0,0.0,0.319
L_HDL_FC,0.048,0.08,0.128
L_HDL_FC_by_CE,0.0,0.0,-0.233
L_HDL_FC_pct,0.049,0.081,0.118
L_HDL_FC_pct_C,0.0,0.0,-0.226
L_HDL_L,0.091,0.137,0.109
L_HDL_P,0.03,0.053,0.141
L_HDL_PL,0.332,0.414,0.063
L_HDL_PL_pct,0.0,0.0,-0.402
L_HDL_TG,0.048,0.08,-0.117
L_HDL_TG_pct,0.003,0.007,-0.177
L_LDL_C,0.003,0.008,0.169
L_LDL_CE,0.012,0.024,0.143
L_LDL_CE_pct,0.842,0.879,-0.011
L_LDL_CE_pct_C,0.0,0.0,-0.363
L_LDL_C_pct,0.0,0.0,0.305
L_LDL_FC,0.0,0.0,0.234
L_LDL_FC_by_CE,0.0,0.0,0.364
L_LDL_FC_pct,0.0,0.0,0.4
L_LDL_FC_pct_C,0.0,0.0,0.366
L_LDL_L,0.008,0.018,0.151
L_LDL_P,0.005,0.012,0.157
L_LDL_PL,0.003,0.007,0.169
L_LDL_PL_pct,0.046,0.076,0.114
L_LDL_TG,0.002,0.005,-0.178
L_LDL_TG_pct,0.0,0.0,-0.352
L_VLDL_C,0.12,0.174,-0.09
L_VLDL_CE,0.582,0.657,-0.032
L_VLDL_CE_pct,0.0,0.0,0.319
L_VLDL_CE_pct_C,0.0,0.0,0.387
L_VLDL_C_pct,0.0,0.0,0.242
L_VLDL_FC,0.013,0.025,-0.146
L_VLDL_FC_by_CE,0.0,0.0,-0.387
