met,PValue,adjPVal,logFC
Acetate,0.075,0.116,-0.074
Acetoacetate,0.001,0.003,-0.138
Acetone,0.182,0.249,-0.056
Ala,0.052,0.085,-0.081
Albumin,0.085,0.129,0.072
ApoA1,0.014,0.028,0.112
ApoB,0.0,0.0,0.191
ApoB_by_ApoA1,0.007,0.015,0.114
Cholines,0.0,0.001,0.158
Citrate,0.528,0.608,-0.027
Clinical_LDL_C,0.0,0.0,0.236
Creatinine,0.041,0.069,-0.099
DHA,0.345,0.427,0.041
DHA_pct,0.459,0.541,0.032
Gln,0.04,0.068,0.086
Glucose,0.0,0.0,-0.233
Gly,0.0,0.002,0.153
GlycA,0.0,0.0,-0.182
HDL_C,0.0,0.0,0.195
HDL_CE,0.0,0.0,0.194
HDL_CE_pct,0.0,0.0,0.227
HDL_CE_pct_C,0.335,0.417,0.04
HDL_C_pct,0.0,0.0,0.26
HDL_FC,0.0,0.0,0.188
HDL_FC_by_CE,0.348,0.431,-0.039
HDL_FC_pct,0.0,0.0,0.268
HDL_FC_pct_C,0.379,0.462,-0.037
HDL_L,0.004,0.01,0.134
HDL_P,0.007,0.014,0.121
HDL_PL,0.053,0.087,0.09
HDL_PL_pct,0.0,0.0,-0.339
HDL_TG,0.006,0.014,-0.114
HDL_TG_pct,0.0,0.001,-0.165
HDL_size,0.0,0.0,0.18
His,0.41,0.494,0.034
IDL_C,0.0,0.0,0.27
IDL_CE,0.0,0.0,0.267
IDL_CE_pct,0.0,0.0,0.227
IDL_CE_pct_C,0.997,0.998,-0.0
IDL_C_pct,0.0,0.0,0.257
IDL_FC,0.0,0.0,0.272
IDL_FC_by_CE,0.982,0.987,0.001
IDL_FC_pct,0.0,0.0,0.184
IDL_FC_pct_C,0.929,0.947,0.004
IDL_L,0.0,0.0,0.251
IDL_P,0.0,0.0,0.21
IDL_PL,0.0,0.0,0.251
IDL_PL_pct,0.071,0.111,-0.075
IDL_TG,0.165,0.229,-0.058
IDL_TG_pct,0.0,0.0,-0.291
Ile,0.003,0.008,-0.125
LA,0.0,0.0,0.23
LA_pct,0.0,0.0,0.373
LDL_C,0.0,0.0,0.22
LDL_CE,0.0,0.0,0.2
LDL_CE_pct,0.029,0.052,0.09
LDL_CE_pct_C,0.0,0.0,-0.205
LDL_C_pct,0.0,0.0,0.321
LDL_FC,0.0,0.0,0.264
LDL_FC_by_CE,0.0,0.0,0.206
LDL_FC_pct,0.0,0.0,0.262
LDL_FC_pct_C,0.0,0.0,0.208
LDL_L,0.0,0.0,0.204
LDL_P,0.0,0.0,0.198
LDL_PL,0.0,0.0,0.206
