met,PValue,adjPVal,logFC
Acetate,0.33,0.412,-0.043
Acetoacetate,0.003,0.007,-0.133
Acetone,0.533,0.612,-0.028
Ala,0.572,0.648,-0.025
Albumin,0.695,0.757,0.017
ApoA1,0.416,0.499,0.04
ApoB,0.0,0.0,0.186
ApoB_by_ApoA1,0.002,0.005,0.139
Cholines,0.017,0.032,0.114
Citrate,0.885,0.913,-0.007
Clinical_LDL_C,0.0,0.0,0.215
Creatinine,0.203,0.273,-0.066
DHA,0.689,0.752,-0.019
DHA_pct,0.457,0.54,-0.034
Gln,0.168,0.232,0.061
Glucose,0.0,0.0,-0.239
Gly,0.047,0.078,0.093
GlycA,0.009,0.019,-0.117
HDL_C,0.058,0.094,0.094
HDL_CE,0.053,0.086,0.096
HDL_CE_pct,0.0,0.001,0.161
HDL_CE_pct_C,0.349,0.431,0.042
HDL_C_pct,0.0,0.0,0.181
HDL_FC,0.092,0.138,0.085
HDL_FC_by_CE,0.357,0.439,-0.041
HDL_FC_pct,0.0,0.001,0.171
HDL_FC_pct_C,0.375,0.457,-0.04
HDL_L,0.342,0.424,0.047
HDL_P,0.159,0.222,0.067
HDL_PL,0.734,0.79,0.017
HDL_PL_pct,0.0,0.0,-0.233
HDL_TG,0.034,0.059,-0.094
HDL_TG_pct,0.015,0.029,-0.112
HDL_size,0.228,0.301,0.06
His,0.253,0.329,0.051
IDL_C,0.0,0.0,0.229
IDL_CE,0.0,0.0,0.227
IDL_CE_pct,0.0,0.0,0.177
IDL_CE_pct_C,0.95,0.963,0.003
IDL_C_pct,0.0,0.0,0.199
IDL_FC,0.0,0.0,0.229
IDL_FC_by_CE,0.954,0.966,-0.003
IDL_FC_pct,0.002,0.004,0.139
IDL_FC_pct_C,0.97,0.978,-0.002
IDL_L,0.0,0.0,0.215
IDL_P,0.0,0.0,0.186
IDL_PL,0.0,0.0,0.218
IDL_PL_pct,0.346,0.428,-0.042
IDL_TG,0.404,0.487,-0.037
IDL_TG_pct,0.0,0.0,-0.233
Ile,0.015,0.029,-0.11
LA,0.0,0.0,0.206
LA_pct,0.0,0.0,0.313
LDL_C,0.0,0.0,0.2
LDL_CE,0.0,0.0,0.186
LDL_CE_pct,0.115,0.167,0.07
LDL_CE_pct_C,0.001,0.002,-0.154
LDL_C_pct,0.0,0.0,0.242
LDL_FC,0.0,0.0,0.232
LDL_FC_by_CE,0.001,0.002,0.155
LDL_FC_pct,0.0,0.0,0.197
LDL_FC_pct_C,0.001,0.002,0.157
LDL_L,0.0,0.0,0.189
LDL_P,0.0,0.0,0.189
LDL_PL,0.0,0.0,0.197
