met,PValue,adjPVal,logFC
Acetate,0.594,0.668,-0.021
Acetoacetate,0.152,0.213,-0.058
Acetone,0.795,0.841,0.01
Ala,0.142,0.201,-0.059
Albumin,0.597,0.671,-0.021
ApoA1,0.082,0.126,-0.077
ApoB,0.009,0.02,0.104
ApoB_by_ApoA1,0.002,0.004,0.128
Cholines,0.6,0.674,-0.023
Citrate,0.351,0.433,0.038
Clinical_LDL_C,0.005,0.011,0.114
Creatinine,0.979,0.985,0.001
DHA,0.327,0.409,-0.041
DHA_pct,0.78,0.829,-0.012
Gln,0.074,0.115,0.072
Glucose,0.0,0.0,-0.227
Gly,0.016,0.031,0.102
GlycA,0.008,0.016,-0.108
HDL_C,0.511,0.592,-0.03
HDL_CE,0.577,0.653,-0.025
HDL_CE_pct,0.011,0.022,0.104
HDL_CE_pct_C,0.151,0.212,0.058
HDL_C_pct,0.009,0.018,0.109
HDL_FC,0.336,0.418,-0.044
HDL_FC_by_CE,0.156,0.218,-0.057
HDL_FC_pct,0.107,0.158,0.07
HDL_FC_pct_C,0.169,0.234,-0.056
HDL_L,0.112,0.164,-0.071
HDL_P,0.183,0.25,-0.057
HDL_PL,0.034,0.058,-0.095
HDL_PL_pct,0.0,0.0,-0.164
HDL_TG,0.031,0.054,-0.087
HDL_TG_pct,0.293,0.372,-0.044
HDL_size,0.832,0.871,-0.01
His,0.999,0.999,0.0
IDL_C,0.01,0.02,0.107
IDL_CE,0.013,0.025,0.103
IDL_CE_pct,0.034,0.06,0.086
IDL_CE_pct_C,0.23,0.304,-0.048
IDL_C_pct,0.004,0.01,0.116
IDL_FC,0.006,0.012,0.114
IDL_FC_by_CE,0.229,0.303,0.048
IDL_FC_pct,0.003,0.007,0.119
IDL_FC_pct_C,0.226,0.299,0.049
IDL_L,0.02,0.037,0.096
IDL_P,0.011,0.023,0.102
IDL_PL,0.012,0.023,0.104
IDL_PL_pct,0.641,0.71,0.019
IDL_TG,0.11,0.162,-0.065
IDL_TG_pct,0.0,0.001,-0.153
Ile,0.048,0.079,-0.081
LA,0.03,0.053,0.088
LA_pct,0.0,0.0,0.223
LDL_C,0.014,0.027,0.099
LDL_CE,0.027,0.049,0.088
LDL_CE_pct,0.408,0.492,0.033
LDL_CE_pct_C,0.005,0.012,-0.114
LDL_C_pct,0.0,0.0,0.159
LDL_FC,0.002,0.006,0.123
LDL_FC_by_CE,0.005,0.012,0.115
LDL_FC_pct,0.001,0.002,0.14
LDL_FC_pct_C,0.005,0.011,0.116
LDL_L,0.025,0.045,0.09
