met,PValue,adjPVal,logFC
Acetate,0.718,0.777,-0.015
Acetoacetate,0.001,0.002,-0.142
Acetone,0.417,0.5,-0.034
Ala,0.0,0.0,-0.184
Albumin,0.004,0.009,0.121
ApoA1,0.264,0.341,0.052
ApoB,0.0,0.0,0.197
ApoB_by_ApoA1,0.001,0.003,0.14
Cholines,0.022,0.041,0.103
Citrate,0.655,0.723,-0.019
Clinical_LDL_C,0.0,0.0,0.246
Creatinine,0.075,0.116,-0.087
DHA,0.747,0.801,0.014
DHA_pct,0.34,0.422,0.041
Gln,0.0,0.0,0.175
Glucose,0.0,0.0,-0.253
Gly,0.0,0.0,0.208
GlycA,0.0,0.0,-0.249
HDL_C,0.0,0.002,0.164
HDL_CE,0.0,0.001,0.166
HDL_CE_pct,0.0,0.0,0.277
HDL_CE_pct_C,0.082,0.126,0.073
HDL_C_pct,0.0,0.0,0.31
HDL_FC,0.002,0.005,0.149
HDL_FC_by_CE,0.086,0.131,-0.073
HDL_FC_pct,0.0,0.0,0.288
HDL_FC_pct_C,0.094,0.141,-0.071
HDL_L,0.082,0.125,0.082
HDL_P,0.212,0.283,0.056
HDL_PL,0.532,0.611,0.029
HDL_PL_pct,0.0,0.0,-0.395
HDL_TG,0.0,0.0,-0.18
HDL_TG_pct,0.0,0.0,-0.208
HDL_size,0.0,0.0,0.193
His,0.066,0.104,0.077
IDL_C,0.0,0.0,0.282
IDL_CE,0.0,0.0,0.278
IDL_CE_pct,0.0,0.0,0.263
IDL_CE_pct_C,0.705,0.766,-0.016
IDL_C_pct,0.0,0.0,0.305
IDL_FC,0.0,0.0,0.286
IDL_FC_by_CE,0.696,0.758,0.016
IDL_FC_pct,0.0,0.0,0.23
IDL_FC_pct_C,0.661,0.728,0.018
IDL_L,0.0,0.0,0.256
IDL_P,0.0,0.0,0.223
IDL_PL,0.0,0.0,0.259
IDL_PL_pct,0.13,0.186,-0.063
IDL_TG,0.005,0.011,-0.119
IDL_TG_pct,0.0,0.0,-0.358
Ile,0.0,0.001,-0.149
LA,0.0,0.0,0.199
LA_pct,0.0,0.0,0.415
LDL_C,0.0,0.0,0.219
LDL_CE,0.0,0.0,0.195
LDL_CE_pct,0.12,0.174,0.065
LDL_CE_pct_C,0.0,0.0,-0.266
LDL_C_pct,0.0,0.0,0.36
LDL_FC,0.0,0.0,0.278
LDL_FC_by_CE,0.0,0.0,0.266
LDL_FC_pct,0.0,0.0,0.322
LDL_FC_pct_C,0.0,0.0,0.268
LDL_L,0.0,0.0,0.2
LDL_P,0.0,0.0,0.208
LDL_PL,0.0,0.0,0.208
LDL_PL_pct,0.849,0.884,0.008
LDL_TG,0.003,0.007,-0.125
LDL_TG_pct,0.0,0.0,-0.348
LDL_size,0.0,0.0,0.181
L_HDL_C,0.0,0.0,0.234
L_HDL_CE,0.0,0.0,0.241
L_HDL_CE_pct,0.0,0.0,0.31
L_HDL_CE_pct_C,0.0,0.0,0.198
L_HDL_C_pct,0.0,0.0,0.304
L_HDL_FC,0.0,0.0,0.206
L_HDL_FC_by_CE,0.0,0.0,-0.193
L_HDL_FC_pct,0.001,0.002,0.148
L_HDL_FC_pct_C,0.0,0.0,-0.183
L_HDL_L,0.0,0.0,0.187
L_HDL_P,0.0,0.0,0.219
L_HDL_PL,0.003,0.007,0.143
L_HDL_PL_pct,0.0,0.0,-0.387
L_HDL_TG,0.237,0.311,-0.052
L_HDL_TG_pct,0.0,0.0,-0.176
L_LDL_C,0.0,0.0,0.243
L_LDL_CE,0.0,0.0,0.223
L_LDL_CE_pct,0.014,0.028,0.102
L_LDL_CE_pct_C,0.0,0.0,-0.282
L_LDL_C_pct,0.0,0.0,0.351
L_LDL_FC,0.0,0.0,0.291
L_LDL_FC_by_CE,0.0,0.0,0.283
L_LDL_FC_pct,0.0,0.0,0.35
L_LDL_FC_pct_C,0.0,0.0,0.286
L_LDL_L,0.0,0.0,0.224
L_LDL_P,0.0,0.0,0.226
L_LDL_PL,0.0,0.0,0.23
L_LDL_PL_pct,0.725,0.783,0.015
L_LDL_TG,0.006,0.013,-0.116
L_LDL_TG_pct,0.0,0.0,-0.355
L_VLDL_C,0.376,0.459,-0.038
L_VLDL_CE,0.66,0.727,0.019
L_VLDL_CE_pct,0.0,0.0,0.293
L_VLDL_CE_pct_C,0.0,0.0,0.364
L_VLDL_C_pct,0.0,0.0,0.216
L_VLDL_FC,0.03,0.054,-0.094
L_VLDL_FC_by_CE,0.0,0.0,-0.363
L_VLDL_FC_pct,0.892,0.918,-0.006
L_VLDL_FC_pct_C,0.0,0.0,-0.358
L_VLDL_L,0.019,0.035,-0.102
L_VLDL_P,0.011,0.022,-0.11
L_VLDL_PL,0.008,0.016,-0.116
L_VLDL_PL_pct,0.062,0.099,-0.08
L_VLDL_TG,0.003,0.008,-0.127
L_VLDL_TG_pct,0.037,0.063,-0.087
Lactate,0.055,0.089,-0.082
Leu,0.027,0.048,-0.097
MUFA,0.001,0.002,-0.146
MUFA_pct,0.0,0.0,-0.267
M_HDL_C,0.346,0.428,0.043
M_HDL_CE,0.358,0.441,0.042
M_HDL_CE_pct,0.0,0.0,0.221
M_HDL_CE_pct_C,0.474,0.556,-0.032
M_HDL_C_pct,0.0,0.0,0.248
M_HDL_FC,0.308,0.388,0.047
M_HDL_FC_by_CE,0.467,0.55,0.033
M_HDL_FC_pct,0.0,0.0,0.237
M_HDL_FC_pct_C,0.459,0.542,0.033
M_HDL_L,0.526,0.606,-0.029
M_HDL_P,0.768,0.819,0.013
M_HDL_PL,0.109,0.16,-0.073
M_HDL_PL_pct,0.0,0.0,-0.314
M_HDL_TG,0.0,0.0,-0.204
M_HDL_TG_pct,0.0,0.0,-0.191
M_LDL_C,0.0,0.0,0.165
M_LDL_CE,0.001,0.004,0.133
M_LDL_CE_pct,0.544,0.622,-0.026
M_LDL_CE_pct_C,0.0,0.0,-0.215
M_LDL_C_pct,0.0,0.0,0.285
M_LDL_FC,0.0,0.0,0.24
M_LDL_FC_by_CE,0.0,0.0,0.215
M_LDL_FC_pct,0.0,0.0,0.273
M_LDL_FC_pct_C,0.0,0.0,0.216
M_LDL_L,0.0,0.001,0.149
M_LDL_P,0.0,0.001,0.16
M_LDL_PL,0.0,0.001,0.155
