met,PValue,adjPVal,logFC
Acetate,0.045,0.075,-0.086
Acetoacetate,0.001,0.002,-0.145
Acetone,0.181,0.248,-0.058
Ala,0.023,0.042,-0.099
Albumin,0.109,0.16,0.069
ApoA1,0.915,0.936,-0.005
ApoB,0.0,0.0,0.23
ApoB_by_ApoA1,0.0,0.0,0.199
Cholines,0.047,0.078,0.092
Citrate,0.676,0.741,0.019
Clinical_LDL_C,0.0,0.0,0.264
Creatinine,0.1,0.149,-0.083
DHA,0.341,0.423,-0.043
DHA_pct,0.281,0.359,-0.048
Gln,0.012,0.024,0.109
Glucose,0.0,0.0,-0.265
Gly,0.001,0.002,0.153
GlycA,0.001,0.003,-0.143
HDL_C,0.176,0.242,0.065
HDL_CE,0.151,0.212,0.069
HDL_CE_pct,0.0,0.0,0.198
HDL_CE_pct_C,0.121,0.176,0.067
HDL_C_pct,0.0,0.0,0.218
HDL_FC,0.309,0.39,0.05
HDL_FC_by_CE,0.125,0.181,-0.067
HDL_FC_pct,0.0,0.0,0.186
HDL_FC_pct_C,0.135,0.193,-0.065
HDL_L,0.99,0.992,0.001
HDL_P,0.514,0.594,0.03
HDL_PL,0.387,0.47,-0.042
HDL_PL_pct,0.0,0.0,-0.311
HDL_TG,0.003,0.008,-0.128
HDL_TG_pct,0.008,0.018,-0.118
HDL_size,0.348,0.43,0.046
His,0.119,0.173,0.068
IDL_C,0.0,0.0,0.263
IDL_CE,0.0,0.0,0.26
IDL_CE_pct,0.0,0.0,0.217
IDL_CE_pct_C,0.953,0.965,0.003
IDL_C_pct,0.0,0.0,0.246
IDL_FC,0.0,0.0,0.264
IDL_FC_by_CE,0.959,0.97,-0.002
IDL_FC_pct,0.0,0.0,0.174
IDL_FC_pct_C,0.988,0.991,-0.001
IDL_L,0.0,0.0,0.244
IDL_P,0.0,0.0,0.226
IDL_PL,0.0,0.0,0.247
IDL_PL_pct,0.169,0.234,-0.059
IDL_TG,0.143,0.202,-0.064
IDL_TG_pct,0.0,0.0,-0.286
Ile,0.007,0.015,-0.119
LA,0.0,0.0,0.236
LA_pct,0.0,0.0,0.378
LDL_C,0.0,0.0,0.246
LDL_CE,0.0,0.0,0.229
LDL_CE_pct,0.01,0.021,0.11
LDL_CE_pct_C,0.0,0.0,-0.178
LDL_C_pct,0.0,0.0,0.312
LDL_FC,0.0,0.0,0.283
LDL_FC_by_CE,0.0,0.0,0.178
LDL_FC_pct,0.0,0.0,0.236
LDL_FC_pct_C,0.0,0.0,0.18
LDL_L,0.0,0.0,0.232
LDL_P,0.0,0.0,0.242
LDL_PL,0.0,0.0,0.24
LDL_PL_pct,0.988,0.991,-0.001
LDL_TG,0.195,0.263,-0.056
LDL_TG_pct,0.0,0.0,-0.299
LDL_size,0.0,0.001,0.156
L_HDL_C,0.054,0.088,0.094
L_HDL_CE,0.038,0.065,0.101
L_HDL_CE_pct,0.0,0.0,0.211
L_HDL_CE_pct_C,0.0,0.001,0.152
L_HDL_C_pct,0.0,0.0,0.202
L_HDL_FC,0.159,0.221,0.069
L_HDL_FC_by_CE,0.001,0.002,-0.145
L_HDL_FC_pct,0.076,0.118,0.081
L_HDL_FC_pct_C,0.002,0.004,-0.136
L_HDL_L,0.28,0.358,0.053
L_HDL_P,0.083,0.127,0.085
L_HDL_PL,0.726,0.783,0.017
L_HDL_PL_pct,0.0,0.0,-0.283
L_HDL_TG,0.075,0.116,-0.08
L_HDL_TG_pct,0.039,0.066,-0.093
L_LDL_C,0.0,0.0,0.257
L_LDL_CE,0.0,0.0,0.244
L_LDL_CE_pct,0.002,0.004,0.136
L_LDL_CE_pct_C,0.0,0.0,-0.187
L_LDL_C_pct,0.0,0.0,0.303
L_LDL_FC,0.0,0.0,0.286
L_LDL_FC_by_CE,0.0,0.0,0.188
L_LDL_FC_pct,0.0,0.0,0.255
L_LDL_FC_pct_C,0.0,0.0,0.19
L_LDL_L,0.0,0.0,0.243
L_LDL_P,0.0,0.0,0.255
L_LDL_PL,0.0,0.0,0.249
L_LDL_PL_pct,0.879,0.908,0.007
L_LDL_TG,0.211,0.282,-0.054
L_LDL_TG_pct,0.0,0.0,-0.304
L_VLDL_C,0.239,0.313,0.052
L_VLDL_CE,0.027,0.048,0.097
L_VLDL_CE_pct,0.0,0.0,0.217
L_VLDL_CE_pct_C,0.0,0.0,0.255
L_VLDL_C_pct,0.0,0.0,0.171
L_VLDL_FC,0.881,0.91,0.007
L_VLDL_FC_by_CE,0.0,0.0,-0.256
