met,PValue,adjPVal,logFC
Acetate,0.394,0.478,-0.031
Acetoacetate,0.197,0.266,-0.047
Acetone,0.673,0.738,-0.015
Ala,0.102,0.151,-0.06
Albumin,0.265,0.342,-0.041
ApoA1,0.166,0.23,-0.055
ApoB,0.007,0.014,0.098
ApoB_by_ApoA1,0.002,0.006,0.113
Cholines,0.93,0.947,-0.003
Citrate,0.834,0.873,0.008
Clinical_LDL_C,0.003,0.008,0.106
Creatinine,0.637,0.707,-0.02
DHA,0.191,0.259,-0.05
DHA_pct,0.386,0.47,-0.032
Gln,0.105,0.155,0.059
Glucose,0.0,0.0,-0.237
Gly,0.043,0.072,0.078
GlycA,0.002,0.005,-0.113
HDL_C,0.794,0.84,-0.011
HDL_CE,0.85,0.885,-0.008
HDL_CE_pct,0.008,0.017,0.098
HDL_CE_pct_C,0.223,0.296,0.045
HDL_C_pct,0.005,0.011,0.105
HDL_FC,0.627,0.698,-0.02
HDL_FC_by_CE,0.229,0.303,-0.044
HDL_FC_pct,0.044,0.074,0.079
HDL_FC_pct_C,0.244,0.319,-0.043
HDL_L,0.244,0.319,-0.047
HDL_P,0.302,0.382,-0.04
HDL_PL,0.086,0.131,-0.07
HDL_PL_pct,0.0,0.0,-0.157
HDL_TG,0.052,0.085,-0.071
HDL_TG_pct,0.242,0.317,-0.044
HDL_size,0.786,0.834,0.011
His,0.687,0.75,-0.015
IDL_C,0.005,0.011,0.106
IDL_CE,0.005,0.012,0.104
IDL_CE_pct,0.006,0.013,0.102
IDL_CE_pct_C,0.601,0.674,-0.019
IDL_C_pct,0.001,0.003,0.122
IDL_FC,0.004,0.008,0.109
IDL_FC_by_CE,0.599,0.672,0.019
IDL_FC_pct,0.005,0.012,0.101
IDL_FC_pct_C,0.59,0.664,0.02
IDL_L,0.011,0.022,0.096
IDL_P,0.009,0.019,0.095
IDL_PL,0.008,0.016,0.1
IDL_PL_pct,0.838,0.875,-0.007
IDL_TG,0.142,0.201,-0.054
IDL_TG_pct,0.0,0.0,-0.147
Ile,0.045,0.074,-0.074
LA,0.004,0.01,0.105
LA_pct,0.0,0.0,0.222
LDL_C,0.01,0.021,0.093
LDL_CE,0.02,0.038,0.084
LDL_CE_pct,0.343,0.425,0.034
LDL_CE_pct_C,0.005,0.011,-0.105
LDL_C_pct,0.0,0.0,0.151
LDL_FC,0.002,0.004,0.115
LDL_FC_by_CE,0.005,0.01,0.105
LDL_FC_pct,0.0,0.002,0.13
LDL_FC_pct_C,0.004,0.01,0.107
LDL_L,0.018,0.035,0.086
LDL_P,0.006,0.013,0.1
LDL_PL,0.011,0.023,0.092
LDL_PL_pct,0.459,0.542,0.027
LDL_TG,0.126,0.181,-0.056
LDL_TG_pct,0.0,0.0,-0.153
LDL_size,0.126,0.182,0.057
L_HDL_C,0.433,0.516,0.032
L_HDL_CE,0.368,0.451,0.037
L_HDL_CE_pct,0.0,0.0,0.144
L_HDL_CE_pct_C,0.004,0.01,0.104
L_HDL_C_pct,0.0,0.001,0.138
L_HDL_FC,0.694,0.756,0.016
L_HDL_FC_by_CE,0.007,0.015,-0.098
L_HDL_FC_pct,0.142,0.201,0.056
L_HDL_FC_pct_C,0.013,0.026,-0.09
L_HDL_L,0.913,0.935,0.005
L_HDL_P,0.585,0.66,0.023
L_HDL_PL,0.665,0.732,-0.018
L_HDL_PL_pct,0.0,0.0,-0.178
L_HDL_TG,0.217,0.288,-0.047
L_HDL_TG_pct,0.221,0.294,-0.046
L_LDL_C,0.008,0.017,0.097
L_LDL_CE,0.015,0.029,0.089
L_LDL_CE_pct,0.275,0.353,0.039
L_LDL_CE_pct_C,0.001,0.003,-0.121
L_LDL_C_pct,0.0,0.0,0.145
L_LDL_FC,0.002,0.004,0.116
L_LDL_FC_by_CE,0.001,0.003,0.121
L_LDL_FC_pct,0.0,0.0,0.147
L_LDL_FC_pct_C,0.001,0.003,0.122
L_LDL_L,0.014,0.028,0.089
L_LDL_P,0.004,0.009,0.105
L_LDL_PL,0.009,0.018,0.096
L_LDL_PL_pct,0.375,0.458,0.032
L_LDL_TG,0.111,0.163,-0.058
L_LDL_TG_pct,0.0,0.0,-0.157
L_VLDL_C,0.506,0.587,0.025
L_VLDL_CE,0.201,0.271,0.047
L_VLDL_CE_pct,0.007,0.015,0.101
L_VLDL_CE_pct_C,0.002,0.005,0.12
L_VLDL_C_pct,0.03,0.053,0.079
L_VLDL_FC,0.951,0.964,0.002
L_VLDL_FC_by_CE,0.002,0.005,-0.12
L_VLDL_FC_pct,0.741,0.796,0.012
L_VLDL_FC_pct_C,0.002,0.006,-0.118
L_VLDL_L,0.982,0.987,-0.001
L_VLDL_P,0.844,0.881,-0.007
L_VLDL_PL,0.923,0.942,-0.004
L_VLDL_PL_pct,0.897,0.922,0.005
L_VLDL_TG,0.713,0.773,-0.014
L_VLDL_TG_pct,0.125,0.18,-0.056
Lactate,0.328,0.409,0.036
Leu,0.108,0.159,-0.061
MUFA,0.152,0.213,-0.052
MUFA_pct,0.047,0.078,-0.075
M_HDL_C,0.13,0.186,-0.06
M_HDL_CE,0.135,0.192,-0.059
M_HDL_CE_pct,0.059,0.095,0.07
M_HDL_CE_pct_C,0.252,0.328,0.045
M_HDL_C_pct,0.077,0.119,0.067
M_HDL_FC,0.12,0.174,-0.063
M_HDL_FC_by_CE,0.249,0.325,-0.045
M_HDL_FC_pct,0.64,0.71,0.019
M_HDL_FC_pct_C,0.248,0.324,-0.045
M_HDL_L,0.025,0.046,-0.088
M_HDL_P,0.077,0.12,-0.07
M_HDL_PL,0.008,0.016,-0.105
M_HDL_PL_pct,0.011,0.022,-0.097
M_HDL_TG,0.025,0.045,-0.082
M_HDL_TG_pct,0.336,0.418,-0.036
M_LDL_C,0.027,0.048,0.08
M_LDL_CE,0.058,0.093,0.069
M_LDL_CE_pct,0.791,0.837,0.01
M_LDL_CE_pct_C,0.047,0.078,-0.074
M_LDL_C_pct,0.0,0.001,0.129
M_LDL_FC,0.003,0.008,0.106
M_LDL_FC_by_CE,0.046,0.077,0.074
M_LDL_FC_pct,0.006,0.014,0.101
M_LDL_FC_pct_C,0.043,0.073,0.075
M_LDL_L,0.044,0.074,0.073
M_LDL_P,0.029,0.051,0.079
M_LDL_PL,0.036,0.061,0.076
M_LDL_PL_pct,0.825,0.865,0.008
M_LDL_TG,0.143,0.202,-0.054
M_LDL_TG_pct,0.0,0.0,-0.145
M_VLDL_C,0.0,0.002,0.126
M_VLDL_CE,0.0,0.0,0.15
M_VLDL_CE_pct,0.0,0.0,0.147
M_VLDL_CE_pct_C,0.0,0.0,0.17
M_VLDL_C_pct,0.0,0.001,0.141
M_VLDL_FC,0.009,0.019,0.094
M_VLDL_FC_by_CE,0.0,0.0,-0.146
M_VLDL_FC_pct,0.0,0.001,0.137
M_VLDL_FC_pct_C,0.0,0.0,-0.156
M_VLDL_L,0.121,0.176,0.057
M_VLDL_P,0.046,0.077,0.072
M_VLDL_PL,0.029,0.052,0.079
M_VLDL_PL_pct,0.0,0.001,0.137
M_VLDL_TG,0.991,0.993,-0.0
M_VLDL_TG_pct,0.001,0.002,-0.129
Omega_3,0.04,0.068,-0.078
Omega_3_pct,0.057,0.092,-0.072
Omega_3_pct_PUFA,0.004,0.009,-0.108
Omega_6,0.07,0.11,0.067
Omega_6_by_Omega_3,0.007,0.016,0.1
Omega_6_pct,0.0,0.0,0.16
Omega_6_pct_PUFA,0.003,0.008,0.111
PUFA,0.35,0.433,0.035
PUFA_by_MUFA,0.012,0.025,0.094
PUFA_pct,0.001,0.002,0.125
Phe,0.106,0.157,-0.059
Phosphatidylc,0.806,0.85,-0.01
Phosphoglyc,0.428,0.511,-0.031
Pyruvate,0.775,0.825,0.011
Remnant_C,0.013,0.025,0.091
SFA,0.109,0.16,-0.059
SFA_pct,0.001,0.002,-0.122
S_HDL_C,0.205,0.275,-0.046
