met,PValue,adjPVal,logFC
Acetate,0.852,0.887,0.011
Acetoacetate,0.403,0.486,-0.048
Acetone,0.954,0.966,0.003
Ala,0.003,0.006,-0.174
Albumin,0.859,0.893,-0.01
ApoA1,0.848,0.883,-0.012
ApoB,0.017,0.033,0.137
ApoB_by_ApoA1,0.041,0.069,0.12
Cholines,0.813,0.855,0.015
Citrate,0.689,0.752,-0.024
Clinical_LDL_C,0.001,0.003,0.186
Creatinine,0.656,0.723,0.03
DHA,0.219,0.291,-0.074
DHA_pct,0.723,0.781,-0.021
Gln,0.203,0.273,0.073
Glucose,0.018,0.034,-0.137
Gly,0.013,0.026,0.151
GlycA,0.006,0.014,-0.158
HDL_C,0.204,0.274,0.082
HDL_CE,0.177,0.242,0.087
HDL_CE_pct,0.0,0.0,0.243
HDL_CE_pct_C,0.113,0.166,0.092
HDL_C_pct,0.0,0.0,0.265
HDL_FC,0.344,0.426,0.062
HDL_FC_by_CE,0.114,0.167,-0.092
HDL_FC_pct,0.001,0.002,0.211
HDL_FC_pct_C,0.116,0.169,-0.091
HDL_L,0.917,0.938,0.007
HDL_P,0.997,0.998,-0.0
HDL_PL,0.557,0.635,-0.038
HDL_PL_pct,0.0,0.0,-0.332
HDL_TG,0.004,0.009,-0.167
HDL_TG_pct,0.005,0.011,-0.169
HDL_size,0.079,0.122,0.114
His,0.591,0.666,0.031
IDL_C,0.0,0.001,0.215
IDL_CE,0.0,0.001,0.207
IDL_CE_pct,0.001,0.002,0.199
IDL_CE_pct_C,0.086,0.131,-0.099
IDL_C_pct,0.0,0.0,0.266
IDL_FC,0.0,0.0,0.232
IDL_FC_by_CE,0.086,0.131,0.099
IDL_FC_pct,0.0,0.0,0.266
IDL_FC_pct_C,0.086,0.131,0.099
IDL_L,0.001,0.004,0.19
IDL_P,0.004,0.009,0.167
IDL_PL,0.001,0.004,0.19
IDL_PL_pct,0.278,0.356,-0.062
IDL_TG,0.043,0.072,-0.117
IDL_TG_pct,0.0,0.0,-0.302
Ile,0.051,0.084,-0.114
LA,0.124,0.18,0.089
LA_pct,0.0,0.0,0.31
LDL_C,0.007,0.015,0.155
LDL_CE,0.022,0.041,0.131
LDL_CE_pct,0.543,0.622,-0.035
LDL_CE_pct_C,0.0,0.0,-0.279
LDL_C_pct,0.0,0.0,0.267
LDL_FC,0.0,0.001,0.215
LDL_FC_by_CE,0.0,0.0,0.278
LDL_FC_pct,0.0,0.0,0.305
LDL_FC_pct_C,0.0,0.0,0.278
LDL_L,0.014,0.028,0.141
LDL_P,0.012,0.024,0.144
LDL_PL,0.007,0.016,0.154
LDL_PL_pct,0.14,0.199,0.086
LDL_TG,0.03,0.053,-0.126
LDL_TG_pct,0.0,0.0,-0.29
LDL_size,0.03,0.054,0.128
L_HDL_C,0.024,0.044,0.147
L_HDL_CE,0.018,0.034,0.154
L_HDL_CE_pct,0.0,0.0,0.283
L_HDL_CE_pct_C,0.002,0.005,0.18
L_HDL_C_pct,0.0,0.0,0.277
L_HDL_FC,0.069,0.108,0.12
L_HDL_FC_by_CE,0.002,0.005,-0.177
L_HDL_FC_pct,0.033,0.058,0.129
L_HDL_FC_pct_C,0.003,0.007,-0.171
L_HDL_L,0.125,0.18,0.101
L_HDL_P,0.05,0.083,0.128
L_HDL_PL,0.342,0.424,0.062
L_HDL_PL_pct,0.0,0.0,-0.349
L_HDL_TG,0.2,0.27,-0.077
L_HDL_TG_pct,0.015,0.029,-0.146
L_LDL_C,0.003,0.007,0.172
L_LDL_CE,0.009,0.019,0.15
L_LDL_CE_pct,0.661,0.728,-0.025
L_LDL_CE_pct_C,0.0,0.0,-0.313
L_LDL_C_pct,0.0,0.0,0.247
L_LDL_FC,0.0,0.0,0.226
L_LDL_FC_by_CE,0.0,0.0,0.313
L_LDL_FC_pct,0.0,0.0,0.339
L_LDL_FC_pct_C,0.0,0.0,0.315
L_LDL_L,0.006,0.013,0.159
L_LDL_P,0.007,0.015,0.155
L_LDL_PL,0.002,0.006,0.175
L_LDL_PL_pct,0.09,0.136,0.098
L_LDL_TG,0.051,0.084,-0.113
L_LDL_TG_pct,0.0,0.0,-0.289
L_VLDL_C,0.264,0.341,-0.066
L_VLDL_CE,0.726,0.783,-0.02
L_VLDL_CE_pct,0.0,0.0,0.238
L_VLDL_CE_pct_C,0.0,0.0,0.297
L_VLDL_C_pct,0.002,0.006,0.176
L_VLDL_FC,0.066,0.105,-0.109
L_VLDL_FC_by_CE,0.0,0.0,-0.296
L_VLDL_FC_pct,0.98,0.986,-0.001
L_VLDL_FC_pct_C,0.0,0.0,-0.289
L_VLDL_L,0.043,0.073,-0.12
L_VLDL_P,0.035,0.06,-0.125
L_VLDL_PL,0.041,0.069,-0.121
L_VLDL_PL_pct,0.437,0.52,-0.045
L_VLDL_TG,0.015,0.029,-0.145
L_VLDL_TG_pct,0.118,0.171,-0.09
Lactate,0.001,0.003,-0.193
Leu,0.085,0.129,-0.103
MUFA,0.007,0.015,-0.156
MUFA_pct,0.0,0.001,-0.22
M_HDL_C,0.851,0.886,-0.012
M_HDL_CE,0.877,0.907,-0.01
M_HDL_CE_pct,0.0,0.002,0.204
M_HDL_CE_pct_C,0.432,0.515,0.048
M_HDL_C_pct,0.0,0.001,0.211
M_HDL_FC,0.749,0.803,-0.02
M_HDL_FC_by_CE,0.43,0.513,-0.049
M_HDL_FC_pct,0.037,0.063,0.136
M_HDL_FC_pct_C,0.427,0.511,-0.049
M_HDL_L,0.217,0.289,-0.077
M_HDL_P,0.521,0.601,-0.04
M_HDL_PL,0.064,0.102,-0.115
M_HDL_PL_pct,0.0,0.0,-0.262
M_HDL_TG,0.001,0.004,-0.184
M_HDL_TG_pct,0.009,0.019,-0.155
M_LDL_C,0.041,0.069,0.117
M_LDL_CE,0.115,0.168,0.091
M_LDL_CE_pct,0.47,0.552,-0.042
M_LDL_CE_pct_C,0.001,0.002,-0.203
M_LDL_C_pct,0.0,0.0,0.235
M_LDL_FC,0.001,0.004,0.183
M_LDL_FC_by_CE,0.001,0.002,0.203
M_LDL_FC_pct,0.0,0.0,0.247
M_LDL_FC_pct_C,0.001,0.002,0.201
M_LDL_L,0.073,0.114,0.103
M_LDL_P,0.034,0.059,0.122
M_LDL_PL,0.059,0.095,0.108
M_LDL_PL_pct,0.643,0.712,0.027
M_LDL_TG,0.02,0.037,-0.135
M_LDL_TG_pct,0.0,0.0,-0.275
M_VLDL_C,0.002,0.006,0.174
M_VLDL_CE,0.0,0.0,0.229
