met,PValue,adjPVal,logFC
Acetate,0.16,0.223,-0.062
Acetoacetate,0.006,0.013,-0.122
Acetone,0.278,0.356,-0.048
Ala,0.01,0.02,-0.115
Albumin,0.138,0.196,0.066
ApoA1,0.424,0.507,0.039
ApoB,0.0,0.0,0.215
ApoB_by_ApoA1,0.0,0.001,0.167
Cholines,0.013,0.026,0.118
Citrate,0.481,0.563,-0.032
Clinical_LDL_C,0.0,0.0,0.256
Creatinine,0.04,0.068,-0.106
DHA,0.84,0.877,0.009
DHA_pct,0.978,0.984,0.001
Gln,0.055,0.089,0.085
Glucose,0.0,0.0,-0.233
Gly,0.002,0.004,0.148
GlycA,0.0,0.0,-0.174
HDL_C,0.016,0.03,0.12
HDL_CE,0.013,0.027,0.122
HDL_CE_pct,0.0,0.0,0.216
HDL_CE_pct_C,0.207,0.277,0.056
HDL_C_pct,0.0,0.0,0.243
HDL_FC,0.032,0.055,0.108
HDL_FC_by_CE,0.214,0.285,-0.056
HDL_FC_pct,0.0,0.0,0.229
HDL_FC_pct_C,0.23,0.304,-0.054
HDL_L,0.284,0.363,0.053
HDL_P,0.173,0.239,0.065
HDL_PL,0.842,0.879,0.01
HDL_PL_pct,0.0,0.0,-0.32
HDL_TG,0.002,0.005,-0.138
HDL_TG_pct,0.001,0.003,-0.15
HDL_size,0.036,0.062,0.105
His,0.16,0.223,0.062
IDL_C,0.0,0.0,0.272
IDL_CE,0.0,0.0,0.269
IDL_CE_pct,0.0,0.0,0.224
IDL_CE_pct_C,0.784,0.832,-0.012
IDL_C_pct,0.0,0.0,0.258
IDL_FC,0.0,0.0,0.276
IDL_FC_by_CE,0.77,0.82,0.013
IDL_FC_pct,0.0,0.0,0.195
IDL_FC_pct_C,0.718,0.777,0.016
IDL_L,0.0,0.0,0.252
IDL_P,0.0,0.0,0.231
IDL_PL,0.0,0.0,0.252
IDL_PL_pct,0.104,0.154,-0.072
IDL_TG,0.116,0.17,-0.07
IDL_TG_pct,0.0,0.0,-0.297
Ile,0.003,0.007,-0.135
LA,0.0,0.0,0.232
LA_pct,0.0,0.0,0.382
LDL_C,0.0,0.0,0.235
LDL_CE,0.0,0.0,0.216
LDL_CE_pct,0.046,0.077,0.088
LDL_CE_pct_C,0.0,0.0,-0.203
LDL_C_pct,0.0,0.0,0.316
LDL_FC,0.0,0.0,0.28
LDL_FC_by_CE,0.0,0.0,0.204
LDL_FC_pct,0.0,0.0,0.259
LDL_FC_pct_C,0.0,0.0,0.206
LDL_L,0.0,0.0,0.22
LDL_P,0.0,0.0,0.223
LDL_PL,0.0,0.0,0.227
LDL_PL_pct,0.798,0.843,-0.011
LDL_TG,0.132,0.189,-0.067
LDL_TG_pct,0.0,0.0,-0.298
LDL_size,0.0,0.0,0.18
L_HDL_C,0.002,0.005,0.156
L_HDL_CE,0.001,0.003,0.162
L_HDL_CE_pct,0.0,0.0,0.24
L_HDL_CE_pct_C,0.0,0.001,0.168
L_HDL_C_pct,0.0,0.0,0.233
L_HDL_FC,0.009,0.019,0.132
L_HDL_FC_by_CE,0.0,0.001,-0.163
L_HDL_FC_pct,0.022,0.04,0.107
L_HDL_FC_pct_C,0.001,0.002,-0.153
L_HDL_L,0.022,0.041,0.115
L_HDL_P,0.004,0.01,0.144
L_HDL_PL,0.113,0.166,0.08
L_HDL_PL_pct,0.0,0.0,-0.293
L_HDL_TG,0.194,0.263,-0.06
L_HDL_TG_pct,0.005,0.012,-0.129
L_LDL_C,0.0,0.0,0.252
L_LDL_CE,0.0,0.0,0.237
L_LDL_CE_pct,0.005,0.012,0.123
L_LDL_CE_pct_C,0.0,0.0,-0.212
L_LDL_C_pct,0.0,0.0,0.311
L_LDL_FC,0.0,0.0,0.287
L_LDL_FC_by_CE,0.0,0.0,0.213
L_LDL_FC_pct,0.0,0.0,0.279
L_LDL_FC_pct_C,0.0,0.0,0.216
L_LDL_L,0.0,0.0,0.237
L_LDL_P,0.0,0.0,0.241
L_LDL_PL,0.0,0.0,0.242
L_LDL_PL_pct,0.829,0.869,-0.01
L_LDL_TG,0.172,0.237,-0.061
L_LDL_TG_pct,0.0,0.0,-0.304
L_VLDL_C,0.746,0.8,0.015
L_VLDL_CE,0.184,0.251,0.06
L_VLDL_CE_pct,0.0,0.0,0.197
L_VLDL_CE_pct_C,0.0,0.0,0.259
L_VLDL_C_pct,0.002,0.004,0.14
L_VLDL_FC,0.514,0.594,-0.03
L_VLDL_FC_by_CE,0.0,0.0,-0.259
L_VLDL_FC_pct,0.689,0.752,-0.018
L_VLDL_FC_pct_C,0.0,0.0,-0.253
L_VLDL_L,0.437,0.52,-0.035
L_VLDL_P,0.308,0.389,-0.046
L_VLDL_PL,0.26,0.337,-0.051
L_VLDL_PL_pct,0.204,0.274,-0.057
L_VLDL_TG,0.222,0.294,-0.056
L_VLDL_TG_pct,0.235,0.309,-0.052
Lactate,0.753,0.806,-0.014
Leu,0.205,0.275,-0.059
MUFA,0.074,0.115,-0.079
MUFA_pct,0.0,0.0,-0.191
M_HDL_C,0.573,0.649,0.027
M_HDL_CE,0.588,0.663,0.026
M_HDL_CE_pct,0.0,0.001,0.167
M_HDL_CE_pct_C,0.57,0.647,-0.027
M_HDL_C_pct,0.0,0.0,0.188
M_HDL_FC,0.519,0.599,0.032
M_HDL_FC_by_CE,0.56,0.638,0.028
M_HDL_FC_pct,0.0,0.001,0.184
M_HDL_FC_pct_C,0.548,0.626,0.029
M_HDL_L,0.531,0.611,-0.03
M_HDL_P,0.918,0.939,0.005
M_HDL_PL,0.172,0.237,-0.065
M_HDL_PL_pct,0.0,0.0,-0.244
M_HDL_TG,0.0,0.001,-0.159
M_HDL_TG_pct,0.002,0.006,-0.138
M_LDL_C,0.0,0.0,0.192
M_LDL_CE,0.0,0.001,0.165
M_LDL_CE_pct,0.772,0.822,-0.013
M_LDL_CE_pct_C,0.0,0.001,-0.171
M_LDL_C_pct,0.0,0.0,0.239
M_LDL_FC,0.0,0.0,0.255
M_LDL_FC_by_CE,0.0,0.001,0.171
M_LDL_FC_pct,0.0,0.0,0.22
M_LDL_FC_pct_C,0.0,0.001,0.172
M_LDL_L,0.0,0.0,0.181
M_LDL_P,0.0,0.0,0.175
M_LDL_PL,0.0,0.0,0.189
M_LDL_PL_pct,0.473,0.555,0.032
M_LDL_TG,0.117,0.17,-0.07
M_LDL_TG_pct,0.0,0.0,-0.281
M_VLDL_C,0.0,0.0,0.253
M_VLDL_CE,0.0,0.0,0.298
M_VLDL_CE_pct,0.0,0.0,0.298
M_VLDL_CE_pct_C,0.0,0.0,0.278
M_VLDL_C_pct,0.0,0.0,0.298
M_VLDL_FC,0.0,0.0,0.186
M_VLDL_FC_by_CE,0.004,0.009,-0.128
M_VLDL_FC_pct,0.0,0.0,0.294
M_VLDL_FC_pct_C,0.0,0.0,-0.29
M_VLDL_L,0.022,0.041,0.102
M_VLDL_P,0.002,0.004,0.14
M_VLDL_PL,0.001,0.002,0.151
M_VLDL_PL_pct,0.0,0.0,0.283
M_VLDL_TG,0.588,0.663,-0.025
M_VLDL_TG_pct,0.0,0.0,-0.286
Omega_3,0.378,0.461,-0.041
Omega_3_pct,0.285,0.363,-0.049
Omega_3_pct_PUFA,0.01,0.021,-0.117
Omega_6,0.0,0.0,0.188
Omega_6_by_Omega_3,0.025,0.045,0.102
Omega_6_pct,0.0,0.0,0.276
Omega_6_pct_PUFA,0.007,0.015,0.124
PUFA,0.001,0.004,0.147
PUFA_by_MUFA,0.0,0.0,0.217
PUFA_pct,0.0,0.0,0.246
Phe,0.001,0.003,-0.145
Phosphatidylc,0.041,0.069,0.097
Phosphoglyc,0.157,0.22,0.067
Pyruvate,0.031,0.055,-0.098
Remnant_C,0.0,0.0,0.205
SFA,0.251,0.327,-0.051
SFA_pct,0.0,0.0,-0.187
S_HDL_C,0.769,0.82,0.013
S_HDL_CE,0.789,0.836,0.012
S_HDL_CE_pct,0.0,0.001,0.167
S_HDL_CE_pct_C,0.84,0.877,-0.009
S_HDL_C_pct,0.0,0.0,0.229
S_HDL_FC,0.75,0.804,0.014
S_HDL_FC_by_CE,0.843,0.879,0.009
S_HDL_FC_pct,0.0,0.0,0.23
S_HDL_FC_pct_C,0.845,0.882,0.009
S_HDL_L,0.106,0.156,-0.072
S_HDL_P,0.81,0.853,0.011
S_HDL_PL,0.025,0.046,-0.1
S_HDL_PL_pct,0.0,0.0,-0.192
S_HDL_TG,0.0,0.001,-0.166
S_HDL_TG_pct,0.001,0.002,-0.159
S_LDL_C,0.0,0.0,0.217
S_LDL_CE,0.0,0.0,0.186
S_LDL_CE_pct,0.928,0.946,0.004
S_LDL_CE_pct_C,0.0,0.001,-0.161
S_LDL_C_pct,0.0,0.0,0.213
S_LDL_FC,0.0,0.0,0.276
S_LDL_FC_by_CE,0.0,0.001,0.162
S_LDL_FC_pct,0.0,0.0,0.209
S_LDL_FC_pct_C,0.0,0.001,0.162
S_LDL_L,0.0,0.0,0.206
S_LDL_P,0.0,0.0,0.193
S_LDL_PL,0.0,0.0,0.228
S_LDL_PL_pct,0.686,0.75,0.018
S_LDL_TG,0.068,0.107,-0.082
S_LDL_TG_pct,0.0,0.0,-0.261
S_VLDL_C,0.001,0.003,0.145
S_VLDL_CE,0.007,0.016,0.119
S_VLDL_CE_pct,0.0,0.0,0.208
S_VLDL_CE_pct_C,0.0,0.0,-0.218
S_VLDL_C_pct,0.0,0.0,0.271
S_VLDL_FC,0.0,0.0,0.188
S_VLDL_FC_by_CE,0.0,0.0,0.215
S_VLDL_FC_pct,0.0,0.0,0.314
S_VLDL_FC_pct_C,0.0,0.0,0.224
S_VLDL_L,0.271,0.348,0.049
S_VLDL_P,0.352,0.435,0.042
S_VLDL_PL,0.003,0.008,0.131
S_VLDL_PL_pct,0.0,0.0,0.31
S_VLDL_TG,0.053,0.087,-0.087
S_VLDL_TG_pct,0.0,0.0,-0.277
Sphingomyelins,0.0,0.0,0.204
TG_by_PG,0.005,0.012,-0.132
Total_BCAA,0.052,0.085,-0.089
Total_C,0.0,0.0,0.249
Total_CE,0.0,0.0,0.252
Total_CE_pct,0.0,0.0,0.274
Total_CE_pct_C,0.425,0.508,-0.036
Total_C_pct,0.0,0.0,0.293
Total_FA,0.995,0.996,0.0
Total_FC,0.0,0.0,0.236
Total_FC_by_CE,0.421,0.505,0.037
Total_FC_pct,0.0,0.0,0.313
Total_FC_pct_C,0.404,0.487,0.038
Total_L,0.002,0.005,0.141
Total_P,0.036,0.062,0.099
Total_PL,0.005,0.011,0.132
Total_PL_pct,0.018,0.035,-0.109
Total_TG,0.039,0.067,-0.093
Total_TG_pct,0.0,0.0,-0.194
Tyr,0.085,0.129,-0.077
Unsaturation,0.001,0.002,0.155
VLDL_C,0.007,0.015,0.119
VLDL_CE,0.001,0.002,0.153
VLDL_CE_pct,0.0,0.0,0.251
VLDL_CE_pct_C,0.0,0.0,0.237
VLDL_C_pct,0.0,0.0,0.256
VLDL_FC,0.112,0.164,0.071
VLDL_FC_by_CE,0.0,0.0,-0.238
VLDL_FC_pct,0.0,0.0,0.269
VLDL_FC_pct_C,0.0,0.0,-0.232
VLDL_L,0.943,0.958,-0.003
VLDL_P,0.09,0.136,0.075
VLDL_PL,0.448,0.531,0.034
VLDL_PL_pct,0.0,0.0,0.223
VLDL_TG,0.059,0.094,-0.086
VLDL_TG_pct,0.0,0.0,-0.24
VLDL_size,0.032,0.056,-0.101
Val,0.08,0.123,-0.079
XL_HDL_C,0.0,0.0,0.213
XL_HDL_CE,0.0,0.0,0.212
XL_HDL_CE_pct,0.0,0.0,0.179
XL_HDL_CE_pct_C,0.015,0.029,0.116
XL_HDL_C_pct,0.012,0.025,0.118
XL_HDL_FC,0.0,0.0,0.203
XL_HDL_FC_by_CE,0.54,0.619,-0.027
XL_HDL_FC_pct,0.372,0.455,-0.044
XL_HDL_FC_pct_C,0.004,0.01,-0.14
XL_HDL_L,0.0,0.001,0.177
XL_HDL_P,0.0,0.0,0.198
XL_HDL_PL,0.003,0.007,0.148
XL_HDL_PL_pct,0.785,0.833,-0.013
XL_HDL_TG,0.715,0.774,-0.016
XL_HDL_TG_pct,0.002,0.005,-0.143
