met,PValue,adjPVal,logFC
Acetate,0.062,0.099,-0.08
Acetoacetate,0.0,0.001,-0.157
Acetone,0.089,0.135,-0.073
Ala,0.001,0.004,-0.136
Albumin,0.111,0.162,0.068
ApoA1,0.987,0.99,-0.001
ApoB,0.0,0.0,0.215
ApoB_by_ApoA1,0.0,0.0,0.184
Cholines,0.082,0.125,0.08
Citrate,0.653,0.721,0.02
Clinical_LDL_C,0.0,0.0,0.254
Creatinine,0.082,0.126,-0.087
DHA,0.292,0.371,-0.047
DHA_pct,0.389,0.472,-0.038
Gln,0.015,0.029,0.105
Glucose,0.0,0.0,-0.274
Gly,0.0,0.0,0.18
GlycA,0.0,0.0,-0.167
HDL_C,0.077,0.119,0.085
HDL_CE,0.061,0.098,0.089
HDL_CE_pct,0.0,0.0,0.229
HDL_CE_pct_C,0.054,0.088,0.083
HDL_C_pct,0.0,0.0,0.25
HDL_FC,0.178,0.244,0.065
HDL_FC_by_CE,0.056,0.091,-0.082
HDL_FC_pct,0.0,0.0,0.207
HDL_FC_pct_C,0.061,0.097,-0.081
HDL_L,0.812,0.855,0.011
HDL_P,0.55,0.628,0.027
HDL_PL,0.471,0.553,-0.034
HDL_PL_pct,0.0,0.0,-0.335
HDL_TG,0.0,0.001,-0.159
HDL_TG_pct,0.001,0.002,-0.153
HDL_size,0.106,0.156,0.078
His,0.312,0.393,0.043
IDL_C,0.0,0.0,0.257
IDL_CE,0.0,0.0,0.253
IDL_CE_pct,0.0,0.0,0.225
IDL_CE_pct_C,0.696,0.758,-0.017
IDL_C_pct,0.0,0.0,0.261
IDL_FC,0.0,0.0,0.261
IDL_FC_by_CE,0.686,0.749,0.017
IDL_FC_pct,0.0,0.0,0.201
IDL_FC_pct_C,0.646,0.715,0.02
IDL_L,0.0,0.0,0.235
IDL_P,0.0,0.0,0.214
IDL_PL,0.0,0.0,0.239
IDL_PL_pct,0.242,0.316,-0.05
IDL_TG,0.027,0.049,-0.095
IDL_TG_pct,0.0,0.0,-0.311
Ile,0.001,0.003,-0.143
LA,0.0,0.0,0.22
LA_pct,0.0,0.0,0.396
LDL_C,0.0,0.0,0.232
LDL_CE,0.0,0.0,0.213
LDL_CE_pct,0.021,0.039,0.098
LDL_CE_pct_C,0.0,0.0,-0.205
LDL_C_pct,0.0,0.0,0.329
LDL_FC,0.0,0.0,0.276
LDL_FC_by_CE,0.0,0.0,0.205
LDL_FC_pct,0.0,0.0,0.263
LDL_FC_pct_C,0.0,0.0,0.207
LDL_L,0.0,0.0,0.216
LDL_P,0.0,0.0,0.227
LDL_PL,0.0,0.0,0.224
LDL_PL_pct,0.865,0.897,0.007
LDL_TG,0.042,0.07,-0.088
LDL_TG_pct,0.0,0.0,-0.319
LDL_size,0.0,0.0,0.177
L_HDL_C,0.008,0.017,0.128
L_HDL_CE,0.005,0.011,0.136
L_HDL_CE_pct,0.0,0.0,0.253
L_HDL_CE_pct_C,0.0,0.0,0.173
L_HDL_C_pct,0.0,0.0,0.244
L_HDL_FC,0.041,0.069,0.1
L_HDL_FC_by_CE,0.0,0.0,-0.165
L_HDL_FC_pct,0.019,0.035,0.106
L_HDL_FC_pct_C,0.0,0.001,-0.154
L_HDL_L,0.092,0.138,0.082
L_HDL_P,0.019,0.036,0.114
L_HDL_PL,0.374,0.457,0.043
L_HDL_PL_pct,0.0,0.0,-0.314
L_HDL_TG,0.032,0.056,-0.095
L_HDL_TG_pct,0.003,0.007,-0.132
L_LDL_C,0.0,0.0,0.246
L_LDL_CE,0.0,0.0,0.231
L_LDL_CE_pct,0.003,0.006,0.128
L_LDL_CE_pct_C,0.0,0.0,-0.215
L_LDL_C_pct,0.0,0.0,0.32
L_LDL_FC,0.0,0.0,0.281
L_LDL_FC_by_CE,0.0,0.0,0.216
L_LDL_FC_pct,0.0,0.0,0.284
L_LDL_FC_pct_C,0.0,0.0,0.218
L_LDL_L,0.0,0.0,0.23
L_LDL_P,0.0,0.0,0.245
L_LDL_PL,0.0,0.0,0.237
L_LDL_PL_pct,0.751,0.805,0.014
L_LDL_TG,0.049,0.08,-0.085
L_LDL_TG_pct,0.0,0.0,-0.324
L_VLDL_C,0.595,0.669,0.023
L_VLDL_CE,0.104,0.154,0.07
L_VLDL_CE_pct,0.0,0.0,0.233
L_VLDL_CE_pct_C,0.0,0.0,0.28
L_VLDL_C_pct,0.0,0.0,0.18
L_VLDL_FC,0.589,0.664,-0.024
L_VLDL_FC_by_CE,0.0,0.0,-0.281
L_VLDL_FC_pct,0.647,0.715,0.02
L_VLDL_FC_pct_C,0.0,0.0,-0.272
L_VLDL_L,0.448,0.531,-0.033
L_VLDL_P,0.308,0.388,-0.045
L_VLDL_PL,0.296,0.376,-0.046
L_VLDL_PL_pct,0.43,0.514,-0.034
L_VLDL_TG,0.188,0.255,-0.058
