met,PValue,adjPVal,logFC
Acetate,0.032,0.056,-0.096
Acetoacetate,0.001,0.003,-0.148
Acetone,0.305,0.385,-0.046
Ala,0.114,0.167,-0.071
Albumin,0.499,0.58,0.03
ApoA1,0.727,0.785,0.017
ApoB,0.0,0.0,0.176
ApoB_by_ApoA1,0.002,0.005,0.141
Cholines,0.079,0.121,0.085
Citrate,0.818,0.859,-0.011
Clinical_LDL_C,0.0,0.0,0.21
Creatinine,0.343,0.425,-0.05
DHA,0.677,0.741,-0.02
DHA_pct,0.672,0.737,-0.02
Gln,0.101,0.151,0.074
Glucose,0.0,0.0,-0.249
Gly,0.002,0.006,0.144
GlycA,0.002,0.005,-0.14
HDL_C,0.094,0.142,0.084
HDL_CE,0.078,0.121,0.088
HDL_CE_pct,0.0,0.0,0.189
HDL_CE_pct_C,0.108,0.159,0.073
HDL_C_pct,0.0,0.0,0.206
HDL_FC,0.189,0.257,0.067
HDL_FC_by_CE,0.111,0.163,-0.072
HDL_FC_pct,0.001,0.002,0.166
HDL_FC_pct_C,0.118,0.172,-0.071
HDL_L,0.611,0.684,0.026
HDL_P,0.362,0.445,0.044
HDL_PL,0.824,0.864,-0.011
HDL_PL_pct,0.0,0.0,-0.27
HDL_TG,0.004,0.01,-0.128
HDL_TG_pct,0.005,0.012,-0.129
HDL_size,0.195,0.263,0.066
His,0.351,0.433,0.042
IDL_C,0.0,0.0,0.216
IDL_CE,0.0,0.0,0.212
IDL_CE_pct,0.0,0.001,0.169
IDL_CE_pct_C,0.407,0.49,-0.037
IDL_C_pct,0.0,0.0,0.207
IDL_FC,0.0,0.0,0.225
IDL_FC_by_CE,0.4,0.483,0.038
IDL_FC_pct,0.0,0.0,0.178
IDL_FC_pct_C,0.376,0.459,0.04
IDL_L,0.0,0.0,0.2
IDL_P,0.0,0.0,0.178
IDL_PL,0.0,0.0,0.203
IDL_PL_pct,0.372,0.455,-0.04
IDL_TG,0.102,0.151,-0.074
IDL_TG_pct,0.0,0.0,-0.25
Ile,0.023,0.042,-0.104
LA,0.0,0.0,0.195
LA_pct,0.0,0.0,0.339
LDL_C,0.0,0.0,0.192
LDL_CE,0.0,0.0,0.176
LDL_CE_pct,0.108,0.159,0.072
LDL_CE_pct_C,0.0,0.001,-0.17
LDL_C_pct,0.0,0.0,0.263
LDL_FC,0.0,0.0,0.23
LDL_FC_by_CE,0.0,0.001,0.17
LDL_FC_pct,0.0,0.0,0.216
LDL_FC_pct_C,0.0,0.001,0.171
LDL_L,0.0,0.0,0.179
LDL_P,0.0,0.0,0.184
LDL_PL,0.0,0.0,0.187
LDL_PL_pct,0.836,0.874,0.009
LDL_TG,0.11,0.161,-0.072
LDL_TG_pct,0.0,0.0,-0.26
LDL_size,0.002,0.005,0.141
L_HDL_C,0.029,0.051,0.111
L_HDL_CE,0.021,0.038,0.117
L_HDL_CE_pct,0.0,0.0,0.199
L_HDL_CE_pct_C,0.001,0.002,0.153
L_HDL_C_pct,0.0,0.0,0.19
L_HDL_FC,0.086,0.131,0.088
L_HDL_FC_by_CE,0.001,0.003,-0.149
L_HDL_FC_pct,0.119,0.173,0.074
L_HDL_FC_pct_C,0.002,0.005,-0.141
L_HDL_L,0.139,0.198,0.076
L_HDL_P,0.051,0.084,0.1
L_HDL_PL,0.37,0.453,0.046
L_HDL_PL_pct,0.0,0.0,-0.241
L_HDL_TG,0.122,0.176,-0.072
L_HDL_TG_pct,0.022,0.04,-0.107
