met,PValue,adjPVal,logFC
Acetate,0.693,0.755,-0.014
Acetoacetate,0.086,0.131,-0.061
Acetone,0.805,0.849,-0.009
Ala,0.066,0.104,-0.066
Albumin,0.235,0.309,-0.042
ApoA1,0.081,0.124,-0.069
ApoB,0.017,0.033,0.085
ApoB_by_ApoA1,0.003,0.008,0.107
Cholines,0.545,0.623,-0.023
Citrate,0.785,0.833,0.01
Clinical_LDL_C,0.009,0.02,0.093
Creatinine,0.155,0.217,-0.059
DHA,0.108,0.16,-0.06
DHA_pct,0.454,0.537,-0.028
Gln,0.064,0.102,0.066
Glucose,0.0,0.0,-0.228
Gly,0.01,0.02,0.097
GlycA,0.001,0.002,-0.121
HDL_C,0.75,0.804,-0.013
HDL_CE,0.827,0.867,-0.009
HDL_CE_pct,0.001,0.003,0.118
HDL_CE_pct_C,0.108,0.159,0.058
HDL_C_pct,0.001,0.002,0.124
HDL_FC,0.522,0.602,-0.026
HDL_FC_by_CE,0.11,0.162,-0.057
HDL_FC_pct,0.026,0.047,0.085
HDL_FC_pct_C,0.116,0.169,-0.056
HDL_L,0.156,0.218,-0.057
HDL_P,0.143,0.202,-0.056
HDL_PL,0.041,0.069,-0.081
HDL_PL_pct,0.0,0.0,-0.174
HDL_TG,0.006,0.013,-0.098
HDL_TG_pct,0.081,0.124,-0.065
HDL_size,0.59,0.665,0.022
His,0.524,0.603,-0.023
IDL_C,0.011,0.023,0.093
IDL_CE,0.013,0.026,0.091
IDL_CE_pct,0.007,0.014,0.099
IDL_CE_pct_C,0.498,0.58,-0.024
IDL_C_pct,0.001,0.002,0.121
IDL_FC,0.008,0.018,0.096
IDL_FC_by_CE,0.496,0.577,0.024
IDL_FC_pct,0.003,0.008,0.105
IDL_FC_pct_C,0.485,0.567,0.025
IDL_L,0.028,0.05,0.081
IDL_P,0.017,0.033,0.085
IDL_PL,0.02,0.037,0.086
IDL_PL_pct,0.937,0.953,0.003
IDL_TG,0.025,0.045,-0.081
IDL_TG_pct,0.0,0.0,-0.156
Ile,0.015,0.029,-0.088
LA,0.008,0.017,0.095
LA_pct,0.0,0.0,0.244
LDL_C,0.027,0.049,0.079
LDL_CE,0.055,0.09,0.068
LDL_CE_pct,0.665,0.731,0.015
LDL_CE_pct_C,0.001,0.003,-0.121
LDL_C_pct,0.0,0.0,0.148
LDL_FC,0.004,0.008,0.104
LDL_FC_by_CE,0.001,0.003,0.121
LDL_FC_pct,0.0,0.0,0.142
LDL_FC_pct_C,0.001,0.003,0.121
LDL_L,0.049,0.081,0.07
LDL_P,0.014,0.027,0.087
LDL_PL,0.029,0.052,0.078
LDL_PL_pct,0.197,0.266,0.046
LDL_TG,0.023,0.042,-0.081
LDL_TG_pct,0.0,0.0,-0.163
LDL_size,0.096,0.144,0.061
L_HDL_C,0.324,0.405,0.04
L_HDL_CE,0.261,0.337,0.045
L_HDL_CE_pct,0.0,0.0,0.161
L_HDL_CE_pct_C,0.0,0.001,0.125
L_HDL_C_pct,0.0,0.0,0.152
L_HDL_FC,0.608,0.681,0.021
L_HDL_FC_by_CE,0.001,0.002,-0.121
L_HDL_FC_pct,0.171,0.236,0.051
L_HDL_FC_pct_C,0.001,0.004,-0.115
L_HDL_L,0.829,0.868,0.009
L_HDL_P,0.496,0.577,0.028
L_HDL_PL,0.697,0.759,-0.016
L_HDL_PL_pct,0.0,0.0,-0.198
L_HDL_TG,0.069,0.108,-0.068
L_HDL_TG_pct,0.098,0.147,-0.061
L_LDL_C,0.02,0.038,0.083
L_LDL_CE,0.037,0.064,0.074
L_LDL_CE_pct,0.332,0.414,0.034
L_LDL_CE_pct_C,0.0,0.001,-0.13
L_LDL_C_pct,0.0,0.0,0.148
L_LDL_FC,0.003,0.008,0.106
L_LDL_FC_by_CE,0.0,0.001,0.13
L_LDL_FC_pct,0.0,0.0,0.156
L_LDL_FC_pct_C,0.0,0.001,0.131
L_LDL_L,0.038,0.065,0.074
L_LDL_P,0.009,0.018,0.093
L_LDL_PL,0.024,0.043,0.081
L_LDL_PL_pct,0.306,0.386,0.037
L_LDL_TG,0.018,0.034,-0.085
L_LDL_TG_pct,0.0,0.0,-0.166
L_VLDL_C,0.858,0.892,0.007
L_VLDL_CE,0.408,0.491,0.03
L_VLDL_CE_pct,0.003,0.007,0.109
L_VLDL_CE_pct_C,0.0,0.001,0.136
L_VLDL_C_pct,0.022,0.04,0.082
L_VLDL_FC,0.65,0.719,-0.017
L_VLDL_FC_by_CE,0.0,0.001,-0.135
L_VLDL_FC_pct,0.95,0.963,0.002
L_VLDL_FC_pct_C,0.0,0.001,-0.135
L_VLDL_L,0.602,0.675,-0.019
L_VLDL_P,0.438,0.521,-0.028
L_VLDL_PL,0.511,0.592,-0.024
L_VLDL_PL_pct,0.681,0.745,-0.015
L_VLDL_TG,0.409,0.492,-0.03
L_VLDL_TG_pct,0.209,0.28,-0.045
Lactate,0.298,0.378,0.038
Leu,0.026,0.047,-0.083
MUFA,0.038,0.065,-0.074
MUFA_pct,0.014,0.027,-0.091
M_HDL_C,0.077,0.119,-0.069
M_HDL_CE,0.084,0.128,-0.067
M_HDL_CE_pct,0.016,0.031,0.087
M_HDL_CE_pct_C,0.122,0.176,0.059
M_HDL_C_pct,0.025,0.046,0.083
M_HDL_FC,0.061,0.098,-0.074
M_HDL_FC_by_CE,0.12,0.174,-0.06
M_HDL_FC_pct,0.619,0.691,0.02
M_HDL_FC_pct_C,0.118,0.172,-0.06
M_HDL_L,0.008,0.016,-0.103
M_HDL_P,0.035,0.061,-0.082
M_HDL_PL,0.001,0.004,-0.122
