met,PValue,adjPVal,logFC
Acetate,0.682,0.746,-0.018
Acetoacetate,0.004,0.009,-0.127
Acetone,0.504,0.585,-0.029
Ala,0.0,0.0,-0.197
Albumin,0.004,0.009,0.127
ApoA1,0.218,0.29,0.059
ApoB,0.0,0.0,0.174
ApoB_by_ApoA1,0.009,0.018,0.117
Cholines,0.057,0.093,0.089
Citrate,0.969,0.977,-0.002
Clinical_LDL_C,0.0,0.0,0.229
Creatinine,0.155,0.217,-0.073
DHA,0.722,0.78,0.016
DHA_pct,0.188,0.256,0.059
Gln,0.0,0.0,0.176
Glucose,0.0,0.0,-0.256
Gly,0.0,0.0,0.22
GlycA,0.0,0.0,-0.265
HDL_C,0.0,0.001,0.18
HDL_CE,0.0,0.001,0.184
HDL_CE_pct,0.0,0.0,0.306
HDL_CE_pct_C,0.019,0.035,0.104
HDL_C_pct,0.0,0.0,0.337
HDL_FC,0.002,0.004,0.157
HDL_FC_by_CE,0.019,0.037,-0.103
HDL_FC_pct,0.0,0.0,0.286
HDL_FC_pct_C,0.022,0.04,-0.101
HDL_L,0.063,0.1,0.091
HDL_P,0.201,0.271,0.06
HDL_PL,0.458,0.54,0.036
HDL_PL_pct,0.0,0.0,-0.413
HDL_TG,0.0,0.0,-0.201
HDL_TG_pct,0.0,0.0,-0.233
HDL_size,0.0,0.0,0.214
His,0.123,0.178,0.068
IDL_C,0.0,0.0,0.267
IDL_CE,0.0,0.0,0.262
IDL_CE_pct,0.0,0.0,0.263
IDL_CE_pct_C,0.379,0.462,-0.038
IDL_C_pct,0.0,0.0,0.314
IDL_FC,0.0,0.0,0.276
IDL_FC_by_CE,0.372,0.454,0.039
IDL_FC_pct,0.0,0.0,0.255
IDL_FC_pct_C,0.344,0.426,0.041
IDL_L,0.0,0.0,0.238
IDL_P,0.0,0.0,0.204
IDL_PL,0.0,0.0,0.242
IDL_PL_pct,0.195,0.264,-0.056
IDL_TG,0.001,0.003,-0.145
IDL_TG_pct,0.0,0.0,-0.37
Ile,0.0,0.0,-0.171
LA,0.0,0.0,0.177
LA_pct,0.0,0.0,0.425
LDL_C,0.0,0.0,0.2
LDL_CE,0.0,0.0,0.174
LDL_CE_pct,0.319,0.4,0.043
LDL_CE_pct_C,0.0,0.0,-0.292
LDL_C_pct,0.0,0.0,0.365
LDL_FC,0.0,0.0,0.264
LDL_FC_by_CE,0.0,0.0,0.292
LDL_FC_pct,0.0,0.0,0.345
LDL_FC_pct_C,0.0,0.0,0.294
LDL_L,0.0,0.0,0.18
LDL_P,0.0,0.0,0.184
LDL_PL,0.0,0.0,0.188
LDL_PL_pct,0.614,0.686,0.022
LDL_TG,0.001,0.002,-0.152
LDL_TG_pct,0.0,0.0,-0.358
LDL_size,0.0,0.0,0.182
L_HDL_C,0.0,0.0,0.255
L_HDL_CE,0.0,0.0,0.263
L_HDL_CE_pct,0.0,0.0,0.339
L_HDL_CE_pct_C,0.0,0.0,0.226
L_HDL_C_pct,0.0,0.0,0.33
L_HDL_FC,0.0,0.0,0.221
L_HDL_FC_by_CE,0.0,0.0,-0.22
L_HDL_FC_pct,0.001,0.003,0.149
L_HDL_FC_pct_C,0.0,0.0,-0.209
L_HDL_L,0.0,0.0,0.204
L_HDL_P,0.0,0.0,0.237
L_HDL_PL,0.001,0.004,0.159
L_HDL_PL_pct,0.0,0.0,-0.409
L_HDL_TG,0.191,0.259,-0.059
L_HDL_TG_pct,0.0,0.0,-0.199
L_LDL_C,0.0,0.0,0.225
L_LDL_CE,0.0,0.0,0.204
L_LDL_CE_pct,0.06,0.095,0.082
L_LDL_CE_pct_C,0.0,0.0,-0.311
L_LDL_C_pct,0.0,0.0,0.355
L_LDL_FC,0.0,0.0,0.279
L_LDL_FC_by_CE,0.0,0.0,0.312
L_LDL_FC_pct,0.0,0.0,0.374
L_LDL_FC_pct_C,0.0,0.0,0.315
L_LDL_L,0.0,0.0,0.205
L_LDL_P,0.0,0.0,0.203
L_LDL_PL,0.0,0.0,0.213
L_LDL_PL_pct,0.504,0.585,0.029
L_LDL_TG,0.001,0.003,-0.142
L_LDL_TG_pct,0.0,0.0,-0.365
L_VLDL_C,0.144,0.204,-0.065
L_VLDL_CE,0.894,0.92,-0.006
L_VLDL_CE_pct,0.0,0.0,0.315
L_VLDL_CE_pct_C,0.0,0.0,0.39
L_VLDL_C_pct,0.0,0.0,0.233
L_VLDL_FC,0.006,0.014,-0.123
L_VLDL_FC_by_CE,0.0,0.0,-0.389
L_VLDL_FC_pct,0.878,0.908,-0.007
L_VLDL_FC_pct_C,0.0,0.0,-0.386
L_VLDL_L,0.003,0.008,-0.132
L_VLDL_P,0.002,0.006,-0.137
L_VLDL_PL,0.001,0.004,-0.144
L_VLDL_PL_pct,0.062,0.098,-0.083
L_VLDL_TG,0.0,0.001,-0.159
L_VLDL_TG_pct,0.034,0.059,-0.092
Lactate,0.024,0.043,-0.101
Leu,0.008,0.017,-0.121
MUFA,0.0,0.0,-0.175
MUFA_pct,0.0,0.0,-0.293
M_HDL_C,0.237,0.312,0.056
M_HDL_CE,0.233,0.307,0.057
M_HDL_CE_pct,0.0,0.0,0.252
M_HDL_CE_pct_C,0.828,0.868,-0.01
M_HDL_C_pct,0.0,0.0,0.277
M_HDL_FC,0.266,0.344,0.054
M_HDL_FC_by_CE,0.819,0.86,0.011
M_HDL_FC_pct,0.0,0.0,0.244
M_HDL_FC_pct_C,0.807,0.851,0.011
M_HDL_L,0.631,0.701,-0.023
M_HDL_P,0.617,0.689,0.024
M_HDL_PL,0.138,0.197,-0.07
M_HDL_PL_pct,0.0,0.0,-0.34
M_HDL_TG,0.0,0.0,-0.224
M_HDL_TG_pct,0.0,0.0,-0.217
M_LDL_C,0.001,0.003,0.143
M_LDL_CE,0.012,0.024,0.11
M_LDL_CE_pct,0.345,0.427,-0.042
M_LDL_CE_pct_C,0.0,0.0,-0.236
M_LDL_C_pct,0.0,0.0,0.288
M_LDL_FC,0.0,0.0,0.224
M_LDL_FC_by_CE,0.0,0.0,0.236
M_LDL_FC_pct,0.0,0.0,0.294
M_LDL_FC_pct_C,0.0,0.0,0.237
M_LDL_L,0.004,0.009,0.126
M_LDL_P,0.002,0.004,0.137
M_LDL_PL,0.002,0.006,0.133
M_LDL_PL_pct,0.517,0.597,0.028
M_LDL_TG,0.0,0.001,-0.158
M_LDL_TG_pct,0.0,0.0,-0.331
M_VLDL_C,0.0,0.0,0.232
M_VLDL_CE,0.0,0.0,0.299
M_VLDL_CE_pct,0.0,0.0,0.392
M_VLDL_CE_pct_C,0.0,0.0,0.368
M_VLDL_C_pct,0.0,0.0,0.389
M_VLDL_FC,0.001,0.004,0.14
M_VLDL_FC_by_CE,0.0,0.0,-0.172
M_VLDL_FC_pct,0.0,0.0,0.37
M_VLDL_FC_pct_C,0.0,0.0,-0.388
M_VLDL_L,0.494,0.576,0.03
M_VLDL_P,0.071,0.111,0.079
M_VLDL_PL,0.029,0.052,0.095
M_VLDL_PL_pct,0.0,0.0,0.346
M_VLDL_TG,0.007,0.015,-0.121
M_VLDL_TG_pct,0.0,0.0,-0.368
Omega_3,0.154,0.215,-0.065
Omega_3_pct,0.516,0.596,-0.029
Omega_3_pct_PUFA,0.008,0.017,-0.119
Omega_6,0.004,0.01,0.127
Omega_6_by_Omega_3,0.023,0.043,0.102
Omega_6_pct,0.0,0.0,0.352
Omega_6_pct_PUFA,0.005,0.012,0.126
PUFA,0.048,0.08,0.089
PUFA_by_MUFA,0.0,0.0,0.314
PUFA_pct,0.0,0.0,0.328
Phe,0.009,0.02,-0.113
Phosphatidylc,0.19,0.258,0.061
