met,PValue,adjPVal,logFC
Acetate,0.255,0.331,-0.04
Acetoacetate,0.028,0.05,-0.077
Acetone,0.839,0.876,0.007
Ala,0.458,0.541,-0.026
Albumin,0.325,0.406,0.034
ApoA1,0.079,0.121,0.068
ApoB,0.001,0.003,0.114
ApoB_by_ApoA1,0.067,0.105,0.065
Cholines,0.013,0.025,0.093
Citrate,0.295,0.375,0.037
Clinical_LDL_C,0.0,0.0,0.148
Creatinine,0.324,0.405,-0.04
DHA,0.632,0.702,0.018
DHA_pct,0.654,0.722,0.016
Gln,0.047,0.078,0.069
Glucose,0.0,0.0,-0.196
Gly,0.002,0.005,0.113
GlycA,0.001,0.002,-0.118
HDL_C,0.002,0.005,0.122
HDL_CE,0.001,0.004,0.125
HDL_CE_pct,0.0,0.0,0.169
HDL_CE_pct_C,0.073,0.114,0.063
HDL_C_pct,0.0,0.0,0.184
HDL_FC,0.006,0.014,0.108
HDL_FC_by_CE,0.077,0.119,-0.062
HDL_FC_pct,0.0,0.0,0.152
HDL_FC_pct_C,0.086,0.131,-0.06
HDL_L,0.047,0.078,0.078
HDL_P,0.031,0.054,0.081
HDL_PL,0.21,0.281,0.049
HDL_PL_pct,0.0,0.0,-0.228
HDL_TG,0.008,0.018,-0.092
HDL_TG_pct,0.001,0.002,-0.124
HDL_size,0.01,0.02,0.102
His,0.674,0.74,-0.015
IDL_C,0.0,0.0,0.16
IDL_CE,0.0,0.0,0.159
IDL_CE_pct,0.0,0.0,0.154
IDL_CE_pct_C,0.928,0.946,-0.003
IDL_C_pct,0.0,0.0,0.175
IDL_FC,0.0,0.0,0.161
IDL_FC_by_CE,0.921,0.941,0.003
IDL_FC_pct,0.0,0.001,0.127
IDL_FC_pct_C,0.896,0.921,0.005
IDL_L,0.0,0.0,0.144
IDL_P,0.001,0.002,0.117
IDL_PL,0.0,0.0,0.144
IDL_PL_pct,0.198,0.267,-0.045
IDL_TG,0.045,0.075,-0.07
IDL_TG_pct,0.0,0.0,-0.202
Ile,0.019,0.036,-0.083
LA,0.0,0.0,0.151
LA_pct,0.0,0.0,0.257
LDL_C,0.0,0.0,0.139
LDL_CE,0.0,0.001,0.126
LDL_CE_pct,0.029,0.052,0.076
LDL_CE_pct_C,0.0,0.0,-0.137
LDL_C_pct,0.0,0.0,0.23
LDL_FC,0.0,0.0,0.169
LDL_FC_by_CE,0.0,0.0,0.137
LDL_FC_pct,0.0,0.0,0.179
LDL_FC_pct_C,0.0,0.0,0.138
LDL_L,0.0,0.001,0.127
LDL_P,0.001,0.002,0.119
LDL_PL,0.0,0.001,0.128
LDL_PL_pct,0.303,0.383,-0.036
LDL_TG,0.05,0.082,-0.069
LDL_TG_pct,0.0,0.0,-0.205
LDL_size,0.003,0.006,0.108
L_HDL_C,0.0,0.001,0.141
