met,PValue,adjPVal,logFC
Acetate,0.279,0.357,-0.048
Acetoacetate,0.017,0.032,-0.107
Acetone,0.666,0.732,-0.019
Ala,0.348,0.43,-0.042
Albumin,0.201,0.271,0.057
ApoA1,0.608,0.681,0.025
ApoB,0.0,0.0,0.193
ApoB_by_ApoA1,0.001,0.002,0.153
Cholines,0.04,0.068,0.098
Citrate,0.377,0.46,0.041
Clinical_LDL_C,0.0,0.0,0.231
Creatinine,0.107,0.158,-0.084
DHA,0.651,0.719,-0.021
DHA_pct,0.57,0.646,-0.026
Gln,0.091,0.137,0.076
Glucose,0.0,0.0,-0.23
Gly,0.002,0.004,0.15
GlycA,0.006,0.013,-0.124
HDL_C,0.064,0.101,0.093
HDL_CE,0.052,0.085,0.097
HDL_CE_pct,0.0,0.0,0.199
HDL_CE_pct_C,0.113,0.166,0.071
HDL_C_pct,0.0,0.0,0.218
HDL_FC,0.135,0.192,0.076
HDL_FC_by_CE,0.117,0.17,-0.071
HDL_FC_pct,0.0,0.001,0.181
HDL_FC_pct_C,0.125,0.18,-0.069
HDL_L,0.517,0.597,0.032
HDL_P,0.216,0.288,0.059
HDL_PL,0.917,0.938,-0.005
HDL_PL_pct,0.0,0.0,-0.283
HDL_TG,0.002,0.006,-0.137
HDL_TG_pct,0.002,0.006,-0.141
HDL_size,0.226,0.299,0.061
His,0.214,0.286,0.056
IDL_C,0.0,0.0,0.237
IDL_CE,0.0,0.0,0.234
IDL_CE_pct,0.0,0.0,0.208
IDL_CE_pct_C,0.974,0.981,-0.001
IDL_C_pct,0.0,0.0,0.236
IDL_FC,0.0,0.0,0.238
IDL_FC_by_CE,0.969,0.977,0.002
IDL_FC_pct,0.0,0.001,0.169
IDL_FC_pct_C,0.951,0.963,0.003
IDL_L,0.0,0.0,0.217
IDL_P,0.0,0.0,0.195
IDL_PL,0.0,0.0,0.213
IDL_PL_pct,0.073,0.113,-0.08
IDL_TG,0.104,0.155,-0.073
IDL_TG_pct,0.0,0.0,-0.268
Ile,0.023,0.042,-0.103
LA,0.0,0.0,0.207
LA_pct,0.0,0.0,0.334
LDL_C,0.0,0.0,0.214
LDL_CE,0.0,0.0,0.197
LDL_CE_pct,0.114,0.167,0.07
LDL_CE_pct_C,0.0,0.0,-0.185
LDL_C_pct,0.0,0.0,0.278
LDL_FC,0.0,0.0,0.253
LDL_FC_by_CE,0.0,0.0,0.186
LDL_FC_pct,0.0,0.0,0.232
LDL_FC_pct_C,0.0,0.0,0.186
LDL_L,0.0,0.0,0.201
LDL_P,0.0,0.0,0.199
LDL_PL,0.0,0.0,0.211
LDL_PL_pct,0.722,0.78,0.016
LDL_TG,0.164,0.228,-0.062
LDL_TG_pct,0.0,0.0,-0.274
LDL_size,0.001,0.002,0.153
L_HDL_C,0.031,0.054,0.109
L_HDL_CE,0.022,0.041,0.115
L_HDL_CE_pct,0.0,0.0,0.206
L_HDL_CE_pct_C,0.002,0.004,0.141
L_HDL_C_pct,0.0,0.0,0.199
L_HDL_FC,0.087,0.132,0.087
L_HDL_FC_by_CE,0.003,0.006,-0.135
L_HDL_FC_pct,0.059,0.095,0.089
L_HDL_FC_pct_C,0.005,0.011,-0.126
L_HDL_L,0.152,0.214,0.073
L_HDL_P,0.047,0.078,0.101
L_HDL_PL,0.394,0.477,0.043
L_HDL_PL_pct,0.0,0.0,-0.245
L_HDL_TG,0.057,0.092,-0.088
L_HDL_TG_pct,0.013,0.026,-0.116
L_LDL_C,0.0,0.0,0.228
L_LDL_CE,0.0,0.0,0.215
L_LDL_CE_pct,0.008,0.016,0.118
L_LDL_CE_pct_C,0.0,0.0,-0.185
L_LDL_C_pct,0.0,0.0,0.283
L_LDL_FC,0.0,0.0,0.256
L_LDL_FC_by_CE,0.0,0.0,0.185
L_LDL_FC_pct,0.0,0.0,0.246
L_LDL_FC_pct_C,0.0,0.0,0.186
L_LDL_L,0.0,0.0,0.214
L_LDL_P,0.0,0.0,0.214
L_LDL_PL,0.0,0.0,0.218
L_LDL_PL_pct,0.916,0.937,-0.005
L_LDL_TG,0.186,0.253,-0.059
L_LDL_TG_pct,0.0,0.0,-0.279
L_VLDL_C,0.689,0.752,0.018
L_VLDL_CE,0.215,0.287,0.056
L_VLDL_CE_pct,0.0,0.001,0.174
L_VLDL_CE_pct_C,0.0,0.0,0.232
L_VLDL_C_pct,0.006,0.014,0.122
L_VLDL_FC,0.672,0.737,-0.02
L_VLDL_FC_by_CE,0.0,0.0,-0.233
L_VLDL_FC_pct,0.647,0.716,-0.021
L_VLDL_FC_pct_C,0.0,0.0,-0.228
L_VLDL_L,0.596,0.67,-0.024
L_VLDL_P,0.419,0.502,-0.037
L_VLDL_PL,0.387,0.47,-0.04
L_VLDL_PL_pct,0.263,0.34,-0.051
