met,PValue,adjPVal,logFC
Acetate,0.504,0.584,-0.035
Acetoacetate,0.243,0.318,-0.061
Acetone,0.416,0.499,-0.043
Ala,0.246,0.321,-0.06
Albumin,0.324,0.405,-0.051
ApoA1,0.054,0.088,-0.11
ApoB,0.029,0.051,0.114
ApoB_by_ApoA1,0.003,0.008,0.156
Cholines,0.545,0.624,-0.034
Citrate,0.182,0.249,0.071
Clinical_LDL_C,0.055,0.09,0.1
Creatinine,0.764,0.815,0.018
DHA,0.278,0.356,-0.059
DHA_pct,0.396,0.479,-0.045
Gln,0.113,0.166,0.083
Glucose,0.0,0.0,-0.263
Gly,0.028,0.05,0.121
GlycA,0.108,0.159,-0.084
HDL_C,0.266,0.343,-0.065
HDL_CE,0.274,0.352,-0.063
HDL_CE_pct,0.322,0.403,0.053
HDL_CE_pct_C,0.825,0.865,0.012
HDL_C_pct,0.263,0.34,0.06
HDL_FC,0.258,0.334,-0.067
HDL_FC_by_CE,0.832,0.871,-0.011
HDL_FC_pct,0.267,0.344,0.062
HDL_FC_pct_C,0.847,0.883,-0.01
HDL_L,0.09,0.136,-0.099
HDL_P,0.067,0.105,-0.102
HDL_PL,0.037,0.063,-0.121
HDL_PL_pct,0.008,0.018,-0.139
HDL_TG,0.275,0.353,-0.057
HDL_TG_pct,0.882,0.911,0.008
HDL_size,0.845,0.881,-0.011
His,0.601,0.675,-0.027
IDL_C,0.116,0.169,0.084
IDL_CE,0.14,0.198,0.079
IDL_CE_pct,0.502,0.583,0.036
IDL_CE_pct_C,0.163,0.227,-0.072
IDL_C_pct,0.19,0.258,0.069
IDL_FC,0.071,0.111,0.096
IDL_FC_by_CE,0.162,0.226,0.073
IDL_FC_pct,0.041,0.069,0.106
IDL_FC_pct_C,0.159,0.222,0.073
IDL_L,0.135,0.193,0.08
IDL_P,0.074,0.115,0.093
IDL_PL,0.069,0.108,0.098
IDL_PL_pct,0.149,0.21,0.075
IDL_TG,0.403,0.487,-0.044
IDL_TG_pct,0.029,0.051,-0.116
Ile,0.361,0.443,-0.048
LA,0.018,0.034,0.125
LA_pct,0.0,0.0,0.251
LDL_C,0.083,0.127,0.09
LDL_CE,0.103,0.153,0.085
LDL_CE_pct,0.132,0.189,0.078
LDL_CE_pct_C,0.289,0.368,-0.056
LDL_C_pct,0.006,0.013,0.145
LDL_FC,0.049,0.082,0.103
LDL_FC_by_CE,0.283,0.362,0.057
LDL_FC_pct,0.096,0.144,0.089
LDL_FC_pct_C,0.268,0.345,0.059
LDL_L,0.112,0.165,0.083
LDL_P,0.024,0.045,0.117
LDL_PL,0.101,0.15,0.085
LDL_PL_pct,0.924,0.943,-0.005
LDL_TG,0.366,0.448,-0.047
LDL_TG_pct,0.01,0.021,-0.135
LDL_size,0.407,0.49,0.044
L_HDL_C,0.935,0.952,-0.005
L_HDL_CE,0.996,0.997,0.0
L_HDL_CE_pct,0.046,0.077,0.107
L_HDL_CE_pct_C,0.031,0.054,0.112
L_HDL_C_pct,0.076,0.118,0.096
L_HDL_FC,0.716,0.775,-0.022
L_HDL_FC_by_CE,0.036,0.062,-0.109
L_HDL_FC_pct,0.796,0.842,0.014
L_HDL_FC_pct_C,0.048,0.08,-0.103
L_HDL_L,0.573,0.649,-0.033
L_HDL_P,0.865,0.897,-0.01
L_HDL_PL,0.306,0.386,-0.061
L_HDL_PL_pct,0.001,0.002,-0.183
L_HDL_TG,0.596,0.67,-0.029
L_HDL_TG_pct,0.641,0.71,0.025
L_LDL_C,0.087,0.132,0.09
L_LDL_CE,0.107,0.157,0.084
L_LDL_CE_pct,0.198,0.267,0.067
L_LDL_CE_pct_C,0.143,0.203,-0.078
L_LDL_C_pct,0.01,0.02,0.136
L_LDL_FC,0.052,0.085,0.102
L_LDL_FC_by_CE,0.138,0.197,0.079
L_LDL_FC_pct,0.038,0.064,0.111
L_LDL_FC_pct_C,0.126,0.181,0.082
L_LDL_L,0.118,0.172,0.082
L_LDL_P,0.02,0.037,0.121
L_LDL_PL,0.108,0.159,0.084
L_LDL_PL_pct,0.885,0.913,0.008
L_LDL_TG,0.304,0.384,-0.054
L_LDL_TG_pct,0.009,0.018,-0.138
L_VLDL_C,0.233,0.307,0.063
L_VLDL_CE,0.086,0.131,0.09
L_VLDL_CE_pct,0.027,0.048,0.118
L_VLDL_CE_pct_C,0.007,0.014,0.15
L_VLDL_C_pct,0.078,0.121,0.092
L_VLDL_FC,0.503,0.584,0.036
L_VLDL_FC_by_CE,0.006,0.013,-0.153
L_VLDL_FC_pct,0.76,0.812,0.016
L_VLDL_FC_pct_C,0.01,0.021,-0.142
L_VLDL_L,0.589,0.664,0.029
L_VLDL_P,0.746,0.801,0.017
L_VLDL_PL,0.658,0.725,0.024
L_VLDL_PL_pct,0.899,0.923,0.007
L_VLDL_TG,0.86,0.894,0.009
L_VLDL_TG_pct,0.152,0.213,-0.074
Lactate,0.524,0.603,0.034
Leu,0.326,0.407,-0.053
MUFA,0.329,0.411,-0.051
MUFA_pct,0.218,0.29,-0.066
M_HDL_C,0.025,0.045,-0.128
M_HDL_CE,0.024,0.044,-0.128
M_HDL_CE_pct,0.748,0.803,0.017
M_HDL_CE_pct_C,0.393,0.476,0.048
M_HDL_C_pct,0.867,0.899,0.009
M_HDL_FC,0.033,0.057,-0.123
M_HDL_FC_by_CE,0.394,0.477,-0.048
M_HDL_FC_pct,0.619,0.691,-0.029
M_HDL_FC_pct_C,0.397,0.48,-0.047
M_HDL_L,0.008,0.017,-0.15
M_HDL_P,0.024,0.044,-0.128
M_HDL_PL,0.004,0.008,-0.164
M_HDL_PL_pct,0.352,0.435,-0.051
M_HDL_TG,0.16,0.223,-0.073
M_HDL_TG_pct,0.737,0.793,0.018
M_LDL_C,0.109,0.161,0.083
M_LDL_CE,0.145,0.205,0.076
M_LDL_CE_pct,0.354,0.436,0.049
M_LDL_CE_pct_C,0.519,0.599,-0.034
M_LDL_C_pct,0.008,0.017,0.138
M_LDL_FC,0.06,0.095,0.098
M_LDL_FC_by_CE,0.517,0.597,0.034
M_LDL_FC_pct,0.223,0.295,0.065
M_LDL_FC_pct_C,0.515,0.595,0.035
M_LDL_L,0.146,0.206,0.075
M_LDL_P,0.068,0.107,0.095
M_LDL_PL,0.151,0.212,0.074
M_LDL_PL_pct,0.54,0.619,-0.032
M_LDL_TG,0.436,0.519,-0.041
M_LDL_TG_pct,0.013,0.025,-0.13
M_VLDL_C,0.005,0.011,0.147
M_VLDL_CE,0.002,0.004,0.164
M_VLDL_CE_pct,0.022,0.04,0.124
M_VLDL_CE_pct_C,0.006,0.014,0.146
M_VLDL_C_pct,0.022,0.041,0.123
M_VLDL_FC,0.017,0.033,0.124
M_VLDL_FC_by_CE,0.004,0.01,-0.149
M_VLDL_FC_pct,0.01,0.02,0.138
M_VLDL_FC_pct_C,0.022,0.041,-0.124
M_VLDL_L,0.101,0.15,0.086
M_VLDL_P,0.053,0.086,0.101
M_VLDL_PL,0.038,0.065,0.108
M_VLDL_PL_pct,0.009,0.019,0.138
M_VLDL_TG,0.578,0.654,0.029
M_VLDL_TG_pct,0.033,0.058,-0.115
Omega_3,0.168,0.232,-0.075
Omega_3_pct,0.2,0.269,-0.069
Omega_3_pct_PUFA,0.048,0.08,-0.106
