met,PValue,adjPVal,logFC
Acetate,0.141,0.2,-0.054
Acetoacetate,0.006,0.014,-0.102
Acetone,0.314,0.394,-0.038
Ala,0.339,0.421,-0.036
Albumin,0.494,0.575,0.025
ApoA1,0.027,0.048,0.09
ApoB,0.0,0.0,0.154
ApoB_by_ApoA1,0.017,0.032,0.091
Cholines,0.001,0.003,0.129
Citrate,0.734,0.79,0.013
Clinical_LDL_C,0.0,0.0,0.191
Creatinine,0.065,0.103,-0.08
DHA,0.57,0.647,0.022
DHA_pct,0.81,0.854,0.009
Gln,0.08,0.124,0.065
Glucose,0.0,0.0,-0.182
Gly,0.003,0.008,0.115
GlycA,0.0,0.0,-0.148
HDL_C,0.0,0.001,0.15
HDL_CE,0.0,0.001,0.15
HDL_CE_pct,0.0,0.0,0.176
HDL_CE_pct_C,0.343,0.425,0.035
HDL_C_pct,0.0,0.0,0.2
HDL_FC,0.001,0.002,0.143
HDL_FC_by_CE,0.355,0.437,-0.035
HDL_FC_pct,0.0,0.0,0.201
HDL_FC_pct_C,0.384,0.467,-0.033
HDL_L,0.013,0.025,0.104
HDL_P,0.01,0.02,0.103
HDL_PL,0.089,0.135,0.07
HDL_PL_pct,0.0,0.0,-0.263
HDL_TG,0.027,0.049,-0.082
HDL_TG_pct,0.001,0.004,-0.124
HDL_size,0.002,0.005,0.129
His,0.822,0.863,-0.008
IDL_C,0.0,0.0,0.212
IDL_CE,0.0,0.0,0.209
IDL_CE_pct,0.0,0.0,0.177
IDL_CE_pct_C,0.776,0.825,-0.011
IDL_C_pct,0.0,0.0,0.205
IDL_FC,0.0,0.0,0.214
IDL_FC_by_CE,0.766,0.817,0.011
IDL_FC_pct,0.0,0.0,0.155
IDL_FC_pct_C,0.729,0.786,0.013
IDL_L,0.0,0.0,0.196
IDL_P,0.0,0.0,0.16
IDL_PL,0.0,0.0,0.195
IDL_PL_pct,0.102,0.152,-0.06
IDL_TG,0.138,0.196,-0.055
IDL_TG_pct,0.0,0.0,-0.234
Ile,0.004,0.009,-0.109
LA,0.0,0.0,0.18
LA_pct,0.0,0.0,0.269
LDL_C,0.0,0.0,0.181
LDL_CE,0.0,0.0,0.166
LDL_CE_pct,0.012,0.024,0.093
LDL_CE_pct_C,0.0,0.0,-0.152
LDL_C_pct,0.0,0.0,0.265
LDL_FC,0.0,0.0,0.213
LDL_FC_by_CE,0.0,0.0,0.153
LDL_FC_pct,0.0,0.0,0.201
LDL_FC_pct_C,0.0,0.0,0.154
LDL_L,0.0,0.0,0.168
LDL_P,0.0,0.0,0.157
LDL_PL,0.0,0.0,0.168
LDL_PL_pct,0.127,0.183,-0.057
LDL_TG,0.152,0.213,-0.053
LDL_TG_pct,0.0,0.0,-0.23
LDL_size,0.004,0.009,0.11
L_HDL_C,0.0,0.0,0.174
L_HDL_CE,0.0,0.0,0.178
L_HDL_CE_pct,0.0,0.0,0.205
L_HDL_CE_pct_C,0.001,0.004,0.119
L_HDL_C_pct,0.0,0.0,0.205
L_HDL_FC,0.0,0.001,0.157
L_HDL_FC_by_CE,0.002,0.005,-0.115
L_HDL_FC_pct,0.003,0.007,0.117
L_HDL_FC_pct_C,0.004,0.009,-0.107
L_HDL_L,0.001,0.002,0.147
L_HDL_P,0.0,0.0,0.17
L_HDL_PL,0.004,0.01,0.12
L_HDL_PL_pct,0.0,0.0,-0.255
L_HDL_TG,0.993,0.995,0.0
L_HDL_TG_pct,0.004,0.009,-0.111
L_LDL_C,0.0,0.0,0.195
L_LDL_CE,0.0,0.0,0.183
L_LDL_CE_pct,0.004,0.009,0.107
L_LDL_CE_pct_C,0.0,0.0,-0.167
L_LDL_C_pct,0.0,0.0,0.256
L_LDL_FC,0.0,0.0,0.222
L_LDL_FC_by_CE,0.0,0.0,0.168
L_LDL_FC_pct,0.0,0.0,0.223
L_LDL_FC_pct_C,0.0,0.0,0.17
L_LDL_L,0.0,0.0,0.183
L_LDL_P,0.0,0.0,0.163
L_LDL_PL,0.0,0.0,0.184
L_LDL_PL_pct,0.46,0.543,-0.028
L_LDL_TG,0.179,0.245,-0.05
L_LDL_TG_pct,0.0,0.0,-0.24
L_VLDL_C,0.972,0.979,-0.001
L_VLDL_CE,0.415,0.498,0.031
L_VLDL_CE_pct,0.001,0.003,0.125
L_VLDL_CE_pct_C,0.0,0.0,0.181
L_VLDL_C_pct,0.031,0.055,0.08
L_VLDL_FC,0.392,0.476,-0.033
L_VLDL_FC_by_CE,0.0,0.0,-0.181
L_VLDL_FC_pct,0.332,0.414,-0.036
L_VLDL_FC_pct_C,0.0,0.0,-0.178
L_VLDL_L,0.407,0.49,-0.032
L_VLDL_P,0.283,0.362,-0.041
L_VLDL_PL,0.193,0.262,-0.05
L_VLDL_PL_pct,0.039,0.066,-0.078
L_VLDL_TG,0.29,0.369,-0.04
L_VLDL_TG_pct,0.788,0.835,-0.01
Lactate,0.922,0.941,-0.004
Leu,0.042,0.071,-0.079
MUFA,0.163,0.226,-0.052
MUFA_pct,0.0,0.0,-0.153
M_HDL_C,0.054,0.088,0.078
M_HDL_CE,0.06,0.096,0.076
M_HDL_CE_pct,0.0,0.001,0.137
M_HDL_CE_pct_C,0.136,0.194,-0.059
M_HDL_C_pct,0.0,0.0,0.162
M_HDL_FC,0.039,0.067,0.085
M_HDL_FC_by_CE,0.131,0.188,0.06
M_HDL_FC_pct,0.0,0.0,0.19
M_HDL_FC_pct_C,0.125,0.18,0.061
M_HDL_L,0.371,0.454,0.036
M_HDL_P,0.128,0.184,0.062
M_HDL_PL,0.857,0.891,0.007
M_HDL_PL_pct,0.0,0.0,-0.221
M_HDL_TG,0.009,0.019,-0.096
M_HDL_TG_pct,0.004,0.008,-0.111
M_LDL_C,0.0,0.0,0.147
M_LDL_CE,0.001,0.002,0.127
M_LDL_CE_pct,0.775,0.825,0.011
M_LDL_CE_pct_C,0.001,0.003,-0.124
M_LDL_C_pct,0.0,0.0,0.208
M_LDL_FC,0.0,0.0,0.19
M_LDL_FC_by_CE,0.001,0.003,0.124
M_LDL_FC_pct,0.0,0.0,0.166
M_LDL_FC_pct_C,0.001,0.003,0.123
M_LDL_L,0.0,0.001,0.135
M_LDL_P,0.0,0.001,0.139
M_LDL_PL,0.0,0.001,0.135
M_LDL_PL_pct,0.406,0.489,-0.031
M_LDL_TG,0.142,0.201,-0.055
M_LDL_TG_pct,0.0,0.0,-0.212
M_VLDL_C,0.0,0.0,0.182
M_VLDL_CE,0.0,0.0,0.217
M_VLDL_CE_pct,0.0,0.0,0.223
M_VLDL_CE_pct_C,0.0,0.0,0.221
M_VLDL_C_pct,0.0,0.0,0.22
M_VLDL_FC,0.0,0.001,0.133
M_VLDL_FC_by_CE,0.0,0.001,-0.138
M_VLDL_FC_pct,0.0,0.0,0.215
M_VLDL_FC_pct_C,0.0,0.0,-0.22
M_VLDL_L,0.055,0.089,0.072
M_VLDL_P,0.01,0.02,0.096
M_VLDL_PL,0.004,0.01,0.106
M_VLDL_PL_pct,0.0,0.0,0.194
M_VLDL_TG,0.616,0.688,-0.019
M_VLDL_TG_pct,0.0,0.0,-0.207
Omega_3,0.607,0.68,-0.02
Omega_3_pct,0.427,0.511,-0.03
Omega_3_pct_PUFA,0.039,0.066,-0.079
Omega_6,0.0,0.0,0.15
Omega_6_by_Omega_3,0.054,0.088,0.074
Omega_6_pct,0.0,0.0,0.187
Omega_6_pct_PUFA,0.033,0.058,0.081
PUFA,0.001,0.004,0.121
PUFA_by_MUFA,0.0,0.0,0.163
