met,PValue,adjPVal,logFC
Acetate,0.523,0.603,-0.023
Acetoacetate,0.019,0.035,-0.086
Acetone,0.763,0.814,0.011
Ala,0.647,0.715,-0.017
Albumin,0.36,0.443,0.033
ApoA1,0.054,0.088,0.077
ApoB,0.001,0.002,0.122
ApoB_by_ApoA1,0.063,0.101,0.069
Cholines,0.011,0.023,0.099
Citrate,0.255,0.331,0.042
Clinical_LDL_C,0.0,0.0,0.165
Creatinine,0.068,0.107,-0.077
DHA,0.612,0.685,0.019
DHA_pct,0.525,0.605,0.024
Gln,0.021,0.038,0.084
Glucose,0.0,0.0,-0.19
Gly,0.0,0.001,0.14
GlycA,0.0,0.0,-0.146
HDL_C,0.001,0.002,0.136
HDL_CE,0.001,0.002,0.14
HDL_CE_pct,0.0,0.0,0.186
HDL_CE_pct_C,0.058,0.093,0.069
HDL_C_pct,0.0,0.0,0.203
HDL_FC,0.004,0.009,0.12
HDL_FC_by_CE,0.061,0.097,-0.069
HDL_FC_pct,0.0,0.0,0.167
HDL_FC_pct_C,0.07,0.109,-0.066
HDL_L,0.032,0.055,0.088
HDL_P,0.016,0.031,0.093
HDL_PL,0.166,0.23,0.056
HDL_PL_pct,0.0,0.0,-0.247
HDL_TG,0.005,0.011,-0.103
HDL_TG_pct,0.0,0.001,-0.137
HDL_size,0.007,0.015,0.11
His,0.697,0.759,0.014
IDL_C,0.0,0.0,0.183
IDL_CE,0.0,0.0,0.181
IDL_CE_pct,0.0,0.0,0.188
IDL_CE_pct_C,0.826,0.866,0.008
IDL_C_pct,0.0,0.0,0.21
IDL_FC,0.0,0.0,0.181
IDL_FC_by_CE,0.834,0.873,-0.008
IDL_FC_pct,0.0,0.0,0.142
IDL_FC_pct_C,0.865,0.897,-0.006
IDL_L,0.0,0.0,0.163
IDL_P,0.0,0.001,0.137
IDL_PL,0.0,0.0,0.157
IDL_PL_pct,0.026,0.048,-0.08
IDL_TG,0.026,0.046,-0.082
IDL_TG_pct,0.0,0.0,-0.23
Ile,0.01,0.02,-0.095
LA,0.0,0.0,0.151
LA_pct,0.0,0.0,0.264
LDL_C,0.0,0.0,0.152
LDL_CE,0.0,0.001,0.137
LDL_CE_pct,0.061,0.097,0.068
LDL_CE_pct_C,0.0,0.0,-0.161
LDL_C_pct,0.0,0.0,0.249
LDL_FC,0.0,0.0,0.187
LDL_FC_by_CE,0.0,0.0,0.162
LDL_FC_pct,0.0,0.0,0.204
LDL_FC_pct_C,0.0,0.0,0.163
LDL_L,0.0,0.0,0.139
LDL_P,0.001,0.002,0.125
LDL_PL,0.0,0.0,0.143
LDL_PL_pct,0.521,0.601,-0.024
LDL_TG,0.036,0.062,-0.077
LDL_TG_pct,0.0,0.0,-0.227
LDL_size,0.016,0.031,0.09
L_HDL_C,0.0,0.001,0.154
L_HDL_CE,0.0,0.0,0.159
L_HDL_CE_pct,0.0,0.0,0.204
L_HDL_CE_pct_C,0.0,0.0,0.143
L_HDL_C_pct,0.0,0.0,0.198
L_HDL_FC,0.001,0.003,0.134
L_HDL_FC_by_CE,0.0,0.0,-0.14
L_HDL_FC_pct,0.021,0.039,0.088
L_HDL_FC_pct_C,0.0,0.001,-0.133
L_HDL_L,0.002,0.006,0.126
L_HDL_P,0.0,0.001,0.148
L_HDL_PL,0.013,0.026,0.103
L_HDL_PL_pct,0.0,0.0,-0.231
L_HDL_TG,0.376,0.459,-0.033
L_HDL_TG_pct,0.001,0.003,-0.122
L_LDL_C,0.0,0.0,0.165
L_LDL_CE,0.0,0.0,0.153
L_LDL_CE_pct,0.025,0.045,0.081
L_LDL_CE_pct_C,0.0,0.0,-0.176
L_LDL_C_pct,0.0,0.0,0.237
L_LDL_FC,0.0,0.0,0.195
L_LDL_FC_by_CE,0.0,0.0,0.177
L_LDL_FC_pct,0.0,0.0,0.224
L_LDL_FC_pct_C,0.0,0.0,0.179
L_LDL_L,0.0,0.0,0.153
L_LDL_P,0.0,0.001,0.131
L_LDL_PL,0.0,0.0,0.157
L_LDL_PL_pct,0.935,0.951,0.003
L_LDL_TG,0.041,0.069,-0.075
L_LDL_TG_pct,0.0,0.0,-0.235
L_VLDL_C,0.58,0.656,-0.021
L_VLDL_CE,0.827,0.867,0.008
L_VLDL_CE_pct,0.002,0.004,0.117
L_VLDL_CE_pct_C,0.0,0.0,0.164
L_VLDL_C_pct,0.036,0.062,0.076
L_VLDL_FC,0.198,0.267,-0.048
L_VLDL_FC_by_CE,0.0,0.0,-0.163
L_VLDL_FC_pct,0.403,0.486,-0.031
L_VLDL_FC_pct_C,0.0,0.0,-0.162
L_VLDL_L,0.208,0.278,-0.047
L_VLDL_P,0.141,0.2,-0.055
L_VLDL_PL,0.098,0.146,-0.062
L_VLDL_PL_pct,0.055,0.089,-0.071
L_VLDL_TG,0.145,0.205,-0.055
L_VLDL_TG_pct,0.715,0.774,-0.013
Lactate,0.537,0.616,0.023
