met,PValue,adjPVal,logFC
Acetate,0.577,0.653,-0.028
Acetoacetate,0.099,0.148,-0.083
Acetone,0.714,0.774,-0.018
Ala,0.533,0.612,-0.031
Albumin,0.799,0.844,0.013
ApoA1,0.497,0.578,0.037
ApoB,0.0,0.001,0.184
ApoB_by_ApoA1,0.006,0.013,0.14
Cholines,0.043,0.072,0.109
Citrate,0.402,0.486,0.043
Clinical_LDL_C,0.0,0.0,0.214
Creatinine,0.284,0.363,-0.063
DHA,0.674,0.739,-0.022
DHA_pct,0.579,0.655,-0.029
Gln,0.438,0.521,0.039
Glucose,0.0,0.0,-0.279
Gly,0.075,0.116,0.094
GlycA,0.026,0.047,-0.112
HDL_C,0.069,0.108,0.102
HDL_CE,0.06,0.096,0.105
HDL_CE_pct,0.0,0.001,0.193
HDL_CE_pct_C,0.183,0.25,0.067
HDL_C_pct,0.0,0.0,0.213
HDL_FC,0.121,0.176,0.088
HDL_FC_by_CE,0.188,0.256,-0.066
HDL_FC_pct,0.001,0.002,0.184
HDL_FC_pct_C,0.201,0.271,-0.064
HDL_L,0.396,0.48,0.048
HDL_P,0.221,0.293,0.066
HDL_PL,0.814,0.856,0.013
HDL_PL_pct,0.0,0.0,-0.269
HDL_TG,0.028,0.051,-0.11
HDL_TG_pct,0.011,0.022,-0.133
HDL_size,0.179,0.245,0.076
His,0.594,0.668,0.027
IDL_C,0.0,0.0,0.232
IDL_CE,0.0,0.0,0.232
IDL_CE_pct,0.0,0.001,0.194
IDL_CE_pct_C,0.588,0.663,0.027
IDL_C_pct,0.0,0.0,0.209
IDL_FC,0.0,0.0,0.228
IDL_FC_by_CE,0.593,0.667,-0.027
IDL_FC_pct,0.011,0.022,0.127
IDL_FC_pct_C,0.611,0.684,-0.025
IDL_L,0.0,0.0,0.217
IDL_P,0.0,0.0,0.193
IDL_PL,0.0,0.0,0.219
IDL_PL_pct,0.356,0.439,-0.046
IDL_TG,0.348,0.43,-0.047
IDL_TG_pct,0.0,0.0,-0.243
Ile,0.004,0.009,-0.148
LA,0.0,0.0,0.214
LA_pct,0.0,0.0,0.343
LDL_C,0.0,0.0,0.197
LDL_CE,0.0,0.001,0.18
LDL_CE_pct,0.333,0.414,0.048
LDL_CE_pct_C,0.0,0.002,-0.179
LDL_C_pct,0.0,0.0,0.247
LDL_FC,0.0,0.0,0.234
LDL_FC_by_CE,0.0,0.001,0.179
LDL_FC_pct,0.0,0.0,0.218
LDL_FC_pct_C,0.0,0.001,0.181
LDL_L,0.0,0.001,0.185
LDL_P,0.0,0.001,0.188
LDL_PL,0.0,0.0,0.195
LDL_PL_pct,0.502,0.583,0.034
LDL_TG,0.296,0.375,-0.053
LDL_TG_pct,0.0,0.0,-0.249
LDL_size,0.0,0.0,0.209
L_HDL_C,0.029,0.051,0.124
L_HDL_CE,0.022,0.04,0.13
L_HDL_CE_pct,0.0,0.0,0.226
L_HDL_CE_pct_C,0.002,0.005,0.154
L_HDL_C_pct,0.0,0.0,0.221
L_HDL_FC,0.068,0.107,0.104
L_HDL_FC_by_CE,0.004,0.009,-0.145
L_HDL_FC_pct,0.032,0.056,0.113
L_HDL_FC_pct_C,0.009,0.019,-0.13
L_HDL_L,0.117,0.17,0.09
L_HDL_P,0.044,0.074,0.115
L_HDL_PL,0.281,0.359,0.062
