met,PValue,adjPVal,logFC
Acetate,0.062,0.099,-0.077
Acetoacetate,0.008,0.016,-0.111
Acetone,0.469,0.551,-0.03
Ala,0.16,0.222,-0.058
Albumin,0.717,0.776,0.015
ApoA1,0.496,0.577,0.031
ApoB,0.001,0.003,0.135
ApoB_by_ApoA1,0.019,0.037,0.099
Cholines,0.094,0.141,0.074
Citrate,0.629,0.7,0.021
Clinical_LDL_C,0.0,0.0,0.169
Creatinine,0.066,0.104,-0.089
DHA,0.996,0.997,0.0
DHA_pct,0.795,0.841,0.011
Gln,0.271,0.348,0.046
Glucose,0.0,0.0,-0.238
Gly,0.034,0.06,0.093
GlycA,0.01,0.021,-0.108
HDL_C,0.059,0.095,0.088
HDL_CE,0.05,0.083,0.091
HDL_CE_pct,0.0,0.001,0.161
HDL_CE_pct_C,0.166,0.23,0.058
HDL_C_pct,0.0,0.0,0.177
HDL_FC,0.114,0.167,0.074
HDL_FC_by_CE,0.171,0.236,-0.057
HDL_FC_pct,0.001,0.002,0.149
HDL_FC_pct_C,0.183,0.249,-0.056
HDL_L,0.386,0.469,0.04
HDL_P,0.29,0.369,0.047
HDL_PL,0.828,0.868,0.01
HDL_PL_pct,0.0,0.0,-0.229
HDL_TG,0.017,0.032,-0.099
HDL_TG_pct,0.01,0.021,-0.111
HDL_size,0.105,0.155,0.076
His,0.716,0.775,0.015
IDL_C,0.0,0.0,0.189
IDL_CE,0.0,0.0,0.185
IDL_CE_pct,0.0,0.001,0.155
IDL_CE_pct_C,0.396,0.479,-0.035
IDL_C_pct,0.0,0.0,0.191
IDL_FC,0.0,0.0,0.195
IDL_FC_by_CE,0.393,0.476,0.035
IDL_FC_pct,0.0,0.0,0.164
IDL_FC_pct_C,0.381,0.464,0.036
IDL_L,0.0,0.0,0.172
IDL_P,0.0,0.001,0.154
IDL_PL,0.0,0.0,0.17
IDL_PL_pct,0.153,0.214,-0.059
IDL_TG,0.12,0.175,-0.065
IDL_TG_pct,0.0,0.0,-0.217
Ile,0.001,0.002,-0.146
LA,0.0,0.001,0.153
LA_pct,0.0,0.0,0.293
LDL_C,0.0,0.001,0.151
LDL_CE,0.001,0.003,0.135
LDL_CE_pct,0.461,0.543,0.03
LDL_CE_pct_C,0.0,0.0,-0.17
LDL_C_pct,0.0,0.0,0.218
LDL_FC,0.0,0.0,0.189
LDL_FC_by_CE,0.0,0.0,0.17
LDL_FC_pct,0.0,0.0,0.203
LDL_FC_pct_C,0.0,0.0,0.172
LDL_L,0.001,0.002,0.14
LDL_P,0.001,0.003,0.136
LDL_PL,0.0,0.001,0.147
LDL_PL_pct,0.743,0.798,0.014
LDL_TG,0.092,0.139,-0.07
LDL_TG_pct,0.0,0.0,-0.217
LDL_size,0.002,0.005,0.132
L_HDL_C,0.015,0.029,0.114
L_HDL_CE,0.011,0.022,0.12
L_HDL_CE_pct,0.0,0.0,0.18
L_HDL_CE_pct_C,0.001,0.002,0.141
L_HDL_C_pct,0.0,0.0,0.172
L_HDL_FC,0.044,0.073,0.095
L_HDL_FC_by_CE,0.001,0.002,-0.138
L_HDL_FC_pct,0.118,0.172,0.068
L_HDL_FC_pct_C,0.001,0.004,-0.132
L_HDL_L,0.065,0.103,0.087
L_HDL_P,0.024,0.044,0.107
L_HDL_PL,0.179,0.245,0.064
L_HDL_PL_pct,0.0,0.0,-0.207
L_HDL_TG,0.418,0.502,-0.035
L_HDL_TG_pct,0.028,0.049,-0.095
L_LDL_C,0.0,0.0,0.164
L_LDL_CE,0.0,0.001,0.151
L_LDL_CE_pct,0.288,0.367,0.044
L_LDL_CE_pct_C,0.0,0.0,-0.183
L_LDL_C_pct,0.0,0.0,0.205
L_LDL_FC,0.0,0.0,0.197
L_LDL_FC_by_CE,0.0,0.0,0.184
L_LDL_FC_pct,0.0,0.0,0.22
L_LDL_FC_pct_C,0.0,0.0,0.186
L_LDL_L,0.0,0.001,0.154
L_LDL_P,0.0,0.001,0.149
L_LDL_PL,0.0,0.0,0.163
L_LDL_PL_pct,0.446,0.529,0.032
L_LDL_TG,0.129,0.185,-0.063
L_LDL_TG_pct,0.0,0.0,-0.22
L_VLDL_C,0.861,0.894,-0.007
L_VLDL_CE,0.509,0.59,0.028
L_VLDL_CE_pct,0.0,0.0,0.172
L_VLDL_CE_pct_C,0.0,0.0,0.201
L_VLDL_C_pct,0.001,0.003,0.135
L_VLDL_FC,0.329,0.41,-0.042
L_VLDL_FC_by_CE,0.0,0.0,-0.202
L_VLDL_FC_pct,0.601,0.674,0.022
L_VLDL_FC_pct_C,0.0,0.0,-0.195
L_VLDL_L,0.233,0.307,-0.051
L_VLDL_P,0.194,0.263,-0.055
L_VLDL_PL,0.197,0.266,-0.055
L_VLDL_PL_pct,0.677,0.742,-0.018
L_VLDL_TG,0.096,0.144,-0.071
L_VLDL_TG_pct,0.087,0.132,-0.071
Lactate,0.257,0.333,0.048
Leu,0.018,0.034,-0.102
MUFA,0.04,0.067,-0.086
MUFA_pct,0.0,0.001,-0.163
M_HDL_C,0.524,0.604,0.029
M_HDL_CE,0.521,0.601,0.029
M_HDL_CE_pct,0.002,0.005,0.129
M_HDL_CE_pct_C,0.854,0.889,-0.008
M_HDL_C_pct,0.001,0.003,0.143
M_HDL_FC,0.543,0.621,0.028
M_HDL_FC_by_CE,0.842,0.879,0.009
M_HDL_FC_pct,0.005,0.012,0.13
M_HDL_FC_pct_C,0.825,0.866,0.01
M_HDL_L,0.775,0.825,-0.013
M_HDL_P,0.76,0.812,0.014
M_HDL_PL,0.381,0.464,-0.039
M_HDL_PL_pct,0.0,0.0,-0.192
M_HDL_TG,0.009,0.019,-0.108
M_HDL_TG_pct,0.02,0.037,-0.099
M_LDL_C,0.004,0.009,0.12
M_LDL_CE,0.016,0.031,0.099
M_LDL_CE_pct,0.615,0.687,-0.021
M_LDL_CE_pct_C,0.001,0.003,-0.137
M_LDL_C_pct,0.0,0.0,0.173
M_LDL_FC,0.0,0.0,0.17
M_LDL_FC_by_CE,0.001,0.003,0.138
M_LDL_FC_pct,0.0,0.0,0.173
M_LDL_FC_pct_C,0.001,0.003,0.139
M_LDL_L,0.007,0.016,0.111
M_LDL_P,0.011,0.023,0.105
M_LDL_PL,0.005,0.011,0.116
M_LDL_PL_pct,0.6,0.674,0.022
M_LDL_TG,0.073,0.114,-0.075
M_LDL_TG_pct,0.0,0.0,-0.206
M_VLDL_C,0.0,0.0,0.165
M_VLDL_CE,0.0,0.0,0.202
M_VLDL_CE_pct,0.0,0.0,0.221
M_VLDL_CE_pct_C,0.0,0.0,0.206
M_VLDL_C_pct,0.0,0.0,0.221
M_VLDL_FC,0.006,0.013,0.114
M_VLDL_FC_by_CE,0.008,0.017,-0.11
M_VLDL_FC_pct,0.0,0.0,0.219
M_VLDL_FC_pct_C,0.0,0.0,-0.212
M_VLDL_L,0.248,0.324,0.048
M_VLDL_P,0.059,0.095,0.078
M_VLDL_PL,0.035,0.061,0.087
M_VLDL_PL_pct,0.0,0.0,0.207
M_VLDL_TG,0.281,0.359,-0.046
M_VLDL_TG_pct,0.0,0.0,-0.214
Omega_3,0.267,0.344,-0.048
Omega_3_pct,0.328,0.409,-0.042
Omega_3_pct_PUFA,0.023,0.043,-0.097
Omega_6,0.005,0.011,0.12
Omega_6_by_Omega_3,0.046,0.076,0.085
Omega_6_pct,0.0,0.0,0.225
Omega_6_pct_PUFA,0.016,0.031,0.103
PUFA,0.041,0.07,0.087
PUFA_by_MUFA,0.0,0.0,0.177
PUFA_pct,0.0,0.0,0.199
Phe,0.023,0.042,-0.094
Phosphatidylc,0.168,0.232,0.061
Phosphoglyc,0.407,0.49,0.037
Pyruvate,0.458,0.54,-0.032
Remnant_C,0.001,0.004,0.133
SFA,0.152,0.213,-0.06
SFA_pct,0.001,0.003,-0.137
S_HDL_C,0.7,0.762,0.016
S_HDL_CE,0.66,0.727,0.018
S_HDL_CE_pct,0.002,0.005,0.131
S_HDL_CE_pct_C,0.731,0.788,0.015
S_HDL_C_pct,0.0,0.0,0.169
S_HDL_FC,0.866,0.898,0.007
S_HDL_FC_by_CE,0.732,0.789,-0.015
S_HDL_FC_pct,0.001,0.003,0.143
S_HDL_FC_pct_C,0.736,0.792,-0.015
S_HDL_L,0.268,0.346,-0.046
S_HDL_P,0.869,0.9,0.007
S_HDL_PL,0.117,0.17,-0.066
S_HDL_PL_pct,0.002,0.005,-0.135
S_HDL_TG,0.004,0.009,-0.122
S_HDL_TG_pct,0.005,0.012,-0.121
S_LDL_C,0.001,0.004,0.132
S_LDL_CE,0.008,0.018,0.109
S_LDL_CE_pct,0.897,0.922,0.005
S_LDL_CE_pct_C,0.003,0.007,-0.124
S_LDL_C_pct,0.0,0.0,0.167
S_LDL_FC,0.0,0.0,0.179
S_LDL_FC_by_CE,0.003,0.007,0.124
S_LDL_FC_pct,0.0,0.0,0.161
S_LDL_FC_pct_C,0.003,0.007,0.124
S_LDL_L,0.004,0.009,0.12
S_LDL_P,0.007,0.015,0.112
S_LDL_PL,0.001,0.004,0.132
S_LDL_PL_pct,0.969,0.977,0.002
S_LDL_TG,0.042,0.071,-0.085
S_LDL_TG_pct,0.0,0.0,-0.193
S_VLDL_C,0.024,0.043,0.094
S_VLDL_CE,0.062,0.099,0.077
S_VLDL_CE_pct,0.0,0.0,0.172
S_VLDL_CE_pct_C,0.003,0.008,-0.126
S_VLDL_C_pct,0.0,0.0,0.208
S_VLDL_FC,0.004,0.008,0.121
S_VLDL_FC_by_CE,0.004,0.01,0.123
S_VLDL_FC_pct,0.0,0.0,0.225
S_VLDL_FC_pct_C,0.002,0.006,0.131
S_VLDL_L,0.648,0.717,0.019
S_VLDL_P,0.856,0.89,0.008
S_VLDL_PL,0.056,0.091,0.079
S_VLDL_PL_pct,0.0,0.0,0.226
S_VLDL_TG,0.049,0.081,-0.083
S_VLDL_TG_pct,0.0,0.0,-0.211
Sphingomyelins,0.002,0.005,0.137
TG_by_PG,0.006,0.013,-0.121
Total_BCAA,0.003,0.007,-0.128
Total_C,0.0,0.001,0.163
Total_CE,0.0,0.0,0.166
Total_CE_pct,0.0,0.0,0.209
Total_CE_pct_C,0.762,0.814,-0.013
Total_C_pct,0.0,0.0,0.222
Total_FA,0.549,0.628,-0.025
Total_FC,0.0,0.001,0.153
Total_FC_by_CE,0.757,0.81,0.013
Total_FC_pct,0.0,0.0,0.232
Total_FC_pct_C,0.735,0.792,0.014
Total_L,0.061,0.097,0.079
Total_P,0.125,0.18,0.068
Total_PL,0.069,0.109,0.079
Total_PL_pct,0.268,0.346,-0.048
Total_TG,0.03,0.052,-0.092
Total_TG_pct,0.0,0.001,-0.159
Tyr,0.093,0.14,-0.07
Unsaturation,0.005,0.011,0.122
VLDL_C,0.099,0.147,0.068
VLDL_CE,0.021,0.038,0.096
VLDL_CE_pct,0.0,0.0,0.198
VLDL_CE_pct_C,0.0,0.0,0.188
VLDL_C_pct,0.0,0.0,0.201
VLDL_FC,0.466,0.549,0.03
VLDL_FC_by_CE,0.0,0.0,-0.189
VLDL_FC_pct,0.0,0.0,0.208
VLDL_FC_pct_C,0.0,0.0,-0.185
VLDL_L,0.534,0.613,-0.026
VLDL_P,0.421,0.504,0.033
VLDL_PL,0.945,0.959,0.003
VLDL_PL_pct,0.0,0.0,0.175
VLDL_TG,0.038,0.065,-0.088
VLDL_TG_pct,0.0,0.0,-0.19
VLDL_size,0.027,0.048,-0.097
Val,0.004,0.009,-0.123
XL_HDL_C,0.002,0.006,0.14
XL_HDL_CE,0.002,0.006,0.141
XL_HDL_CE_pct,0.005,0.011,0.117
XL_HDL_CE_pct_C,0.051,0.084,0.087
XL_HDL_C_pct,0.133,0.19,0.066
XL_HDL_FC,0.004,0.01,0.127
XL_HDL_FC_by_CE,0.906,0.93,0.005
XL_HDL_FC_pct,0.292,0.372,-0.049
XL_HDL_FC_pct_C,0.016,0.031,-0.111
XL_HDL_L,0.012,0.024,0.116
XL_HDL_P,0.006,0.013,0.127
XL_HDL_PL,0.03,0.054,0.1
XL_HDL_PL_pct,0.806,0.85,0.011
