met,PValue,adjPVal,logFC
Acetate,0.859,0.893,-0.008
Acetoacetate,0.033,0.057,-0.091
Acetone,0.763,0.814,-0.013
Ala,0.0,0.0,-0.175
Albumin,0.01,0.02,0.11
ApoA1,0.432,0.515,0.037
ApoB,0.0,0.001,0.15
ApoB_by_ApoA1,0.014,0.027,0.107
Cholines,0.148,0.208,0.066
Citrate,0.827,0.867,-0.01
Clinical_LDL_C,0.0,0.0,0.195
Creatinine,0.398,0.481,-0.042
DHA,0.505,0.586,-0.03
DHA_pct,0.836,0.874,0.009
Gln,0.0,0.001,0.15
Glucose,0.0,0.0,-0.223
Gly,0.0,0.0,0.212
GlycA,0.0,0.0,-0.205
HDL_C,0.005,0.012,0.134
HDL_CE,0.003,0.008,0.139
HDL_CE_pct,0.0,0.0,0.259
HDL_CE_pct_C,0.014,0.028,0.105
HDL_C_pct,0.0,0.0,0.281
HDL_FC,0.023,0.041,0.11
HDL_FC_by_CE,0.015,0.029,-0.104
HDL_FC_pct,0.0,0.0,0.22
HDL_FC_pct_C,0.017,0.032,-0.102
HDL_L,0.224,0.297,0.058
HDL_P,0.388,0.471,0.039
HDL_PL,0.814,0.856,0.011
HDL_PL_pct,0.0,0.0,-0.35
HDL_TG,0.0,0.0,-0.167
HDL_TG_pct,0.0,0.0,-0.186
HDL_size,0.001,0.003,0.158
His,0.043,0.073,0.086
IDL_C,0.0,0.0,0.223
IDL_CE,0.0,0.0,0.219
IDL_CE_pct,0.0,0.0,0.224
IDL_CE_pct_C,0.427,0.51,-0.034
IDL_C_pct,0.0,0.0,0.267
IDL_FC,0.0,0.0,0.229
IDL_FC_by_CE,0.422,0.505,0.034
IDL_FC_pct,0.0,0.0,0.217
IDL_FC_pct_C,0.406,0.489,0.035
IDL_L,0.0,0.0,0.197
IDL_P,0.0,0.0,0.173
IDL_PL,0.0,0.0,0.201
IDL_PL_pct,0.324,0.405,-0.042
IDL_TG,0.002,0.005,-0.132
IDL_TG_pct,0.0,0.0,-0.316
Ile,0.011,0.023,-0.11
LA,0.0,0.0,0.165
LA_pct,0.0,0.0,0.382
