met,PValue,adjPVal,logFC
Acetate,0.154,0.216,-0.063
Acetoacetate,0.005,0.011,-0.126
Acetone,0.426,0.509,-0.036
Ala,0.828,0.867,-0.01
Albumin,0.436,0.519,0.035
ApoA1,0.507,0.587,0.032
ApoB,0.0,0.0,0.193
ApoB_by_ApoA1,0.001,0.003,0.149
Cholines,0.022,0.04,0.109
Citrate,0.484,0.566,0.032
Clinical_LDL_C,0.0,0.0,0.225
Creatinine,0.153,0.214,-0.074
DHA,0.928,0.946,-0.004
DHA_pct,0.696,0.758,-0.018
Gln,0.037,0.064,0.093
Glucose,0.0,0.0,-0.224
Gly,0.035,0.061,0.099
GlycA,0.013,0.026,-0.111
HDL_C,0.092,0.139,0.084
HDL_CE,0.085,0.129,0.085
HDL_CE_pct,0.0,0.001,0.163
HDL_CE_pct_C,0.36,0.442,0.041
HDL_C_pct,0.0,0.0,0.183
HDL_FC,0.135,0.192,0.075
HDL_FC_by_CE,0.369,0.451,-0.04
HDL_FC_pct,0.0,0.001,0.175
HDL_FC_pct_C,0.39,0.473,-0.038
HDL_L,0.479,0.561,0.035
HDL_P,0.195,0.264,0.062
HDL_PL,0.948,0.961,0.003
HDL_PL_pct,0.0,0.0,-0.244
HDL_TG,0.032,0.057,-0.095
HDL_TG_pct,0.019,0.036,-0.108
HDL_size,0.308,0.388,0.051
His,0.682,0.746,0.018
IDL_C,0.0,0.0,0.235
IDL_CE,0.0,0.0,0.233
IDL_CE_pct,0.0,0.0,0.193
IDL_CE_pct_C,0.807,0.851,0.011
IDL_C_pct,0.0,0.0,0.215
IDL_FC,0.0,0.0,0.235
IDL_FC_by_CE,0.814,0.856,-0.01
IDL_FC_pct,0.001,0.003,0.145
IDL_FC_pct_C,0.84,0.877,-0.009
IDL_L,0.0,0.0,0.219
IDL_P,0.0,0.0,0.196
IDL_PL,0.0,0.0,0.217
IDL_PL_pct,0.091,0.137,-0.075
IDL_TG,0.396,0.479,-0.038
IDL_TG_pct,0.0,0.0,-0.239
Ile,0.003,0.007,-0.134
LA,0.0,0.0,0.192
LA_pct,0.0,0.0,0.282
LDL_C,0.0,0.0,0.21
LDL_CE,0.0,0.0,0.195
LDL_CE_pct,0.114,0.167,0.07
LDL_CE_pct_C,0.0,0.001,-0.164
LDL_C_pct,0.0,0.0,0.253
LDL_FC,0.0,0.0,0.243
LDL_FC_by_CE,0.0,0.001,0.164
LDL_FC_pct,0.0,0.0,0.207
LDL_FC_pct_C,0.0,0.001,0.165
LDL_L,0.0,0.0,0.199
LDL_P,0.0,0.0,0.198
LDL_PL,0.0,0.0,0.206
LDL_PL_pct,0.998,0.998,0.0
LDL_TG,0.449,0.531,-0.034
LDL_TG_pct,0.0,0.0,-0.241
LDL_size,0.001,0.003,0.148
L_HDL_C,0.051,0.084,0.098
L_HDL_CE,0.041,0.069,0.103
L_HDL_CE_pct,0.0,0.0,0.19
L_HDL_CE_pct_C,0.009,0.019,0.116
L_HDL_C_pct,0.0,0.0,0.188
L_HDL_FC,0.106,0.156,0.082
L_HDL_FC_by_CE,0.016,0.031,-0.107
L_HDL_FC_pct,0.024,0.044,0.105
L_HDL_FC_pct_C,0.033,0.057,-0.095
L_HDL_L,0.187,0.254,0.067
L_HDL_P,0.066,0.104,0.093
L_HDL_PL,0.417,0.5,0.041
L_HDL_PL_pct,0.0,0.0,-0.22
L_HDL_TG,0.259,0.336,-0.052
L_HDL_TG_pct,0.033,0.058,-0.099
L_LDL_C,0.0,0.0,0.223
L_LDL_CE,0.0,0.0,0.211
L_LDL_CE_pct,0.02,0.038,0.102
L_LDL_CE_pct_C,0.0,0.001,-0.17
L_LDL_C_pct,0.0,0.0,0.253
L_LDL_FC,0.0,0.0,0.248
L_LDL_FC_by_CE,0.0,0.001,0.17
L_LDL_FC_pct,0.0,0.0,0.223
L_LDL_FC_pct_C,0.0,0.001,0.171
L_LDL_L,0.0,0.0,0.212
L_LDL_P,0.0,0.0,0.213
L_LDL_PL,0.0,0.0,0.216
L_LDL_PL_pct,0.918,0.939,-0.005
L_LDL_TG,0.517,0.597,-0.029
L_LDL_TG_pct,0.0,0.0,-0.246
L_VLDL_C,0.429,0.512,0.036
L_VLDL_CE,0.119,0.172,0.07
L_VLDL_CE_pct,0.002,0.004,0.143
L_VLDL_CE_pct_C,0.0,0.0,0.199
L_VLDL_C_pct,0.031,0.054,0.096
L_VLDL_FC,0.978,0.984,0.001
L_VLDL_FC_by_CE,0.0,0.0,-0.199
L_VLDL_FC_pct,0.531,0.61,-0.028
L_VLDL_FC_pct_C,0.0,0.0,-0.195
L_VLDL_L,0.972,0.979,-0.002
L_VLDL_P,0.741,0.796,-0.015
L_VLDL_PL,0.759,0.811,-0.014
L_VLDL_PL_pct,0.49,0.571,-0.031
L_VLDL_TG,0.712,0.772,-0.017
L_VLDL_TG_pct,0.493,0.575,-0.03
Lactate,0.097,0.145,0.075
Leu,0.097,0.145,-0.077
MUFA,0.42,0.503,-0.036
MUFA_pct,0.005,0.012,-0.127
M_HDL_C,0.625,0.696,0.024
M_HDL_CE,0.639,0.708,0.023
M_HDL_CE_pct,0.004,0.01,0.129
M_HDL_CE_pct_C,0.566,0.643,-0.027
M_HDL_C_pct,0.001,0.004,0.146
M_HDL_FC,0.572,0.648,0.028
M_HDL_FC_by_CE,0.555,0.633,0.028
M_HDL_FC_pct,0.003,0.007,0.148
M_HDL_FC_pct_C,0.54,0.619,0.029
M_HDL_L,0.71,0.77,-0.018
M_HDL_P,0.847,0.883,0.009
M_HDL_PL,0.359,0.441,-0.044
M_HDL_PL_pct,0.0,0.0,-0.192
M_HDL_TG,0.014,0.028,-0.109
M_HDL_TG_pct,0.025,0.045,-0.102
M_LDL_C,0.0,0.0,0.177
M_LDL_CE,0.0,0.002,0.155
M_LDL_CE_pct,0.723,0.781,-0.016
M_LDL_CE_pct_C,0.002,0.006,-0.139
M_LDL_C_pct,0.0,0.0,0.184
M_LDL_FC,0.0,0.0,0.226
M_LDL_FC_by_CE,0.002,0.005,0.14
M_LDL_FC_pct,0.0,0.0,0.176
M_LDL_FC_pct_C,0.002,0.005,0.14
M_LDL_L,0.0,0.001,0.169
M_LDL_P,0.0,0.001,0.157
M_LDL_PL,0.0,0.0,0.178
M_LDL_PL_pct,0.322,0.403,0.044
M_LDL_TG,0.408,0.492,-0.037
M_LDL_TG_pct,0.0,0.0,-0.229
M_VLDL_C,0.0,0.0,0.219
M_VLDL_CE,0.0,0.0,0.25
M_VLDL_CE_pct,0.0,0.0,0.228
M_VLDL_CE_pct_C,0.0,0.0,0.216
M_VLDL_C_pct,0.0,0.0,0.228
M_VLDL_FC,0.0,0.0,0.17
M_VLDL_FC_by_CE,0.01,0.02,-0.115
M_VLDL_FC_pct,0.0,0.0,0.227
M_VLDL_FC_pct_C,0.0,0.0,-0.223
M_VLDL_L,0.018,0.034,0.105
M_VLDL_P,0.003,0.008,0.13
M_VLDL_PL,0.001,0.003,0.144
M_VLDL_PL_pct,0.0,0.0,0.22
M_VLDL_TG,0.893,0.919,0.006
M_VLDL_TG_pct,0.0,0.0,-0.216
Omega_3,0.304,0.385,-0.047
