met,PValue,adjPVal,logFC
Acetate,0.024,0.044,-0.094
Acetoacetate,0.006,0.013,-0.116
Acetone,0.312,0.392,-0.043
Ala,0.027,0.049,-0.093
Albumin,0.671,0.737,0.018
ApoA1,0.382,0.465,0.04
ApoB,0.0,0.0,0.172
ApoB_by_ApoA1,0.002,0.005,0.131
Cholines,0.035,0.061,0.094
Citrate,0.923,0.942,-0.004
Clinical_LDL_C,0.0,0.0,0.205
Creatinine,0.004,0.01,-0.14
DHA,0.79,0.837,0.012
DHA_pct,0.657,0.724,0.019
Gln,0.01,0.02,0.109
Glucose,0.0,0.0,-0.253
Gly,0.004,0.009,0.128
GlycA,0.0,0.0,-0.186
HDL_C,0.014,0.027,0.115
HDL_CE,0.013,0.026,0.115
HDL_CE_pct,0.0,0.0,0.19
HDL_CE_pct_C,0.425,0.509,0.034
HDL_C_pct,0.0,0.0,0.218
HDL_FC,0.02,0.037,0.11
HDL_FC_by_CE,0.435,0.518,-0.033
HDL_FC_pct,0.0,0.0,0.224
HDL_FC_pct_C,0.459,0.542,-0.031
HDL_L,0.221,0.293,0.057
HDL_P,0.242,0.316,0.052
HDL_PL,0.698,0.76,0.018
HDL_PL_pct,0.0,0.0,-0.294
HDL_TG,0.006,0.014,-0.114
HDL_TG_pct,0.002,0.006,-0.132
HDL_size,0.012,0.024,0.118
His,0.653,0.721,0.019
IDL_C,0.0,0.0,0.22
IDL_CE,0.0,0.0,0.216
IDL_CE_pct,0.0,0.0,0.176
IDL_CE_pct_C,0.687,0.75,-0.017
IDL_C_pct,0.0,0.0,0.207
IDL_FC,0.0,0.0,0.224
IDL_FC_by_CE,0.676,0.741,0.017
IDL_FC_pct,0.0,0.0,0.162
IDL_FC_pct_C,0.638,0.707,0.02
IDL_L,0.0,0.0,0.205
IDL_P,0.0,0.0,0.182
IDL_PL,0.0,0.0,0.209
IDL_PL_pct,0.334,0.415,-0.04
IDL_TG,0.222,0.295,-0.051
IDL_TG_pct,0.0,0.0,-0.243
Ile,0.025,0.045,-0.095
LA,0.0,0.0,0.184
LA_pct,0.0,0.0,0.328
LDL_C,0.0,0.0,0.192
LDL_CE,0.0,0.0,0.175
LDL_CE_pct,0.097,0.146,0.069
LDL_CE_pct_C,0.0,0.0,-0.177
LDL_C_pct,0.0,0.0,0.267
LDL_FC,0.0,0.0,0.229
LDL_FC_by_CE,0.0,0.0,0.178
LDL_FC_pct,0.0,0.0,0.223
LDL_FC_pct_C,0.0,0.0,0.179
LDL_L,0.0,0.0,0.179
LDL_P,0.0,0.0,0.18
LDL_PL,0.0,0.0,0.181
LDL_PL_pct,0.301,0.381,-0.044
LDL_TG,0.253,0.329,-0.048
LDL_TG_pct,0.0,0.0,-0.238
LDL_size,0.001,0.002,0.147
L_HDL_C,0.001,0.003,0.157
L_HDL_CE,0.001,0.002,0.162
L_HDL_CE_pct,0.0,0.0,0.217
L_HDL_CE_pct_C,0.001,0.002,0.14
L_HDL_C_pct,0.0,0.0,0.213
L_HDL_FC,0.004,0.009,0.137
L_HDL_FC_by_CE,0.001,0.003,-0.135
L_HDL_FC_pct,0.014,0.027,0.108
L_HDL_FC_pct_C,0.003,0.006,-0.126
L_HDL_L,0.01,0.021,0.122
L_HDL_P,0.002,0.005,0.149
L_HDL_PL,0.057,0.092,0.091
L_HDL_PL_pct,0.0,0.0,-0.269
L_HDL_TG,0.481,0.562,-0.031
L_HDL_TG_pct,0.008,0.017,-0.115
L_LDL_C,0.0,0.0,0.209
L_LDL_CE,0.0,0.0,0.197
L_LDL_CE_pct,0.005,0.011,0.117
L_LDL_CE_pct_C,0.0,0.0,-0.178
L_LDL_C_pct,0.0,0.0,0.275
L_LDL_FC,0.0,0.0,0.237
L_LDL_FC_by_CE,0.0,0.0,0.178
L_LDL_FC_pct,0.0,0.0,0.239
L_LDL_FC_pct_C,0.0,0.0,0.181
L_LDL_L,0.0,0.0,0.195
L_LDL_P,0.0,0.0,0.193
L_LDL_PL,0.0,0.0,0.192
L_LDL_PL_pct,0.171,0.236,-0.058
L_LDL_TG,0.328,0.409,-0.041
L_LDL_TG_pct,0.0,0.0,-0.245
L_VLDL_C,0.937,0.953,-0.003
L_VLDL_CE,0.4,0.483,0.036
L_VLDL_CE_pct,0.0,0.0,0.181
L_VLDL_CE_pct_C,0.0,0.0,0.237
L_VLDL_C_pct,0.002,0.005,0.129
L_VLDL_FC,0.334,0.415,-0.042
L_VLDL_FC_by_CE,0.0,0.0,-0.237
L_VLDL_FC_pct,0.73,0.787,-0.014
L_VLDL_FC_pct_C,0.0,0.0,-0.232
L_VLDL_L,0.294,0.374,-0.045
L_VLDL_P,0.231,0.305,-0.051
L_VLDL_PL,0.174,0.239,-0.059
L_VLDL_PL_pct,0.12,0.175,-0.066
L_VLDL_TG,0.155,0.216,-0.061
L_VLDL_TG_pct,0.244,0.319,-0.048
Lactate,0.551,0.629,-0.025
Leu,0.15,0.211,-0.063
MUFA,0.054,0.087,-0.081
MUFA_pct,0.0,0.0,-0.175
M_HDL_C,0.565,0.642,0.026
M_HDL_CE,0.591,0.665,0.024
M_HDL_CE_pct,0.0,0.001,0.151
M_HDL_CE_pct_C,0.429,0.512,-0.036
M_HDL_C_pct,0.0,0.0,0.172
M_HDL_FC,0.473,0.555,0.033
M_HDL_FC_by_CE,0.421,0.504,0.036
M_HDL_FC_pct,0.0,0.001,0.176
M_HDL_FC_pct_C,0.412,0.495,0.037
M_HDL_L,0.581,0.657,-0.025
M_HDL_P,0.885,0.913,0.007
M_HDL_PL,0.201,0.27,-0.058
M_HDL_PL_pct,0.0,0.0,-0.231
M_HDL_TG,0.001,0.003,-0.138
M_HDL_TG_pct,0.004,0.009,-0.124
M_LDL_C,0.0,0.001,0.15
M_LDL_CE,0.003,0.007,0.126
