met,PValue,adjPVal,logFC
Acetate,0.807,0.851,-0.009
Acetoacetate,0.055,0.09,-0.069
Acetone,0.819,0.86,-0.008
Ala,0.012,0.024,-0.091
Albumin,0.136,0.193,-0.054
ApoA1,0.418,0.501,-0.032
ApoB,0.029,0.051,0.079
ApoB_by_ApoA1,0.019,0.036,0.086
Cholines,0.901,0.925,0.005
Citrate,0.294,0.374,0.039
Clinical_LDL_C,0.015,0.03,0.088
Creatinine,0.096,0.144,-0.07
DHA,0.536,0.615,-0.024
DHA_pct,0.998,0.998,0.0
Gln,0.17,0.235,0.05
Glucose,0.0,0.0,-0.209
Gly,0.101,0.15,0.063
GlycA,0.001,0.003,-0.12
HDL_C,0.649,0.717,0.018
HDL_CE,0.612,0.685,0.02
HDL_CE_pct,0.002,0.006,0.112
HDL_CE_pct_C,0.282,0.361,0.039
HDL_C_pct,0.001,0.003,0.123
HDL_FC,0.786,0.833,0.011
HDL_FC_by_CE,0.288,0.367,-0.039
HDL_FC_pct,0.007,0.015,0.105
HDL_FC_pct_C,0.304,0.384,-0.038
HDL_L,0.633,0.703,-0.019
HDL_P,0.444,0.527,-0.03
HDL_PL,0.301,0.381,-0.042
HDL_PL_pct,0.0,0.0,-0.165
HDL_TG,0.024,0.044,-0.082
HDL_TG_pct,0.064,0.101,-0.07
HDL_size,0.204,0.274,0.052
His,0.154,0.215,-0.052
IDL_C,0.01,0.021,0.096
IDL_CE,0.012,0.024,0.094
IDL_CE_pct,0.014,0.028,0.09
IDL_CE_pct_C,0.581,0.656,-0.02
IDL_C_pct,0.003,0.007,0.11
IDL_FC,0.008,0.016,0.099
IDL_FC_by_CE,0.579,0.655,0.02
IDL_FC_pct,0.009,0.019,0.094
IDL_FC_pct_C,0.571,0.647,0.02
IDL_L,0.02,0.038,0.086
IDL_P,0.022,0.041,0.083
IDL_PL,0.012,0.025,0.093
IDL_PL_pct,0.855,0.889,0.007
IDL_TG,0.125,0.18,-0.056
IDL_TG_pct,0.0,0.001,-0.14
Ile,0.004,0.01,-0.105
LA,0.014,0.028,0.09
LA_pct,0.0,0.0,0.211
LDL_C,0.034,0.06,0.077
LDL_CE,0.064,0.101,0.067
LDL_CE_pct,0.568,0.644,0.021
LDL_CE_pct_C,0.003,0.007,-0.11
LDL_C_pct,0.0,0.0,0.142
LDL_FC,0.006,0.013,0.1
LDL_FC_by_CE,0.003,0.007,0.11
LDL_FC_pct,0.0,0.001,0.131
LDL_FC_pct_C,0.003,0.007,0.11
LDL_L,0.057,0.093,0.069
LDL_P,0.025,0.045,0.081
LDL_PL,0.045,0.075,0.072
LDL_PL_pct,0.822,0.863,0.008
LDL_TG,0.095,0.143,-0.061
LDL_TG_pct,0.0,0.001,-0.139
LDL_size,0.033,0.057,0.079
L_HDL_C,0.118,0.172,0.064
L_HDL_CE,0.095,0.142,0.068
L_HDL_CE_pct,0.0,0.0,0.154
L_HDL_CE_pct_C,0.002,0.005,0.112
L_HDL_C_pct,0.0,0.0,0.148
L_HDL_FC,0.234,0.308,0.049
L_HDL_FC_by_CE,0.003,0.007,-0.107
L_HDL_FC_pct,0.099,0.147,0.063
L_HDL_FC_pct_C,0.006,0.013,-0.1
L_HDL_L,0.352,0.434,0.038
L_HDL_P,0.176,0.242,0.056
L_HDL_PL,0.671,0.737,0.018
L_HDL_PL_pct,0.0,0.0,-0.175
L_HDL_TG,0.266,0.344,-0.042
L_HDL_TG_pct,0.055,0.09,-0.072
L_LDL_C,0.021,0.039,0.084
L_LDL_CE,0.037,0.063,0.076
L_LDL_CE_pct,0.283,0.362,0.039
L_LDL_CE_pct_C,0.001,0.004,-0.119
L_LDL_C_pct,0.0,0.0,0.143
L_LDL_FC,0.005,0.011,0.104
L_LDL_FC_by_CE,0.001,0.004,0.119
L_LDL_FC_pct,0.0,0.0,0.145
L_LDL_FC_pct_C,0.001,0.003,0.12
L_LDL_L,0.037,0.064,0.076
L_LDL_P,0.013,0.026,0.09
L_LDL_PL,0.031,0.054,0.078
L_LDL_PL_pct,0.88,0.909,0.005
L_LDL_TG,0.097,0.145,-0.06
L_LDL_TG_pct,0.0,0.0,-0.144
L_VLDL_C,0.93,0.948,-0.003
L_VLDL_CE,0.609,0.681,0.019
L_VLDL_CE_pct,0.006,0.013,0.102
L_VLDL_CE_pct_C,0.001,0.002,0.133
L_VLDL_C_pct,0.039,0.067,0.075
L_VLDL_FC,0.506,0.587,-0.025
L_VLDL_FC_by_CE,0.001,0.002,-0.133
L_VLDL_FC_pct,0.926,0.944,-0.003
L_VLDL_FC_pct_C,0.001,0.002,-0.132
L_VLDL_L,0.481,0.563,-0.026
L_VLDL_P,0.393,0.477,-0.032
L_VLDL_PL,0.403,0.486,-0.031
L_VLDL_PL_pct,0.493,0.574,-0.025
L_VLDL_TG,0.331,0.412,-0.036
L_VLDL_TG_pct,0.281,0.36,-0.039
Lactate,0.489,0.571,0.026
Leu,0.007,0.015,-0.102
MUFA,0.053,0.087,-0.07
MUFA_pct,0.005,0.011,-0.106
M_HDL_C,0.381,0.464,-0.035
M_HDL_CE,0.385,0.468,-0.034
M_HDL_CE_pct,0.017,0.033,0.087
M_HDL_CE_pct_C,0.55,0.628,0.023
M_HDL_C_pct,0.016,0.031,0.09
M_HDL_FC,0.381,0.464,-0.035
M_HDL_FC_by_CE,0.553,0.631,-0.023
M_HDL_FC_pct,0.161,0.224,0.057
M_HDL_FC_pct_C,0.559,0.636,-0.023
M_HDL_L,0.092,0.139,-0.066
M_HDL_P,0.229,0.302,-0.048
M_HDL_PL,0.031,0.055,-0.084
M_HDL_PL_pct,0.002,0.005,-0.117
M_HDL_TG,0.01,0.02,-0.094
M_HDL_TG_pct,0.092,0.139,-0.063
M_LDL_C,0.114,0.166,0.057
M_LDL_CE,0.214,0.286,0.045
M_LDL_CE_pct,0.599,0.672,-0.019
M_LDL_CE_pct_C,0.014,0.028,-0.091
M_LDL_C_pct,0.004,0.009,0.104
M_LDL_FC,0.017,0.032,0.086
M_LDL_FC_by_CE,0.014,0.028,0.091
M_LDL_FC_pct,0.003,0.007,0.11
