met,PValue,adjPVal,logFC
Acetate,0.077,0.119,-0.109
Acetoacetate,0.016,0.031,-0.149
Acetone,0.466,0.548,-0.045
Ala,0.321,0.402,-0.061
Albumin,0.84,0.878,0.012
ApoA1,0.511,0.592,-0.045
ApoB,0.022,0.041,0.141
ApoB_by_ApoA1,0.018,0.035,0.148
Cholines,0.843,0.879,0.013
Citrate,0.601,0.675,-0.033
Clinical_LDL_C,0.007,0.016,0.166
Creatinine,0.212,0.283,-0.09
DHA,0.364,0.447,-0.059
DHA_pct,0.667,0.733,-0.027
Gln,0.946,0.96,0.004
Glucose,0.0,0.0,-0.277
Gly,0.318,0.398,0.065
GlycA,0.069,0.109,-0.113
HDL_C,0.554,0.632,0.041
HDL_CE,0.521,0.601,0.044
HDL_CE_pct,0.005,0.012,0.175
HDL_CE_pct_C,0.395,0.479,0.053
HDL_C_pct,0.002,0.006,0.194
HDL_FC,0.684,0.748,0.029
HDL_FC_by_CE,0.401,0.485,-0.052
HDL_FC_pct,0.009,0.018,0.175
HDL_FC_pct_C,0.415,0.498,-0.051
HDL_L,0.756,0.809,-0.021
HDL_P,0.618,0.69,-0.033
HDL_PL,0.421,0.504,-0.055
HDL_PL_pct,0.0,0.001,-0.239
HDL_TG,0.006,0.014,-0.17
HDL_TG_pct,0.027,0.049,-0.141
HDL_size,0.343,0.425,0.066
His,0.581,0.656,0.034
IDL_C,0.005,0.011,0.178
IDL_CE,0.007,0.016,0.171
IDL_CE_pct,0.031,0.055,0.135
IDL_CE_pct_C,0.151,0.212,-0.089
IDL_C_pct,0.002,0.006,0.19
IDL_FC,0.002,0.005,0.195
IDL_FC_by_CE,0.148,0.208,0.089
IDL_FC_pct,0.001,0.002,0.208
IDL_FC_pct_C,0.139,0.197,0.091
IDL_L,0.011,0.023,0.161
IDL_P,0.011,0.023,0.158
IDL_PL,0.006,0.014,0.173
IDL_PL_pct,0.659,0.726,0.027
IDL_TG,0.08,0.122,-0.109
IDL_TG_pct,0.0,0.0,-0.254
Ile,0.026,0.047,-0.14
LA,0.05,0.082,0.122
LA_pct,0.0,0.0,0.313
LDL_C,0.021,0.04,0.142
LDL_CE,0.043,0.072,0.125
LDL_CE_pct,0.477,0.559,0.044
LDL_CE_pct_C,0.004,0.009,-0.182
