met,PValue,adjPVal,logFC
Acetate,0.583,0.658,-0.019
Acetoacetate,0.166,0.229,-0.049
Acetone,0.468,0.55,0.026
Ala,0.079,0.122,-0.062
Albumin,0.748,0.802,-0.011
ApoA1,0.179,0.245,0.052
ApoB,0.029,0.051,0.077
ApoB_by_ApoA1,0.259,0.335,0.041
Cholines,0.147,0.207,0.055
Citrate,0.516,0.596,0.024
Clinical_LDL_C,0.001,0.003,0.116
Creatinine,0.038,0.065,-0.086
DHA,0.216,0.288,-0.046
DHA_pct,0.648,0.717,-0.017
Gln,0.013,0.025,0.089
Glucose,0.0,0.0,-0.159
Gly,0.004,0.01,0.107
GlycA,0.0,0.0,-0.159
HDL_C,0.002,0.006,0.121
HDL_CE,0.002,0.004,0.124
HDL_CE_pct,0.0,0.0,0.178
HDL_CE_pct_C,0.072,0.112,0.064
HDL_C_pct,0.0,0.0,0.195
HDL_FC,0.008,0.017,0.107
HDL_FC_by_CE,0.074,0.115,-0.064
HDL_FC_pct,0.0,0.0,0.161
HDL_FC_pct_C,0.079,0.122,-0.063
HDL_L,0.069,0.108,0.072
HDL_P,0.186,0.253,0.05
HDL_PL,0.274,0.351,0.043
HDL_PL_pct,0.0,0.0,-0.22
HDL_TG,0.0,0.001,-0.125
HDL_TG_pct,0.0,0.0,-0.149
HDL_size,0.001,0.003,0.132
His,0.137,0.195,-0.053
IDL_C,0.0,0.0,0.142
IDL_CE,0.0,0.0,0.141
IDL_CE_pct,0.0,0.0,0.166
IDL_CE_pct_C,0.899,0.924,0.004
IDL_C_pct,0.0,0.0,0.186
IDL_FC,0.0,0.0,0.141
IDL_FC_by_CE,0.906,0.929,-0.004
IDL_FC_pct,0.0,0.001,0.128
IDL_FC_pct_C,0.931,0.949,-0.003
IDL_L,0.001,0.002,0.123
IDL_P,0.003,0.008,0.104
IDL_PL,0.001,0.003,0.12
IDL_PL_pct,0.144,0.203,-0.052
IDL_TG,0.005,0.011,-0.1
IDL_TG_pct,0.0,0.0,-0.212
Ile,0.0,0.001,-0.13
LA,0.013,0.026,0.089
LA_pct,0.0,0.0,0.232
LDL_C,0.005,0.012,0.099
LDL_CE,0.019,0.035,0.083
LDL_CE_pct,0.805,0.849,0.009
LDL_CE_pct_C,0.0,0.0,-0.178
LDL_C_pct,0.0,0.0,0.203
LDL_FC,0.0,0.0,0.138
LDL_FC_by_CE,0.0,0.0,0.178
LDL_FC_pct,0.0,0.0,0.204
LDL_FC_pct_C,0.0,0.0,0.178
LDL_L,0.014,0.028,0.087
LDL_P,0.024,0.043,0.08
LDL_PL,0.009,0.019,0.092
LDL_PL_pct,0.587,0.662,0.019
LDL_TG,0.005,0.011,-0.101
LDL_TG_pct,0.0,0.0,-0.202
LDL_size,0.013,0.026,0.09
L_HDL_C,0.0,0.0,0.159
L_HDL_CE,0.0,0.0,0.163
L_HDL_CE_pct,0.0,0.0,0.187
L_HDL_CE_pct_C,0.001,0.003,0.114
L_HDL_C_pct,0.0,0.0,0.184
L_HDL_FC,0.0,0.001,0.141
L_HDL_FC_by_CE,0.002,0.005,-0.111
L_HDL_FC_pct,0.016,0.03,0.09
L_HDL_FC_pct_C,0.003,0.007,-0.106
L_HDL_L,0.001,0.003,0.133
L_HDL_P,0.0,0.001,0.149
L_HDL_PL,0.006,0.013,0.111
L_HDL_PL_pct,0.0,0.0,-0.206
L_HDL_TG,0.256,0.333,-0.042
L_HDL_TG_pct,0.0,0.001,-0.13
L_LDL_C,0.001,0.004,0.113
L_LDL_CE,0.005,0.011,0.1
L_LDL_CE_pct,0.377,0.46,0.031
L_LDL_CE_pct_C,0.0,0.0,-0.192
L_LDL_C_pct,0.0,0.0,0.199
L_LDL_FC,0.0,0.0,0.148
L_LDL_FC_by_CE,0.0,0.0,0.192
L_LDL_FC_pct,0.0,0.0,0.223
L_LDL_FC_pct_C,0.0,0.0,0.193
L_LDL_L,0.004,0.01,0.102
L_LDL_P,0.012,0.024,0.089
L_LDL_PL,0.003,0.007,0.107
L_LDL_PL_pct,0.548,0.626,0.021
L_LDL_TG,0.007,0.015,-0.096
L_LDL_TG_pct,0.0,0.0,-0.207
L_VLDL_C,0.072,0.112,-0.065
L_VLDL_CE,0.289,0.368,-0.038
L_VLDL_CE_pct,0.0,0.001,0.138
L_VLDL_CE_pct_C,0.0,0.0,0.185
L_VLDL_C_pct,0.009,0.019,0.093
L_VLDL_FC,0.013,0.025,-0.091
L_VLDL_FC_by_CE,0.0,0.0,-0.183
L_VLDL_FC_pct,0.372,0.455,-0.032
L_VLDL_FC_pct_C,0.0,0.0,-0.188
L_VLDL_L,0.012,0.024,-0.092
L_VLDL_P,0.008,0.017,-0.096
L_VLDL_PL,0.004,0.009,-0.105
L_VLDL_PL_pct,0.005,0.011,-0.101
L_VLDL_TG,0.007,0.015,-0.098
L_VLDL_TG_pct,0.862,0.895,-0.006
Lactate,0.601,0.674,0.019
Leu,0.001,0.003,-0.123
MUFA,0.012,0.024,-0.089
MUFA_pct,0.0,0.001,-0.128
M_HDL_C,0.156,0.218,0.055
M_HDL_CE,0.152,0.213,0.055
M_HDL_CE_pct,0.0,0.0,0.15
M_HDL_CE_pct_C,0.83,0.869,-0.008
M_HDL_C_pct,0.0,0.0,0.166
M_HDL_FC,0.185,0.253,0.052
M_HDL_FC_by_CE,0.825,0.866,0.008
M_HDL_FC_pct,0.0,0.001,0.148
M_HDL_FC_pct_C,0.818,0.86,0.009
M_HDL_L,0.813,0.855,0.009
M_HDL_P,0.393,0.476,0.033
M_HDL_PL,0.66,0.727,-0.017
M_HDL_PL_pct,0.0,0.0,-0.191
M_HDL_TG,0.0,0.0,-0.135
M_HDL_TG_pct,0.0,0.0,-0.139
M_LDL_C,0.063,0.101,0.065
M_LDL_CE,0.19,0.258,0.046
M_LDL_CE_pct,0.225,0.298,-0.043
M_LDL_CE_pct_C,0.0,0.0,-0.149
M_LDL_C_pct,0.0,0.0,0.15
M_LDL_FC,0.001,0.004,0.113
M_LDL_FC_by_CE,0.0,0.0,0.148
M_LDL_FC_pct,0.0,0.0,0.174
M_LDL_FC_pct_C,0.0,0.0,0.147
M_LDL_L,0.114,0.167,0.056
M_LDL_P,0.1,0.15,0.058
M_LDL_PL,0.085,0.13,0.061
M_LDL_PL_pct,0.384,0.467,0.031
M_LDL_TG,0.004,0.009,-0.104
M_LDL_TG_pct,0.0,0.0,-0.183
M_VLDL_C,0.004,0.008,0.103
M_VLDL_CE,0.0,0.0,0.141
M_VLDL_CE_pct,0.0,0.0,0.214
M_VLDL_CE_pct_C,0.0,0.0,0.204
M_VLDL_C_pct,0.0,0.0,0.211
M_VLDL_FC,0.135,0.193,0.053
M_VLDL_FC_by_CE,0.001,0.002,-0.12
M_VLDL_FC_pct,0.0,0.0,0.199
M_VLDL_FC_pct_C,0.0,0.0,-0.211
M_VLDL_L,0.823,0.863,-0.008
M_VLDL_P,0.64,0.71,0.017
M_VLDL_PL,0.434,0.517,0.028
M_VLDL_PL_pct,0.0,0.0,0.178
M_VLDL_TG,0.015,0.03,-0.088
M_VLDL_TG_pct,0.0,0.0,-0.204
Omega_3,0.004,0.009,-0.106
Omega_3_pct,0.01,0.021,-0.094
Omega_3_pct_PUFA,0.0,0.001,-0.136
Omega_6,0.128,0.184,0.055
Omega_6_by_Omega_3,0.001,0.002,0.126
Omega_6_pct,0.0,0.0,0.184
Omega_6_pct_PUFA,0.0,0.001,0.138
PUFA,0.649,0.717,0.017
PUFA_by_MUFA,0.0,0.001,0.135
PUFA_pct,0.0,0.0,0.139
Phe,0.202,0.271,-0.045
Phosphatidylc,0.234,0.307,0.045
Phosphoglyc,0.58,0.655,0.021
Pyruvate,0.509,0.59,-0.024
Remnant_C,0.031,0.055,0.076
SFA,0.055,0.089,-0.068
SFA_pct,0.02,0.037,-0.082
S_HDL_C,0.587,0.662,-0.019
S_HDL_CE,0.61,0.682,-0.018
S_HDL_CE_pct,0.002,0.004,0.112
S_HDL_CE_pct_C,0.941,0.956,-0.003
S_HDL_C_pct,0.0,0.0,0.152
S_HDL_FC,0.571,0.648,-0.02
S_HDL_FC_by_CE,0.945,0.959,0.003
S_HDL_FC_pct,0.0,0.0,0.147
S_HDL_FC_pct_C,0.958,0.968,0.002
S_HDL_L,0.034,0.059,-0.075
S_HDL_P,0.408,0.492,-0.029
S_HDL_PL,0.016,0.032,-0.086
S_HDL_PL_pct,0.04,0.067,-0.076
S_HDL_TG,0.0,0.0,-0.163
S_HDL_TG_pct,0.0,0.0,-0.156
S_LDL_C,0.021,0.04,0.081
S_LDL_CE,0.089,0.135,0.06
S_LDL_CE_pct,0.538,0.617,-0.022
S_LDL_CE_pct_C,0.0,0.001,-0.127
S_LDL_C_pct,0.0,0.001,0.128
S_LDL_FC,0.0,0.001,0.129
S_LDL_FC_by_CE,0.0,0.001,0.127
S_LDL_FC_pct,0.0,0.0,0.152
S_LDL_FC_pct_C,0.0,0.001,0.126
S_LDL_L,0.045,0.075,0.071
S_LDL_P,0.064,0.102,0.065
S_LDL_PL,0.013,0.027,0.087
S_LDL_PL_pct,0.29,0.369,0.038
S_LDL_TG,0.002,0.006,-0.109
S_LDL_TG_pct,0.0,0.0,-0.188
S_VLDL_C,0.522,0.601,0.023
S_VLDL_CE,0.891,0.918,0.005
S_VLDL_CE_pct,0.0,0.001,0.132
S_VLDL_CE_pct_C,0.0,0.0,-0.169
