met,PValue,adjPVal,logFC
Acetate,0.894,0.92,-0.006
Acetoacetate,0.211,0.282,-0.055
Acetone,0.504,0.585,-0.029
Ala,0.25,0.326,-0.05
Albumin,0.95,0.963,-0.003
ApoA1,0.012,0.024,-0.121
ApoB,0.001,0.003,0.143
ApoB_by_ApoA1,0.0,0.0,0.184
Cholines,0.568,0.645,-0.027
Citrate,0.121,0.176,0.07
Clinical_LDL_C,0.002,0.004,0.139
Creatinine,0.38,0.463,0.045
DHA,0.182,0.248,-0.061
DHA_pct,0.279,0.357,-0.049
Gln,0.053,0.087,0.085
Glucose,0.0,0.0,-0.236
Gly,0.01,0.021,0.119
GlycA,0.052,0.084,-0.086
HDL_C,0.17,0.235,-0.067
HDL_CE,0.198,0.267,-0.063
HDL_CE_pct,0.039,0.066,0.092
HDL_CE_pct_C,0.282,0.361,0.047
HDL_C_pct,0.031,0.055,0.097
HDL_FC,0.112,0.164,-0.079
HDL_FC_by_CE,0.289,0.368,-0.047
HDL_FC_pct,0.147,0.207,0.068
HDL_FC_pct_C,0.306,0.386,-0.045
HDL_L,0.021,0.04,-0.113
HDL_P,0.045,0.075,-0.094
HDL_PL,0.004,0.01,-0.139
HDL_PL_pct,0.0,0.0,-0.172
HDL_TG,0.038,0.065,-0.091
HDL_TG_pct,0.637,0.707,-0.021
HDL_size,0.445,0.528,-0.038
His,0.851,0.886,-0.008
IDL_C,0.009,0.019,0.117
IDL_CE,0.012,0.024,0.113
IDL_CE_pct,0.098,0.146,0.074
IDL_CE_pct_C,0.213,0.285,-0.054
IDL_C_pct,0.018,0.034,0.105
IDL_FC,0.005,0.012,0.126
IDL_FC_by_CE,0.214,0.285,0.054
IDL_FC_pct,0.008,0.016,0.116
IDL_FC_pct_C,0.215,0.286,0.054
IDL_L,0.016,0.03,0.109
IDL_P,0.005,0.012,0.123
IDL_PL,0.007,0.015,0.122
IDL_PL_pct,0.301,0.381,0.045
IDL_TG,0.19,0.258,-0.058
IDL_TG_pct,0.001,0.002,-0.151
Ile,0.073,0.114,-0.08
LA,0.001,0.004,0.142
LA_pct,0.0,0.0,0.28
LDL_C,0.005,0.011,0.124
LDL_CE,0.008,0.017,0.116
LDL_CE_pct,0.097,0.145,0.072
LDL_CE_pct_C,0.063,0.101,-0.083
LDL_C_pct,0.0,0.001,0.168
LDL_FC,0.001,0.003,0.142
LDL_FC_by_CE,0.062,0.099,0.083
LDL_FC_pct,0.009,0.02,0.116
LDL_FC_pct_C,0.059,0.095,0.084
LDL_L,0.008,0.018,0.115
LDL_P,0.001,0.002,0.148
LDL_PL,0.005,0.01,0.124
LDL_PL_pct,0.377,0.46,0.039
LDL_TG,0.184,0.251,-0.058
LDL_TG_pct,0.0,0.0,-0.176
LDL_size,0.13,0.187,0.068
L_HDL_C,0.748,0.802,-0.016
L_HDL_CE,0.848,0.884,-0.009
L_HDL_CE_pct,0.003,0.006,0.136
L_HDL_CE_pct_C,0.004,0.01,0.124
L_HDL_C_pct,0.006,0.014,0.124
L_HDL_FC,0.46,0.542,-0.037
L_HDL_FC_by_CE,0.007,0.015,-0.118
L_HDL_FC_pct,0.579,0.654,0.026
L_HDL_FC_pct_C,0.011,0.023,-0.111
L_HDL_L,0.307,0.387,-0.051
L_HDL_P,0.602,0.676,-0.026
L_HDL_PL,0.113,0.166,-0.079
L_HDL_PL_pct,0.0,0.0,-0.193
L_HDL_TG,0.061,0.098,-0.085
L_HDL_TG_pct,0.752,0.805,-0.014
L_LDL_C,0.005,0.012,0.122
L_LDL_CE,0.009,0.018,0.115
L_LDL_CE_pct,0.132,0.189,0.065
L_LDL_CE_pct_C,0.027,0.048,-0.099
L_LDL_C_pct,0.001,0.002,0.153
L_LDL_FC,0.002,0.005,0.138
L_LDL_FC_by_CE,0.026,0.047,0.1
L_LDL_FC_pct,0.003,0.008,0.133
L_LDL_FC_pct_C,0.024,0.043,0.101
L_LDL_L,0.01,0.02,0.114
L_LDL_P,0.0,0.001,0.153
L_LDL_PL,0.005,0.011,0.123
L_LDL_PL_pct,0.256,0.332,0.05
L_LDL_TG,0.146,0.207,-0.064
L_LDL_TG_pct,0.0,0.0,-0.176
L_VLDL_C,0.103,0.153,0.073
L_VLDL_CE,0.021,0.039,0.102
L_VLDL_CE_pct,0.004,0.01,0.127
L_VLDL_CE_pct_C,0.001,0.003,0.153
L_VLDL_C_pct,0.021,0.039,0.101
L_VLDL_FC,0.345,0.427,0.043
L_VLDL_FC_by_CE,0.001,0.002,-0.155
L_VLDL_FC_pct,0.621,0.693,0.022
L_VLDL_FC_pct_C,0.002,0.004,-0.147
L_VLDL_L,0.433,0.516,0.035
L_VLDL_P,0.607,0.68,0.023
L_VLDL_PL,0.51,0.591,0.03
L_VLDL_PL_pct,0.608,0.681,0.023
L_VLDL_TG,0.733,0.79,0.015
L_VLDL_TG_pct,0.079,0.122,-0.076
Lactate,0.178,0.244,0.06
Leu,0.057,0.092,-0.087
MUFA,0.233,0.307,-0.052
MUFA_pct,0.148,0.208,-0.065
M_HDL_C,0.008,0.017,-0.127
M_HDL_CE,0.008,0.017,-0.126
M_HDL_CE_pct,0.221,0.293,0.054
M_HDL_CE_pct_C,0.146,0.206,0.068
M_HDL_C_pct,0.318,0.398,0.045
M_HDL_FC,0.008,0.017,-0.129
M_HDL_FC_by_CE,0.148,0.208,-0.068
M_HDL_FC_pct,0.749,0.803,-0.016
M_HDL_FC_pct_C,0.152,0.213,-0.067
M_HDL_L,0.001,0.002,-0.16
M_HDL_P,0.005,0.011,-0.135
M_HDL_PL,0.0,0.001,-0.178
M_HDL_PL_pct,0.072,0.113,-0.082
M_HDL_TG,0.017,0.032,-0.105
M_HDL_TG_pct,0.782,0.83,-0.012
M_LDL_C,0.007,0.015,0.118
M_LDL_CE,0.014,0.028,0.107
M_LDL_CE_pct,0.279,0.358,0.048
M_LDL_CE_pct_C,0.23,0.303,-0.054
M_LDL_C_pct,0.0,0.001,0.166
M_LDL_FC,0.001,0.004,0.14
M_LDL_FC_by_CE,0.229,0.303,0.054
M_LDL_FC_pct,0.043,0.072,0.091
M_LDL_FC_pct_C,0.225,0.298,0.054
M_LDL_L,0.013,0.025,0.109
M_LDL_P,0.005,0.01,0.124
M_LDL_PL,0.011,0.022,0.111
M_LDL_PL_pct,0.893,0.919,-0.006
M_LDL_TG,0.231,0.304,-0.053
M_LDL_TG_pct,0.0,0.0,-0.177
M_VLDL_C,0.0,0.0,0.177
M_VLDL_CE,0.0,0.0,0.196
M_VLDL_CE_pct,0.001,0.003,0.147
M_VLDL_CE_pct_C,0.001,0.002,0.153
M_VLDL_C_pct,0.001,0.003,0.148
M_VLDL_FC,0.001,0.002,0.147
M_VLDL_FC_by_CE,0.006,0.013,-0.12
M_VLDL_FC_pct,0.0,0.002,0.157
M_VLDL_FC_pct_C,0.001,0.004,-0.144
M_VLDL_L,0.018,0.035,0.103
M_VLDL_P,0.005,0.011,0.123
M_VLDL_PL,0.003,0.008,0.128
M_VLDL_PL_pct,0.001,0.002,0.152
M_VLDL_TG,0.434,0.517,0.035
M_VLDL_TG_pct,0.003,0.006,-0.137
Omega_3,0.045,0.075,-0.091
Omega_3_pct,0.048,0.079,-0.09
Omega_3_pct_PUFA,0.004,0.009,-0.131
Omega_6,0.041,0.07,0.091
Omega_6_by_Omega_3,0.01,0.02,0.116
Omega_6_pct,0.0,0.0,0.191
Omega_6_pct_PUFA,0.002,0.006,0.136
PUFA,0.261,0.338,0.051
PUFA_by_MUFA,0.037,0.063,0.094
PUFA_pct,0.001,0.003,0.146
Phe,0.319,0.4,-0.043
Phosphatidylc,0.332,0.413,-0.046
Phosphoglyc,0.186,0.254,-0.062
Pyruvate,0.758,0.811,-0.014
Remnant_C,0.004,0.01,0.125
SFA,0.098,0.147,-0.073
SFA_pct,0.0,0.001,-0.165
S_HDL_C,0.125,0.18,-0.067
S_HDL_CE,0.198,0.267,-0.056
S_HDL_CE_pct,0.01,0.02,0.114
S_HDL_CE_pct_C,0.312,0.392,0.046
S_HDL_C_pct,0.003,0.006,0.132
S_HDL_FC,0.046,0.076,-0.089
S_HDL_FC_by_CE,0.315,0.395,-0.046
S_HDL_FC_pct,0.112,0.164,0.073
S_HDL_FC_pct_C,0.337,0.419,-0.044
S_HDL_L,0.008,0.017,-0.117
S_HDL_P,0.135,0.192,-0.066
S_HDL_PL,0.001,0.004,-0.141
S_HDL_PL_pct,0.0,0.0,-0.177
S_HDL_TG,0.118,0.172,-0.07
S_HDL_TG_pct,0.616,0.688,-0.023
S_LDL_C,0.002,0.004,0.138
S_LDL_CE,0.005,0.01,0.124
S_LDL_CE_pct,0.409,0.492,0.036
S_LDL_CE_pct_C,0.167,0.231,-0.061
S_LDL_C_pct,0.002,0.005,0.135
S_LDL_FC,0.0,0.001,0.16
S_LDL_FC_by_CE,0.164,0.228,0.061
S_LDL_FC_pct,0.033,0.057,0.094
S_LDL_FC_pct_C,0.156,0.218,0.062
S_LDL_L,0.003,0.007,0.131
S_LDL_P,0.001,0.003,0.142
S_LDL_PL,0.001,0.003,0.143
S_LDL_PL_pct,0.923,0.942,-0.004
S_LDL_TG,0.415,0.498,-0.036
S_LDL_TG_pct,0.001,0.003,-0.144
