met,PValue,adjPVal,logFC
Acetate,0.102,0.152,-0.073
Acetoacetate,0.001,0.003,-0.146
Acetone,0.178,0.244,-0.061
Ala,0.591,0.666,-0.024
Albumin,0.426,0.509,0.036
ApoA1,0.792,0.839,0.013
ApoB,0.0,0.0,0.194
ApoB_by_ApoA1,0.0,0.001,0.161
Cholines,0.049,0.081,0.095
Citrate,0.706,0.766,0.017
Clinical_LDL_C,0.0,0.0,0.219
Creatinine,0.201,0.271,-0.067
DHA,0.986,0.99,-0.001
DHA_pct,0.822,0.863,-0.01
Gln,0.282,0.36,0.048
Glucose,0.0,0.0,-0.231
Gly,0.012,0.023,0.12
GlycA,0.018,0.035,-0.107
HDL_C,0.201,0.271,0.064
HDL_CE,0.187,0.255,0.066
HDL_CE_pct,0.001,0.003,0.15
HDL_CE_pct_C,0.455,0.537,0.034
HDL_C_pct,0.0,0.001,0.17
HDL_FC,0.269,0.346,0.056
HDL_FC_by_CE,0.464,0.546,-0.033
HDL_FC_pct,0.001,0.002,0.166
HDL_FC_pct_C,0.486,0.567,-0.032
HDL_L,0.749,0.803,0.016
HDL_P,0.374,0.457,0.043
HDL_PL,0.731,0.788,-0.017
HDL_PL_pct,0.0,0.0,-0.25
HDL_TG,0.04,0.069,-0.092
HDL_TG_pct,0.05,0.082,-0.091
HDL_size,0.456,0.539,0.038
His,0.357,0.44,0.041
IDL_C,0.0,0.0,0.217
IDL_CE,0.0,0.0,0.213
IDL_CE_pct,0.001,0.003,0.152
IDL_CE_pct_C,0.61,0.683,-0.023
IDL_C_pct,0.0,0.0,0.182
IDL_FC,0.0,0.0,0.223
IDL_FC_by_CE,0.605,0.679,0.023
IDL_FC_pct,0.001,0.003,0.148
IDL_FC_pct_C,0.587,0.662,0.024
IDL_L,0.0,0.0,0.205
IDL_P,0.0,0.0,0.181
IDL_PL,0.0,0.0,0.209
IDL_PL_pct,0.35,0.432,-0.042
IDL_TG,0.543,0.621,-0.027
IDL_TG_pct,0.0,0.0,-0.215
Ile,0.001,0.003,-0.149
LA,0.0,0.0,0.199
LA_pct,0.0,0.0,0.302
LDL_C,0.0,0.0,0.206
LDL_CE,0.0,0.0,0.193
LDL_CE_pct,0.074,0.114,0.08
LDL_CE_pct_C,0.002,0.005,-0.143
LDL_C_pct,0.0,0.0,0.242
LDL_FC,0.0,0.0,0.235
LDL_FC_by_CE,0.002,0.005,0.143
LDL_FC_pct,0.0,0.0,0.186
LDL_FC_pct_C,0.002,0.005,0.144
LDL_L,0.0,0.0,0.197
LDL_P,0.0,0.0,0.202
LDL_PL,0.0,0.0,0.202
LDL_PL_pct,0.681,0.745,-0.019
LDL_TG,0.631,0.701,-0.022
LDL_TG_pct,0.0,0.0,-0.224
LDL_size,0.0,0.001,0.17
L_HDL_C,0.109,0.161,0.081
L_HDL_CE,0.09,0.136,0.086
L_HDL_CE_pct,0.0,0.001,0.169
L_HDL_CE_pct_C,0.036,0.063,0.094
L_HDL_C_pct,0.0,0.001,0.168
L_HDL_FC,0.202,0.272,0.065
L_HDL_FC_by_CE,0.062,0.099,-0.083
L_HDL_FC_pct,0.037,0.063,0.099
L_HDL_FC_pct_C,0.109,0.161,-0.072
L_HDL_L,0.322,0.403,0.051
L_HDL_P,0.123,0.177,0.079
L_HDL_PL,0.645,0.714,0.024
L_HDL_PL_pct,0.0,0.0,-0.217
L_HDL_TG,0.277,0.355,-0.051
L_HDL_TG_pct,0.103,0.153,-0.076
L_LDL_C,0.0,0.0,0.217
L_LDL_CE,0.0,0.0,0.208
L_LDL_CE_pct,0.008,0.018,0.118
L_LDL_CE_pct_C,0.002,0.006,-0.14
L_LDL_C_pct,0.0,0.0,0.243
L_LDL_FC,0.0,0.0,0.238
L_LDL_FC_by_CE,0.002,0.006,0.14
L_LDL_FC_pct,0.0,0.0,0.196
L_LDL_FC_pct_C,0.002,0.005,0.142
L_LDL_L,0.0,0.0,0.207
L_LDL_P,0.0,0.0,0.22
L_LDL_PL,0.0,0.0,0.209
