,Biomarker,Cell.Type,Standard.Abbreviation,Long.Name,Found,Vicki_names,Unit,Measured...Derived,Determination,Description_long,nmiss,ninf,path,parallel_group,cor,n_sig_FDR,n_sig_adj.P.Val,n_sig_bonf,SigLogFC,LogFC,p,sds
Platelet.count,Platelet.count,Platelet,PLT#,Platelet count,v,plateletCount,per nL,Measured,Impedance,Count of platelets per unit volume of blood,0,0,Platelet,1,0.942212523592094,556,0,0,0.0697203554469536,0.00209259552183226,0.316659593492549,0.0526236389363795
Mean.platelet..thrombocyte..volume,Mean.platelet..thrombocyte..volume,Platelet,MPV,Mean platelet volume,NA,thrombocyteVol,fL,Derived,(PCT/PLT#)×10000,Mean volume of platelets,0,0,Platelet,1,0.957823738046368,482,0,0,0.0436690349228946,0.0163558048559598,0.430566386464284,0.0101459424569166
Platelet.distribution.width,Platelet.distribution.width,Platelet,PDW,Platelet distribution width,v,plateletDistWidth,fL,Measured,Impedance: Coefficient of variation of platelet volume distribution,The spread of the platelet volume distribution. Note that Sysmex and Coulter use different statistics to measure spread.,0,0,Platelet,1,0.950510934842394,50,0,0,0.0191751582773061,0.00836040714939052,0.319116919423524,0.0490227494299204
Platelet.crit,Platelet.crit,Platelet,PCT,Plateletcrit,v,plateletCrit,%,Measured,Impedance,Volume fraction of blood occupied by platelets,0,0,Platelet,1,0.95989827210391,1142,0,0,0.0404142280711475,0.0122147848764013,0.406391188998119,0.0770865069844473
Red.blood.cell..erythrocyte..count,Red.blood.cell..erythrocyte..count,Mature red cell,RBC#,Red blood cell count,v,erythrocyteCount,per pL,Measured,Impedance,Count of red blood cells per unit volume of blood,0,0,Mature red cell,1,0.976819861287405,786,0,0,0.0499225538985186,-0.00487192398348879,0.339152058892399,0.0492032180115212
Mean.corpuscular.volume,Mean.corpuscular.volume,Mature red cell,MCV,Mean corpuscular volume,v,corpuscularVol,fL,Derived,(HCT/RBC#)×10,Mean volume of red blood cells,0,0,Mature red cell,1,0.95437685850315,3705,2508,0,-0.0726919819043591,-0.0186154425756239,0.300191676420294,0.0137241270238263
Haematocrit.percentage,Haematocrit.percentage,Mature red cell,HCT,Hematocrit,v,haemocritPerc,%,Measured,Impedance,Volume fraction of blood occupied by red cells,0,0,Mature red cell,1,0.931349677679324,512,0,0,-0.0693711107886263,-0.0256940407302256,0.509137991852888,0.0181654417605857
Mean.corpuscular.haemoglobin,Mean.corpuscular.haemoglobin,Mature red cell,MCH,Mean corpuscular hemoglobin,v,corpuscularHaem,pg,Derived,(HGB/RBC#)×10,Average mass of hemoglobin per red cell,0,0,Mature red cell,1,0.94631132983356,3644,842,0,-0.0670489431627658,-0.0187927746914961,0.352744297203914,0.0133674774006464
Mean.sphered.cell.volume,Mean.sphered.cell.volume,Mature red cell,MSCV,Mean sphered corpuscular volume,v,meanSphereCellVol,fL,Measured,Impedance,Mean volume of sphered red cells,0,0,Mature red cell,1,0.94872140953241,1434,0,0,-0.0594020595300328,-0.00632184543626912,0.245991077015522,0.00930666373847473
Mean.corpuscular.haemoglobin.concentration,Mean.corpuscular.haemoglobin.concentration,Mature red cell,MCHC,Mean corpuscular hemoglobin concentration,v,corpuscularHaemConc,g/dL,Derived,(HGB/HCT)×100,Concentration of hemoglobin with respect to unit of volume occupied by red cells,0,0,Mature red cell,1,0.965473007919301,347,0,0,-0.00835336219058534,-0.00703662540727703,0.360653696883996,0.0528735704716757
Haemoglobin.concentration,Haemoglobin.concentration,Mature red cell,HGB,Hemoglobin concentration,v,haemConc,g/dL,Measured,Light absorbance,Concentration of hemoglobin with respect to unit of volume of blood,0,0,Mature red cell,2,0.9404258243289,530,0,0,-0.072704032964228,-0.0228924015770101,0.444900533762344,0.0196406928985793
